Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Macao,...,...,Development,GDP (current US$ Mil),          55501.53,          51313.82,          42991.90,          36634.70,          28359.70,          21313.30,          20731.00,          18054.70,          14568.70,          11792.60,          10258.30,           7926.37,           7008.03,           6514.27,           6101.79,           5916.96,           6186.48,           6674.55,           6628.53,           6560.67,           5868.55,           5280.22,           4581.19,           3464.95,           2990.18,           2478.81,           2087.12
Macao,...,...,Export,No. Of Export partners,             56.00,,             61.00,             67.00,             73.00,             79.00,             95.00,             96.00,             90.00,             85.00,             98.00,             93.00,             87.00,             94.00,             91.00,             88.00,             93.00,             91.00,             90.00,             88.00,             77.00,             77.00,             85.00,             89.00,,,
Macao,...,...,Export,No. Of Export products,            704.00,,            321.00,            440.00,            464.00,           2143.00,           2212.00,           2058.00,           2021.00,           2004.00,           2062.00,           1922.00,           1836.00,           1874.00,           1893.00,           1927.00,           1888.00,           1983.00,           1963.00,           2133.00,           2188.00,           2202.00,           2142.00,           2190.00,,,
Macao,...,...,Import,No. Of Import partners,            136.00,,            124.00,            121.00,            116.00,            118.00,            116.00,            121.00,            118.00,            118.00,            143.00,            125.00,            108.00,            108.00,             98.00,             86.00,             78.00,             86.00,             87.00,             72.00,             69.00,             72.00,             64.00,             67.00,,,
Macao,...,...,Import,No. Of Import products,           2187.00,,           1970.00,           1967.00,           1984.00,           3095.00,           3254.00,           3286.00,           3441.00,           3443.00,           3475.00,           3239.00,           3097.00,           3021.00,           3042.00,           3145.00,           3196.00,           3258.00,           3333.00,           3371.00,           3361.00,           3474.00,           3533.00,           3467.00,,,
Macao,...,...,Tariff,No. Of Tariff Agreement,              1.00,,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,              2.00,              2.00,              2.00,              2.00,              2.00,              2.00,              2.00,              2.00,              2.00,              2.00,,,,,,,,,
Macao,...,...,Development,Trade Balance (current US$ Mil),          30193.48,          31034.63,          25054.00,          21390.90,          15916.10,           9493.30,           7000.90,           4986.60,           4198.57,           3806.50,           4154.64,           2765.56,           2371.74,           2103.08,           2183.97,           1490.00,           1778.26,           1992.80,           2058.50,           1803.78,           1238.12,           1171.44,            990.46,            675.84,            777.34,            559.77,            445.60
Macao,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            169.51,,            112.40,             86.97,             99.17,            139.92,            245.41,            377.57,            379.37,            367.75,            391.43,            354.63,            367.14,            268.25,            259.13,            201.95,            144.54,            266.34,,            212.51,            241.27,            241.88,            183.52,            145.62,,,
Macao,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           3735.22,,           2900.80,           2386.59,           1714.27,           1451.58,           2111.28,           2287.74,           2059.59,           1687.06,           1544.98,           1183.00,           1055.95,           1016.92,            925.82,            725.00,            635.70,            592.83,,            440.65,            393.33,            424.79,            397.89,            396.43,,,
Macao,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,            131.70,            148.80,            156.14,            148.68,,,
Macao,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            951.30,,            782.91,            786.48,            504.84,            369.20,,,,,,,,,,,,,,,,,,,,,
Macao,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,             37.04,             80.83,            161.50,            187.11,            146.47,            232.58,            211.64,            175.78,            176.52,            196.90,            193.24,            186.84,            211.50,,            197.61,            188.98,            203.30,            211.88,            230.49,,,
Macao,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,            107.96,,,,,,,,,,,
Macao,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            666.81,,            404.66,            261.71,            264.80,            377.47,            394.34,            332.81,            286.47,            242.58,            212.35,            169.79,            136.90,            146.60,            165.69,            149.28,            162.48,            167.74,,            205.09,            222.56,            232.41,            230.30,            223.68,,,
Macao,"Hong Kong, China",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1154.96,,           1026.96,            947.00,            578.33,            505.40,            544.46,            542.39,            465.27,            390.26,            367.73,            348.44,            368.22,            331.16,            343.71,            367.93,            461.89,            522.86,,            585.18,            634.12,            596.90,            640.92,            641.60,,,
Macao,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            776.43,,            674.16,            587.45,,,,,,,,,,,,,,,,,,,,,,,
Macao,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,            477.83,            381.86,            454.82,            482.81,            381.66,            426.56,            335.06,            248.96,            171.39,,            142.85,            135.41,            150.91,            177.42,,            213.05,            267.17,            315.72,            350.71,            319.72,,,
Macao,Macao,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,            463.86,            632.49,            624.45,            575.28,            562.24,            431.86,            372.18,            363.20,            338.12,,,,,,,,,,,,
Macao,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,              8.40,,,,,,,,,,,,,,,,,,,,,,,,,,
Macao,"Other Asia, nes",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,            159.85,,            159.12,            214.26,            193.64,            192.01,            192.42,,            146.54,            141.81,            130.46,            125.55,            111.42,,,
Macao,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,            202.39,,,,,,,,,,,,,,,,,
Macao,Switzerland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1025.81,,            705.21,            559.82,            417.58,,,,,,,,,,,,,,,,,,,,,,
Macao,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,            123.60,            112.04,            127.97,            146.90,            174.98,            162.72,            165.32,            168.47,,            142.20,,,,,,,
Macao,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             17.06,,             44.56,             53.87,             95.65,            163.81,            797.89,           1031.85,           1127.52,           1204.19,           1369.82,           1286.81,           1139.66,           1108.74,           1225.61,           1030.74,           1017.20,            970.54,,            834.20,            681.81,            589.96,            619.39,            526.36,,,
Macao,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,            328.22,            333.75,            341.65,            291.31,,            186.95,,            203.63,            169.28,,,             91.57,            130.46,,            150.14,            142.71,            115.65,            100.30,             85.13,,,
Macao,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            325.92,,            371.69,            374.61,            259.29,             87.37,            190.31,            150.60,            135.79,            100.77,,,,,,,,,,,,,,,,,
Macao,Vietnam,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,             16.96,             14.32,             23.52,,,,,,,,,,,,,,,,,,,,,,
Macao,World,All Products,Tariff,Duty Free Imports (US$ Thousand),       10808059.74,,        8756493.22,        7324313.26,        5280115.06,        4750943.52,        5879854.88,        6044742.11,        5235426.39,        4514198.03,        4093675.96,        3232180.07,        3008957.90,        2823500.68,        2625222.81,        2035866.97,        1947667.10,        2076626.19,        1991975.01,,,,,,,,
Macao,World,Animal,Export,Export(US$ Mil),              3.05,,              2.96,              2.41,              3.00,              4.39,              3.66,              3.97,              3.49,              3.14,              3.18,              3.02,              4.01,              3.80,              3.90,              3.12,              2.50,              3.15,              3.66,              3.52,              6.21,              7.44,              6.84,              8.06,,,
Macao,World,Capital goods,Export,Export(US$ Mil),            274.55,,            184.98,             60.66,             35.12,            110.69,            197.34,            302.49,            192.36,            177.50,            160.37,             94.95,             65.54,             68.10,            106.50,             70.49,             74.45,             62.79,             59.66,             99.30,             72.31,             72.83,             67.12,             53.48,,,
Macao,World,Chemicals,Export,Export(US$ Mil),              9.68,,              3.32,              5.18,              0.55,             39.97,             42.24,             28.91,             31.27,             25.98,             28.75,             29.06,             27.35,             29.66,             26.31,             25.85,             23.76,             30.95,             27.85,             27.95,             27.32,             27.89,             26.84,             24.05,,,
Macao,World,Consumer goods,Export,Export(US$ Mil),            459.42,,            159.22,            156.75,            172.48,            704.34,           1584.07,           1942.32,           2027.60,           1947.44,           2266.92,           2085.06,           1883.02,           1869.65,           2076.00,           1821.82,           1816.44,           1962.89,           1753.16,           1631.03,           1517.42,           1433.70,           1451.31,           1376.77,,,
Macao,World,Food Products,Export,Export(US$ Mil),             96.17,,             12.50,             19.34,             15.66,             47.06,             53.11,             38.91,             41.08,             36.14,             29.16,             24.73,             22.51,             23.65,             20.66,             26.58,             33.24,             28.92,             28.45,             28.65,             59.59,             61.51,             22.98,             11.15,,,
Macao,World,Footwear,Export,Export(US$ Mil),             25.93,,             15.26,              0.50,              1.83,             10.68,             18.89,             51.41,             52.88,             12.51,            111.74,            102.30,             93.57,             99.92,            102.23,             78.25,             61.25,             51.31,             48.18,             51.11,             37.27,             26.22,             20.11,             26.57,,,
Macao,World,Fuels,Export,Export(US$ Mil),              0.12,,,,,             87.39,            191.52,            150.71,            136.12,            100.90,             69.16,             34.52,             27.89,             13.57,             17.17,              7.95,              8.26,              9.08,              7.85,              0.09,              0.20,              0.31,              0.30,              0.29,,,
Macao,World,Hides and Skins,Export,Export(US$ Mil),             41.46,,              3.28,              1.57,              0.81,             14.82,             10.88,              6.99,              6.05,              6.31,              5.65,              8.63,             10.41,             12.12,             14.67,              8.69,             11.94,             20.75,             58.18,             70.53,             69.90,             72.55,             64.27,             62.42,,,
Macao,World,Intermediate goods,Export,Export(US$ Mil),             27.59,,             14.51,             17.82,             30.40,            114.80,            188.82,            273.53,            318.56,            337.00,            369.15,            365.77,            377.25,            344.78,            336.49,            289.50,            229.49,            229.51,            235.64,            239.59,            231.00,            243.89,            235.73,            225.63,,,
Macao,World,Mach and Elec,Export,Export(US$ Mil),            280.76,,            196.38,             74.37,             62.15,            137.69,            225.05,            342.80,            231.95,            199.15,            170.30,            105.07,             84.71,             88.53,            144.25,             99.25,             80.42,             86.31,             79.75,            122.76,            127.75,            118.71,             95.19,             78.19,,,
