Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Morocco,...,...,Development,GDP (current US$ Mil),         107004.98,         103914.82,          95903.90,          99211.00,          90770.20,          90907.30,          88879.50,          75223.60,          65640.10,          59523.80,          56948.00,          49822.70,          40416.10,          37724.70,          37020.60,          39734.00,          40021.70,          37263.60,          41383.90,          37184.00,          34085.40,          30137.10,          32042.20,          31014.50,          28839.40,          25271.64,          24633.85
Morocco,...,...,Export,No. Of Export partners,,            173.00,            167.00,            163.00,            167.00,            165.00,            161.00,            165.00,            155.00,            159.00,            157.00,            163.00,            153.00,            151.00,            146.00,            140.00,            134.00,            132.00,            131.00,            130.00,            129.00,            131.00,,,,,
Morocco,...,...,Export,No. Of Export products,,           2885.00,           2931.00,           2919.00,           2952.00,           2930.00,           2935.00,           2898.00,           2801.00,           2749.00,           2919.00,           2837.00,           2769.00,           2704.00,           2537.00,           2524.00,           2475.00,           2285.00,           2217.00,           2176.00,           2303.00,           2245.00,,,,,
Morocco,...,...,Import,No. Of Import partners,,            179.00,            178.00,            167.00,            161.00,            160.00,            166.00,            165.00,            163.00,            168.00,            161.00,            158.00,            155.00,            147.00,            144.00,            142.00,            137.00,            129.00,            128.00,            130.00,            129.00,            128.00,,,,,
Morocco,...,...,Import,No. Of Import products,,           4473.00,           4465.00,           4496.00,           4514.00,           4531.00,           4485.00,           4494.00,           4460.00,           4463.00,           4434.00,           4428.00,           4412.00,           4409.00,           4410.00,           4405.00,           4439.00,           4375.00,           4372.00,           4355.00,           4271.00,           4347.00,,,,,
Morocco,...,...,Tariff,No. Of Tariff Agreement,,,             19.00,              1.00,              1.00,             16.00,             16.00,             19.00,             18.00,             16.00,,              1.00,              1.00,              1.00,              1.00,,,              2.00,,,,              2.00,,,,,
Morocco,...,...,Development,Trade Balance (current US$ Mil),         -12851.62,         -13730.99,         -13808.00,         -13007.00,          -8923.60,          -9989.20,         -11902.00,          -6857.10,          -3595.60,          -3334.20,          -2821.00,          -1409.10,           -852.30,           -954.70,          -1987.70,          -1317.90,          -1478.31,          -1147.98,          -1308.61,          -2338.52,          -1812.99,          -1685.56,          -1906.42,          -1568.24,          -1582.68,          -1301.34,             41.17
Morocco,Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,           1311.58,           1266.37,           1118.20,            670.44,,            982.86,,,,,,,,,,,,,,,,,,,,
Morocco,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           3136.69,           2967.81,           2884.59,           2968.06,           2567.73,           2406.75,           1855.52,           1259.79,,,,,,,,,,,,,,,,,,
Morocco,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,           4717.31,           4619.48,           4564.21,           3991.78,           3508.85,           4103.56,           4080.82,           3563.76,           3367.84,           3336.16,           3004.63,           2645.95,           2320.82,           2491.05,           2683.70,           2488.58,           1261.12,,           1400.14,           1279.19,           1227.50,,,,,
Morocco,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           5849.12,           5548.46,           6308.93,           5507.69,           5117.97,           6354.91,           5007.74,           3840.17,           3778.39,           3290.35,           2927.16,           2437.71,           2479.24,           2771.35,           2777.95,           2706.59,           1633.81,,           1865.57,           1626.76,           1528.75,,,,,
Morocco,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,            476.40,,,,,,            345.24,            327.49,            336.11,            369.25,            426.70,            432.32,,,,,            163.36,,,,,
Morocco,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,           1053.01,            740.07,            630.07,            568.25,,            651.82,            697.46,,,            534.87,            506.65,            395.23,,,,,
Morocco,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,           1160.55,           1504.93,           1075.56,            728.46,           1371.60,            555.46,            540.05,            443.80,,,,,,,,            386.13,,            309.63,            258.20,,,,,,
Morocco,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            829.84,,,            798.65,            657.99,            946.64,            745.27,            616.63,            559.17,            462.84,            452.13,            424.96,            409.08,            529.49,            379.93,            356.40,            298.63,,            268.70,            231.06,            193.23,,,,,
Morocco,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,           2154.05,           2817.44,           2035.72,           1502.56,           1252.90,           1162.06,           1013.08,            688.99,            571.12,,,            612.10,            481.20,,            489.26,            485.66,            417.80,,,,,
Morocco,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,            259.12,,            361.76,            268.10,            217.30,,,,,
Morocco,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,           1427.74,           1045.65,,,,,,,,,,,,,,,,
Morocco,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           2783.36,           2831.56,           3049.82,           2107.92,,           2832.72,,           1588.18,           1375.09,,            717.64,            696.13,,            573.13,,,            541.63,,,,,,,,,
Morocco,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,           4142.09,           3540.91,           3953.76,           3004.33,           2934.54,           3632.74,           3032.02,           2609.49,           2235.97,           1733.72,           1566.02,           1228.60,           1046.45,            963.54,            801.79,            732.72,            504.87,,            443.09,            373.81,            326.63,,,,,
Morocco,Spain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           6119.77,           5901.45,           4858.56,           3753.06,           4004.25,           4731.77,           3299.03,           2691.71,           2420.24,           2172.49,           1764.11,           1380.00,           1053.72,           1138.42,           1198.28,           1059.37,            711.34,,            728.43,            631.36,            699.24,,,,,
Morocco,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,            754.43,            752.34,            708.58,            757.46,            639.27,            621.00,            588.69,            712.75,            665.16,            679.65,,,,,,,,,,
Morocco,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,            601.28,            711.64,            582.72,,,,,,,,,,,
