Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Moldova,...,...,Development,GDP (current US$ Mil),           7944.18,           7985.35,           7284.69,           7015.21,           5811.60,           5439.42,           6054.81,           4401.15,           3408.27,           2988.33,           2598.23,           1980.90,           1661.82,           1480.66,           1288.42,           1170.79,           1639.50,           1930.07,           1695.13,           1753.00,           1702.31,           2371.81,           2319.24,           3094.57,           3592.86,,
Moldova,...,...,Export,No. Of Export partners,            111.00,            113.00,            112.00,             97.00,            102.00,            103.00,            105.00,             93.00,            100.00,            103.00,             89.00,             76.00,             75.00,             71.00,             74.00,             74.00,             71.00,             56.00,             68.00,             74.00,             62.00,,,,,,
Moldova,...,...,Export,No. Of Export products,           2019.00,           2118.00,           2137.00,           2212.00,           1997.00,           2007.00,           2023.00,           1936.00,           1969.00,           1812.00,           1729.00,           1692.00,           1563.00,           1582.00,           1607.00,           1619.00,           1482.00,,           1669.00,           1902.00,           2026.00,,,,,,
Moldova,...,...,Import,No. Of Import partners,            167.00,            164.00,            165.00,            161.00,            160.00,            157.00,            158.00,            153.00,            159.00,            142.00,            117.00,            119.00,            128.00,            124.00,            102.00,             94.00,             99.00,             72.00,            101.00,             74.00,             70.00,,,,,,
Moldova,...,...,Import,No. Of Import products,           3817.00,           3827.00,           3825.00,           3806.00,           3783.00,           3696.00,           3976.00,           3960.00,           3927.00,           3889.00,           3819.00,           3719.00,           3673.00,           3526.00,           3445.00,           3297.00,           3342.00,,           3142.00,           3110.00,           2794.00,,,,,,
Moldova,...,...,Tariff,No. Of Tariff Agreement,              9.00,             20.00,             20.00,              1.00,             20.00,              1.00,             19.00,              2.00,              8.00,              1.00,              1.00,              1.00,,              1.00,              1.00,,,,,,,,,,,,
Moldova,...,...,Development,Trade Balance (current US$ Mil),          -2923.49,          -2974.70,          -2947.31,          -2866.30,          -2285.13,          -1991.87,          -3196.00,          -2186.86,          -1589.67,          -1211.10,           -813.08,           -668.86,           -418.67,           -350.64,           -330.53,           -179.52,           -434.63,           -376.35,           -316.14,           -150.97,           -100.00,           -204.00,            -39.00,            -47.80,            -83.84,,
Moldova,Belarus,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            134.69,,,,,             80.69,             92.66,,             73.97,             71.16,,,,,,,             31.85,,,             26.46,             23.64,,,,,,
Moldova,Belarus,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,             50.66,             20.07,,,,,,
Moldova,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            481.17,            478.88,            415.75,            399.76,            320.19,            246.52,            325.48,,,,,,,,,,,,,,,,,,,,
