Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Middle East & North Africa,...,...,Development,GDP (current US$ Mil),        3491393.76,        3559062.05,        3496560.00,        3257920.00,        2687730.00,        2311070.00,        2588620.00,        2073700.00,        1757860.00,        1487690.00,        1236910.00,        1063310.00,         948122.00,         952785.00,         952675.00,         852190.00,         796322.00,         818120.00,         787494.00,         698166.00,         613535.00,         590102.00,         586139.00,         538932.00,         538051.00,         411243.86,         398227.96
Middle East & North Africa,...,...,Export,No. Of Export partners,            212.00,            220.00,            219.00,            225.00,            220.00,            221.00,            217.00,            225.00,            214.00,            215.00,            217.00,            212.00,            207.00,            204.00,            211.00,            195.00,            198.00,            199.00,            197.00,            193.00,            185.00,            181.00,            156.00,            135.00,             70.00,             71.00,
Middle East & North Africa,...,...,Export,No. Of Export products,           4206.00,           4489.00,           4465.00,           4509.00,           4568.00,           4549.00,           4657.00,           4825.00,           4709.00,           4806.00,           4683.00,           4690.00,           4619.00,           4629.00,           4616.00,           4606.00,           4619.00,           4369.00,           4465.00,           4481.00,           4317.00,           4100.00,           3895.00,           3944.00,            535.00,            554.00,
Middle East & North Africa,...,...,Import,No. Of Import partners,            227.00,            234.00,            230.00,            228.00,            227.00,            227.00,            223.00,            228.00,            222.00,            225.00,            223.00,            213.00,            215.00,            218.00,            215.00,            210.00,            207.00,            211.00,            194.00,            191.00,            195.00,            184.00,            177.00,            155.00,             87.00,             91.00,
Middle East & North Africa,...,...,Import,No. Of Import products,           4567.00,           4818.00,           4822.00,           4824.00,           4835.00,           4842.00,           4864.00,           4955.00,           4943.00,           4964.00,           4966.00,           4947.00,           4975.00,           5008.00,           5011.00,           5007.00,           5012.00,           4991.00,           4999.00,           5010.00,           4987.00,           4967.00,           4949.00,           4743.00,           1581.00,           1635.00,
Middle East & North Africa,...,...,Tariff,No. Of Tariff Agreement,            617.00,            387.00,            437.00,            166.00,            137.00,            443.00,            417.00,            402.00,            405.00,            514.00,             26.00,,              5.00,,,             12.00,,,,,,             12.00,,,,,
Middle East & North Africa,...,...,Development,Trade Balance (current US$ Mil),         262632.16,         447287.06,         532900.00,         483050.00,         238745.00,         106155.00,         388620.00,         269542.00,         286957.00,         225770.00,         126700.00,          83086.00,          48556.00,          49225.00,          79498.00,          17605.00,         -31944.00,          16011.00,          14009.00,          -1783.00,          -5365.00,         -29139.00,         209881.00,         189763.00,         198106.00,         157547.15,         138130.26
Middle East & North Africa,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          38900.42,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          35569.85,          59833.68,          52123.28,          66190.25,          61976.20,          48122.93,          60258.52,          40897.63,          30538.40,          23092.54,          17603.06,,,,,,,,,,,,,,,,
Middle East & North Africa,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,          12515.90,           9163.93,           7044.73,           6831.71,           7898.94,           7771.99,           6635.62,           4144.16,           3272.86,           1004.20,,,
Middle East & North Africa,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,          33697.95,          29508.69,,,          24283.28,          22767.68,          23773.44,          18711.65,          15378.03,          15081.09,          14599.66,          14113.01,          13006.84,           9520.58,           9318.87,          10339.94,           7824.87,           6988.54,           5930.57,           2827.81,,,
Middle East & North Africa,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,           3431.08,,,,,,,,,,
Middle East & North Africa,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          21029.58,          36370.00,          32079.86,          40035.86,          41808.21,          33960.97,          41162.66,          33057.84,          25678.83,          26003.79,          23126.80,          18662.26,          17427.93,          15364.09,          14041.72,          12812.57,          11322.68,           9230.28,           8546.78,           9150.23,           5544.26,,           4700.07,           3447.68,            130.05,            124.02,
