Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Mexico,...,...,Development,GDP (current US$ Mil),        1282719.95,        1262248.83,        1186660.00,        1171190.00,        1051130.00,         894949.00,        1101280.00,        1043470.00,         966870.00,         866346.00,         770268.00,         713284.00,         741559.00,         724704.00,         683648.00,         579460.00,         502010.00,         480555.00,         397404.00,         343793.00,         527319.00,         503963.00,         363609.00,         314454.00,         262710.00,         222977.04,         183144.28
Mexico,...,...,Export,No. Of Export partners,            195.00,            193.00,            203.00,            203.00,            194.00,            201.00,            200.00,            201.00,            200.00,            186.00,            174.00,            174.00,            175.00,            180.00,            184.00,            170.00,            164.00,            169.00,            168.00,            160.00,            155.00,            142.00,            143.00,            154.00,            157.00,,
Mexico,...,...,Export,No. Of Export products,           4265.00,           4246.00,           4256.00,           4219.00,           4243.00,           4225.00,           4242.00,           4420.00,           4448.00,           4472.00,           4216.00,           4244.00,           4287.00,           4396.00,           4380.00,           4548.00,           4568.00,           4569.00,           4559.00,           4399.00,           4404.00,           4151.00,           4156.00,           4150.00,           4149.00,,
Mexico,...,...,Import,No. Of Import partners,            221.00,            221.00,            223.00,            223.00,            224.00,            224.00,            223.00,            223.00,            222.00,            222.00,            204.00,            184.00,            186.00,            194.00,            188.00,            181.00,            178.00,            170.00,            163.00,            176.00,            166.00,            142.00,            140.00,            152.00,            159.00,,
Mexico,...,...,Import,No. Of Import products,           4470.00,           4473.00,           4461.00,           4511.00,           4521.00,           4508.00,           4518.00,           4760.00,           4771.00,           4760.00,           4720.00,           4714.00,           4716.00,           4788.00,           4799.00,           4861.00,           4863.00,           4850.00,           4860.00,           4862.00,           4884.00,           4871.00,           4878.00,           4915.00,           4908.00,,
Mexico,...,...,Tariff,No. Of Tariff Agreement,,              1.00,              1.00,              1.00,             40.00,             52.00,             52.00,             18.00,             26.00,             18.00,             18.00,              1.00,             13.00,              1.00,              1.00,              8.00,              1.00,              1.00,,              7.00,,,,              1.00,,,
Mexico,...,...,Development,Trade Balance (current US$ Mil),         -11948.92,         -11242.41,         -13334.00,         -14615.00,         -12648.00,         -13191.00,         -25051.00,         -16524.00,         -12094.00,         -12484.00,         -13549.00,         -10293.00,         -10723.00,          -8985.00,          -3949.00,          -1770.00,          -1397.00,           5486.00,          10861.70,          14561.10,         -13837.10,          -8482.20,         -18303.20,          -9143.00,          -2901.90,           -144.47,           2545.79
Mexico,Aruba,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,           1398.52,,,,,,,,,,,,,,,,
Mexico,Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           4739.62,           5386.45,           5657.55,,           3781.08,,           3366.87,,,,,,,,,,            738.10,,,            800.17,,,,,,,
Mexico,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,           1077.28,           1029.21,,,,
Mexico,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          10670.06,          10415.19,          10927.23,          10676.13,          10663.92,           8236.48,           7083.68,           6477.82,           5176.22,           4234.48,           2780.86,           3021.76,           3010.07,           3254.29,           3580.53,           2388.86,           1716.43,           2302.84,,           1985.76,           1530.74,           1561.95,           1014.99,            561.18,,,
Mexico,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,           5327.11,           4120.08,           4479.57,           4234.47,           4015.39,           2947.76,           2255.59,           2019.93,,           1373.92,           1620.14,,,            780.32,,,
Mexico,Chile,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,            731.22,            968.54,,,,,,,,,
Mexico,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           5979.47,           6470.05,           5720.86,           5965.15,           4195.90,,,,,,,,,,,,,,,,,,,,,,
Mexico,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          66255.97,          61321.38,          56936.12,          52247.99,          45607.55,          32528.97,          34690.32,          29743.66,          24438.28,          17696.35,          14373.45,           9400.18,           6273.59,           4026.83,,,,,,,,,,,,,
Mexico,Colombia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,           5632.67,,           2490.55,,           2943.24,           2132.12,           1548.27,,,,,,,,,,,,,,,,,
Mexico,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,            426.19,            444.03,            593.73,            606.77,            546.29,,
Mexico,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,            980.49,           1526.89,,           1260.16,            979.73,            716.28,,
Mexico,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,           3191.05,           4998.08,           4102.06,           2971.35,           2288.76,           1921.91,           1714.69,,           1500.47,           1541.93,           2088.26,           1111.80,,,,,,,,,,
Mexico,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          13762.33,          13460.99,          13507.76,          12862.66,          11076.77,           9727.22,          12605.73,          10687.75,           9437.04,           8670.43,           7143.23,           6217.82,           6065.06,           6079.20,           5757.13,           5030.81,           4541.92,           3996.85,,           2686.27,           3099.71,           2652.38,           2318.48,           2328.00,           1645.57,,
Mexico,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,           1172.40,           1192.40,,           1114.59,            775.21,,           1014.43,,            979.29,            923.30,            704.97,            845.53,           1229.78,           1442.24,,
Mexico,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          17544.58,          17076.12,          17655.21,          16493.50,          15014.69,          11397.11,          16282.45,          16342.98,          15295.16,          13077.78,          10582.96,           7594.57,           9347.72,           8085.24,           6463.40,           5081.02,           4534.73,           4466.47,,           3950.98,           4778.30,           3056.52,           2819.03,           2061.40,           1283.06,,
Mexico,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          13771.52,          13492.97,          13340.97,          13663.76,          12730.68,          10946.19,          13527.29,          12613.70,          10621.41,           6495.91,,,,,,           2780.22,           1822.40,           1641.17,,,,,,,,,
Mexico,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,            331.06,,
Mexico,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           5945.96,           7137.55,           7023.93,           4902.37,           3830.92,           2507.83,           4232.90,           3689.80,           3270.12,           2954.03,           1962.85,           1467.62,           1446.35,           1302.68,           1545.69,            821.91,,            947.19,,            788.92,            869.79,            876.19,           1233.66,           1183.96,           1439.71,,
Mexico,Spain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,           1172.28,,,,,
Mexico,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,            590.33,,
Mexico,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         319205.47,         299845.62,         288178.65,         274992.00,         238858.91,         185448.52,         233793.95,         223387.84,         212131.77,         183837.71,         166533.18,         144696.72,         137963.06,         136373.54,         146599.59,         120455.06,         101926.63,          93018.73,,          66338.81,          51198.16,          42935.37,          37284.31,          18738.20,          18494.04,,
Mexico,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         195857.56,         187758.44,         185683.87,         174878.46,         145450.40,         112788.74,         151746.43,         139930.56,         130809.82,         118973.10,         111262.25,         105723.45,         106899.86,         114059.68,         127689.98,         105375.82,          93306.94,          83214.06,,          53973.14,          54812.85,          48321.17,          45721.06,          24652.29,          19848.49,,
Mexico,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,           3897.15,           2737.14,,,,,,,,,,,,,
Mexico,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,           5382.68,,,,,,,,,,,,
Mexico,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,      187086212.42,      180499284.00,      166455811.05,      136190630.42,      183483162.47,      244688180.07,      203047479.10,      183795908.93,      161515849.14,      146813638.35,       15182104.12,       57499215.76,       11274314.25,       11211677.14,        1110655.05,       14448793.28,       12111993.76,        9768564.25,       14766725.99,,,,        2260648.74,,,
Mexico,World,Animal,Export,Export(US$ Mil),           3487.34,           2842.84,           2867.30,           2984.83,           2036.90,           1726.38,           1701.46,           1751.77,           1729.55,           1515.77,           1455.73,           1326.43,           1174.26,           1285.46,           1341.06,           1118.84,           1089.27,           1131.06,            993.37,           1285.21,            867.04,            908.42,            717.83,            787.31,            729.43,,
Mexico,World,Capital goods,Export,Export(US$ Mil),         178432.22,         159394.92,         151316.82,         135178.64,         120134.37,          89622.89,         105478.92,          96032.15,          95860.39,          84961.58,          78837.63,          69313.47,          67405.43,          66864.16,          67516.52,          55443.83,          44395.23,          38563.08,          31552.18,          25098.74,          19530.37,          15440.76,          13286.08,           4300.43,           3762.45,,
Mexico,World,Chemicals,Export,Export(US$ Mil),          11193.45,          11378.71,          11327.66,          10265.77,           8878.49,           7802.35,           8750.70,           7806.45,           6893.66,           6260.19,           5575.30,           4814.33,           4787.00,           4680.59,           4617.39,           3887.70,           3659.86,           3596.64,           3292.11,           3328.89,           2324.98,           2029.97,           1977.16,           1763.51,           1512.98,,
