Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Malta,...,...,Development,GDP (current US$ Mil),,           9642.85,           8882.51,           9302.64,           8163.36,           8099.40,           8554.29,           7466.22,           6365.50,           5990.65,           5643.53,           5119.62,           4296.16,           3917.62,           3957.42,           3907.95,           3809.62,           3633.46,           3671.83,           3599.68,           2998.50,           2709.19,           3021.94,           2750.22,           2547.33,           2118.66,           2019.50
Malta,...,...,Export,No. Of Export partners,            166.00,            168.00,            179.00,            161.00,            153.00,            148.00,            153.00,            146.00,            155.00,            153.00,            151.00,            137.00,            132.00,            117.00,            130.00,            112.00,            129.00,            128.00,            135.00,            100.00,            104.00,,,,,,
Malta,...,...,Export,No. Of Export products,           1541.00,           1502.00,           1582.00,           1457.00,           1431.00,           1450.00,           1489.00,           1438.00,           1507.00,           1486.00,           1492.00,           1543.00,           1624.00,           1689.00,           1630.00,           1745.00,           1654.00,           1852.00,           1881.00,           1791.00,           1623.00,,,,,,
Malta,...,...,Import,No. Of Import partners,            159.00,            165.00,            154.00,            158.00,            146.00,            148.00,            141.00,            137.00,            134.00,            128.00,            136.00,            122.00,            124.00,            127.00,            121.00,            121.00,            116.00,            127.00,            142.00,            114.00,            126.00,,,,,,
Malta,...,...,Import,No. Of Import products,           3713.00,           3716.00,           3731.00,           3788.00,           3843.00,           3783.00,           3771.00,           3812.00,           3987.00,           4026.00,           4097.00,           4109.00,           4093.00,           4131.00,           4107.00,           4155.00,           4160.00,           4180.00,           4288.00,           4328.00,           4270.00,,,,,,
Malta,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,              4.00,              4.00,,              4.00,,,              1.00,,,,,,,,,
Malta,...,...,Development,Trade Balance (current US$ Mil),,,,            438.03,            279.06,            -19.03,           -128.46,           -175.87,           -288.66,           -185.29,           -123.43,             15.25,            167.61,            -84.51,           -311.19,           -206.63,           -207.99,           -287.53,           -478.90,           -473.97,           -293.20,           -251.44,           -209.91,           -288.60,           -326.48,           -218.94,           -192.02
Malta,Bunkers,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            616.92,            719.83,            971.92,           1017.43,            717.82,,,,,,,,,,,,,,,,,,,,,,
Malta,"Egypt, Arab Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            660.85,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            271.34,            333.71,            378.96,            338.83,            316.07,            260.49,            348.32,            374.60,            412.15,            352.11,            408.08,            319.43,            277.61,            182.72,            195.19,            301.30,            379.55,            315.33,,            233.62,            153.44,,,,,,
Malta,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            375.20,            471.23,            520.70,            448.30,            299.28,            412.04,            580.61,            511.56,            361.20,            706.68,            581.27,            474.51,            409.01,            641.91,            542.80,            474.91,            422.66,,            245.56,            205.11,,,,,,
Malta,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            408.22,            462.63,            459.07,            451.29,            372.95,            304.22,            389.41,            421.47,            357.11,            293.13,            284.44,            253.03,            216.26,            255.70,            233.89,            248.69,            230.95,            220.32,,            287.04,            220.78,,,,,,
Malta,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            424.65,            424.78,            414.82,            432.30,            390.90,            372.40,            392.30,            401.36,            331.62,            347.30,            489.09,            268.12,            227.86,            238.67,            278.02,            283.94,            278.96,            254.49,,            357.85,            429.02,,,,,,
Malta,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,            436.95,            395.79,,            147.65,,,,,,,,,,,,,,,,,,,,,
Malta,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,            581.11,            583.51,,,,,,
Malta,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1547.64,           1861.12,           2535.49,           2003.49,           1411.43,            987.42,           1398.35,           1211.16,           1217.67,           1186.25,            963.77,            784.41,            629.39,            543.38,            568.73,            474.86,            513.67,            516.56,,            807.45,            645.92,,,,,,
Malta,Libya,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            277.66,            315.92,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,            228.21,            213.67,,,,,,,,,,,,,,,,,,,,,
Malta,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            380.50,,            421.35,,,,,,,,,,,,,,,,,,,,,,,
Malta,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            361.22,            316.67,            285.43,            303.85,            285.29,            404.70,            421.19,            353.33,            280.11,            381.49,            414.28,            351.48,            230.83,            377.68,            315.06,            266.61,            169.06,,,,,,,,,
Malta,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,            296.29,,            269.35,,,,,,            501.50,            270.20,,,,,,,,,,,
Malta,Turkey,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            605.42,,            388.55,,,,,,,,,,,,,,,,,,,,,,,,
Malta,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,            242.39,            306.40,            268.99,            268.24,            301.88,            289.71,            259.63,            169.36,            177.36,            183.17,            140.58,            133.51,,            143.55,            115.20,,,,,,
Malta,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            507.54,            407.71,            472.72,            501.15,            474.33,            484.59,            666.63,            688.55,            433.45,            416.54,            458.08,            314.83,            295.26,            273.20,,            309.07,            330.23,            376.94,,            457.67,            373.74,,,,,,
Malta,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,            259.77,            212.88,            269.21,            340.59,            347.59,            327.39,            411.69,            356.71,            272.85,            387.78,            667.14,            422.22,            332.69,            247.11,,            182.78,            116.67,,,,,,
Malta,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            809.18,,,,,,,            285.75,,            201.22,            203.06,            276.08,            266.66,            315.00,            360.87,,            236.80,            202.20,,            176.78,            124.67,,,,,,
Malta,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,,,,,,,,,,,         367091.90,         306918.18,,         372232.19,,,         364906.35,,,,,,,,,
Malta,World,Animal,Export,Export(US$ Mil),            130.92,            138.95,            105.30,             77.78,             92.99,             20.85,            139.41,            145.25,             91.83,             65.54,             58.83,             36.66,             41.96,             14.44,              8.42,              7.85,              7.15,              7.45,              7.62,              4.79,              7.13,,,,,,
Malta,World,Capital goods,Export,Export(US$ Mil),           1261.87,           1421.96,           1593.53,           1646.07,           1539.43,           1314.18,           1722.26,           1865.18,           1816.11,           1478.34,           1678.83,           1526.23,           1271.12,           1256.00,           1737.22,           1275.60,           1210.89,            977.21,           1071.95,           1262.59,            976.95,,,,,,
Malta,World,Chemicals,Export,Export(US$ Mil),            493.64,            460.63,            402.44,            352.65,            357.97,            268.04,            316.78,            271.40,            172.02,            116.17,             67.47,             48.92,             41.93,             42.02,             36.33,             43.89,             40.84,             47.29,             49.24,             40.50,             35.39,,,,,,
Malta,World,Consumer goods,Export,Export(US$ Mil),           3199.22,           3271.00,           3551.40,           3211.89,           1803.22,            761.77,            942.32,            963.68,            786.47,            716.97,            739.46,            776.27,            706.49,            589.65,            584.60,            582.09,            513.99,            553.06,            545.43,            506.41,            456.28,,,,,,
Malta,World,Food Products,Export,Export(US$ Mil),            165.29,            150.73,            135.64,            106.70,             93.72,             84.99,             81.30,             73.49,             78.94,             73.72,             83.31,             95.06,             85.91,             58.54,             53.09,             49.98,             46.57,             54.24,             44.96,             30.97,             25.90,,,,,,
Malta,World,Footwear,Export,Export(US$ Mil),             10.65,              6.13,              7.45,              4.85,              4.50,              2.93,              4.65,              5.18,              5.19,             13.19,             17.89,             22.83,             27.17,             30.84,             28.80,             32.14,             31.55,             28.82,             35.30,             33.53,             26.44,,,,,,
Malta,World,Fuels,Export,Export(US$ Mil),           2139.52,           2209.63,           2545.23,           2242.40,            950.57,             35.06,             64.40,             71.85,             37.92,             26.24,             84.38,            137.52,            121.17,            107.25,            106.87,             57.82,             32.15,             50.38,             46.98,             29.63,             29.63,,,,,,
Malta,World,Hides and Skins,Export,Export(US$ Mil),              2.27,              2.47,              2.30,              1.73,              1.82,              1.86,              4.65,              6.37,              6.25,              6.01,              6.52,              7.44,              6.52,              6.76,              6.89,              9.00,              9.42,             10.30,             11.90,             11.68,             10.58,,,,,,
Malta,World,Intermediate goods,Export,Export(US$ Mil),            312.64,            296.30,            317.03,            277.92,            227.71,            142.31,            154.01,            133.29,            117.25,            129.96,            122.34,            112.31,             93.45,             86.10,             94.98,            102.07,             91.72,             94.63,            114.66,            112.44,             85.51,,,,,,
Malta,World,Mach and Elec,Export,Export(US$ Mil),           1179.00,           1344.71,           1450.10,           1511.28,           1478.67,           1261.96,           1659.14,           1775.17,           1675.69,           1395.72,           1595.31,           1474.96,           1225.06,           1222.41,           1703.93,           1218.61,           1130.61,            925.20,           1027.00,           1197.47,            973.27,,,,,,
Malta,World,Metals,Export,Export(US$ Mil),             46.31,             37.70,             40.77,             42.25,             39.06,             36.15,             41.91,             41.00,             36.30,             36.03,             37.14,             29.19,             29.10,             23.08,             26.04,             31.64,             27.49,             24.78,             27.47,             21.83,             20.51,,,,,,
Malta,World,Minerals,Export,Export(US$ Mil),              0.20,              0.13,              0.11,              0.03,              0.23,              0.21,              0.17,              0.05,              0.01,              0.10,              0.01,              0.04,              0.13,              0.07,              0.10,              0.21,              0.02,              0.04,              0.02,              0.00,              0.06,,,,,,
Malta,World,Miscellaneous,Export,Export(US$ Mil),            280.79,            280.95,            270.40,            275.63,            215.84,            194.37,            210.40,            228.53,            232.03,            206.43,            201.76,            158.43,            136.26,            114.51,            123.54,            131.55,            120.50,            126.73,            130.08,            137.03,             97.67,,,,,,
Malta,World,Plastic or Rubber,Export,Export(US$ Mil),            122.00,            130.55,            123.20,            132.28,            111.61,             85.35,            133.84,            126.50,            107.20,             99.30,             98.76,             85.15,             76.67,             71.59,             77.68,             78.44,             68.29,             61.46,             57.73,             54.32,             45.07,,,,,,
Malta,World,Raw materials,Export,Export(US$ Mil),            160.05,            180.90,            153.81,            115.08,            118.34,             34.97,            180.87,            172.75,            106.52,             83.75,             72.36,             46.44,             49.93,             21.82,             16.16,             14.79,             14.28,             18.21,             14.81,             16.22,             15.43,,,,,,
Malta,World,Stone and Glass,Export,Export(US$ Mil),             41.84,             54.72,             73.24,             69.74,             74.83,             21.99,             22.26,             23.42,             22.18,             16.53,             18.42,             16.46,             22.34,             39.16,             33.68,             31.75,             36.19,             35.02,             34.71,             41.68,             36.58,,,,,,
Malta,World,Textiles and Clothing,Export,Export(US$ Mil),             60.49,             76.59,             91.01,             96.56,             84.93,             77.00,            103.80,            121.42,            129.71,            174.84,            181.84,            209.13,            191.38,            165.39,            163.80,            189.01,            173.43,            182.71,            182.72,            180.56,            156.10,,,,,,
Malta,World,Transportation,Export,Export(US$ Mil),            150.88,            133.09,            247.83,            202.30,             81.56,             48.15,             64.38,            123.15,            142.20,             88.03,             76.20,             55.04,             50.19,             13.71,             23.03,             38.13,             60.37,             39.89,             23.60,             71.49,             31.21,,,,,,
Malta,World,Vegetable,Export,Export(US$ Mil),              9.77,             24.52,             25.69,             11.89,              9.08,              3.40,             27.03,             13.80,              4.11,             11.47,              4.69,              3.43,              3.61,              4.33,              4.04,              4.83,              4.53,              7.27,              5.16,              5.54,              3.48,,,,,,
Malta,World,Wood,Export,Export(US$ Mil),            137.21,            154.73,            125.58,            150.62,            119.35,            137.96,            154.39,            131.75,            105.67,            101.26,             99.20,             86.80,             66.86,             43.75,             41.64,             54.75,             43.65,             42.68,             63.40,             52.21,             58.64,,,,,,
Malta,World,All Products,Export,Exports (in US$ Mil),           4970.79,           5206.24,           5646.27,           5278.69,           3716.75,           2280.27,           3028.52,           3158.34,           2847.26,           2430.59,           2631.73,           2467.06,           2126.26,           1957.85,           2437.89,           1979.63,           1832.75,           1644.26,           1747.89,           1913.22,           1557.66,,,,,,
Malta,World,Capital goods,Import,Import(US$ Mil),           1598.85,           1470.64,           1442.74,           1738.95,           1680.22,           1287.00,           1602.38,           1796.90,           1944.63,           1538.16,           1941.00,           1511.93,           1223.18,           1212.44,           1856.29,           1359.54,           1257.26,           1095.04,           1237.42,           1408.34,           1205.26,,,,,,
Malta,World,Consumer goods,Import,Import(US$ Mil),           5728.93,           4991.13,           5384.21,           4604.77,           3035.91,           1899.39,           2469.11,           2129.33,           1658.51,           1591.85,           1520.34,           1259.55,           1061.65,            992.50,           1013.18,            947.81,            852.70,            899.09,            950.95,            917.91,            691.82,,,,,,
Malta,World,Intermediate goods,Import,Import(US$ Mil),            816.03,            742.36,            768.68,            794.67,            767.68,            604.39,            724.96,            691.86,            569.74,            526.64,            514.06,            483.75,            422.51,            402.35,            415.18,            419.08,            440.33,            441.95,            472.30,            483.50,            437.12,,,,,,
Malta,World,Raw materials,Import,Import(US$ Mil),            268.23,            284.35,            268.83,            222.14,            209.41,            207.41,            296.62,            285.68,            182.17,            167.72,            146.34,            119.24,            108.53,             93.97,             91.31,             94.91,             97.71,             99.69,            116.94,            104.51,             91.43,,,,,,
Malta,World,All Products,Import,Imports (in US$ Mil),           8445.21,           7525.36,           7896.22,           7395.94,           5732.17,           4034.12,           5140.83,           4947.02,           4395.51,           3865.23,           4153.37,           3402.47,           2839.16,           2725.02,           3398.73,           2840.15,           2666.50,           2553.50,           2802.32,           2941.74,           2440.72,,,,,,
Malta,...,...,Development,"GNI per capita, Atlas method (current US$)",,  21000.00,  20000.00,  20100.00,  20090.00,  18810.00,  19230.00,  16590.00,  15300.00,  14390.00,  12940.00,  11300.00,  10310.00,  10160.00,  10510.00,  10380.00,   9940.00,  10270.00,   9910.00,   9290.00,   8760.00,   8720.00,   8870.00,   8080.00,   7600.00,   6910.00,   6260.00
Malta,...,...,Trade Indicator,HH Market concentration index,      0.07,      0.05,      0.05,      0.05,      0.06,      0.04,      0.06,      0.06,      0.06,      0.06,      0.07,      0.08,      0.08,      0.07,      0.11,      0.10,      0.09,      0.08,      0.09,      0.14,      0.20,,,,,,
Malta,...,...,Trade Indicator,Index of export market penetration,      2.97,      3.07,      2.95,      2.80,      2.74,      2.68,      2.75,      2.74,      2.60,      2.60,      2.65,      2.63,      2.58,      2.52,      2.44,      2.31,      2.28,      2.26,      2.18,      2.11,      2.13,,,,,,
Malta,...,...,Development,Trade (% of GDP),,,,    182.51,    172.95,    157.79,    177.06,    180.79,    177.51,    156.72,    159.01,    157.37,    162.34,    163.07,    188.98,    171.06,    163.21,    160.47,    167.88,    179.33,    181.70,    178.91,    170.47,    165.24,    164.48,    154.60,    150.32
Malta,...,...,Development,Trade Balance (% of GDP),,,,      4.71,      3.42,     -0.23,     -1.50,     -2.36,     -4.53,     -3.09,     -2.19,      0.30,      3.90,     -2.16,     -7.86,     -5.29,     -5.46,     -7.91,    -13.04,    -13.17,     -9.78,     -9.28,     -6.95,    -10.49,    -12.82,    -10.33,     -9.51
Malta,...,...,Development,Trade in services (% of GDP),,    226.12,    231.04,     88.19,     88.10,     80.84,     83.19,     74.68,     68.43,     54.47,,,,,,,,,,,,,,,,,
Malta,Bunkers,All Products,Export,Partner share(%)-Top 5 Export Partner,     12.41,     13.83,     17.21,     19.27,     19.31,,,,,,,,,,,,,,,,,,,,,,
Malta,"Egypt, Arab Rep.",All Products,Export,Partner share(%)-Top 5 Export Partner,     13.29,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,France,All Products,Export,Partner share(%)-Top 5 Export Partner,      5.46,      6.41,      6.71,      6.42,      8.50,     11.42,     11.50,     11.86,     14.48,     14.49,     15.51,     12.95,     13.06,      9.33,      8.01,     15.22,     20.71,     19.18,,     12.21,      9.85,,,,,,
Malta,France,All Products,Import,Partner share(%)-Top 5 Import Partner,,      4.99,      5.97,      7.04,      7.82,      7.42,      8.02,     11.74,     11.64,      9.34,     17.01,     17.08,     16.71,     15.01,     18.89,     19.11,     17.81,     16.55,,      8.35,      8.40,,,,,,
Malta,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,      8.21,      8.89,      8.13,      8.55,     10.03,     13.34,     12.86,     13.34,     12.54,     12.06,     10.81,     10.26,     10.17,     13.06,      9.59,     12.56,     12.60,     13.40,,     15.00,     14.17,,,,,,
Malta,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,      5.03,      5.64,      5.25,      5.85,      6.82,      9.23,      7.63,      8.11,      7.54,      8.99,     11.78,      7.88,      8.03,      8.76,      8.18,     10.00,     10.46,      9.97,,     12.16,     17.58,,,,,,
Malta,"Hong Kong, China",All Products,Export,Partner share(%)-Top 5 Export Partner,,,      7.74,      7.50,,      6.48,,,,,,,,,,,,,,,,,,,,,
Malta,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,     30.37,     37.46,,,,,,
Malta,Italy,All Products,Import,Partner share(%)-Top 5 Import Partner,     18.33,     24.73,     32.11,     27.09,     24.62,     24.48,     27.20,     24.48,     27.70,     30.69,     23.20,     23.05,     22.17,     19.94,     16.73,     16.72,     19.26,     20.23,,     27.45,     26.46,,,,,,
Malta,Libya,All Products,Export,Partner share(%)-Top 5 Export Partner,      5.59,      6.07,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,Netherlands,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,      3.98,      5.30,,,,,,,,,,,,,,,,,,,,,
Malta,Russian Federation,All Products,Import,Partner share(%)-Top 5 Import Partner,,      5.06,,      5.70,,,,,,,,,,,,,,,,,,,,,,,
Malta,Singapore,All Products,Export,Partner share(%)-Top 5 Export Partner,,      6.94,      5.61,      5.41,      8.18,     12.51,     13.36,     13.34,     12.41,     11.52,     14.50,     16.79,     16.53,     11.79,     15.49,     15.92,     14.55,     10.28,,,,,,,,,
Malta,Singapore,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,      5.76,,      6.13,,,,,,     14.76,      9.51,,,,,,,,,,,
Malta,Turkey,All Products,Import,Partner share(%)-Top 5 Import Partner,      7.17,,      4.92,,,,,,,,,,,,,,,,,,,,,,,,
Malta,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,      8.00,      9.70,      9.45,     11.04,     11.47,     11.74,     12.21,      8.65,      7.28,      9.25,      7.67,      8.12,,      7.50,      7.40,,,,,,
Malta,United Kingdom,All Products,Import,Partner share(%)-Top 5 Import Partner,      6.01,      5.42,      5.99,      6.78,      8.27,     12.01,     12.97,     13.92,      9.86,     10.78,     11.03,      9.25,     10.40,     10.03,,     10.88,     12.38,     14.76,,     15.56,     15.31,,,,,,
Malta,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,      6.99,      9.34,      8.89,     10.78,     12.21,     13.47,     15.64,     14.46,     12.83,     19.81,     27.37,     21.33,     18.15,     15.03,,      9.55,      7.49,,,,,,
Malta,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,      9.58,,,,,,,      5.78,,      5.21,      4.89,      8.11,      9.39,     11.56,     10.62,,      8.88,      7.92,,      6.01,      5.11,,,,,,
Malta,World,All Products,Trade Indicator,Country Growth (%),    -12.96,      0.80,      0.03,      0.42,     14.22,    -22.47,     21.56,     13.79,     11.69,     -2.50,      4.60,     10.45,      6.13,      0.10,     10.85,     -0.08,     11.68,     -3.34,     -4.58,      9.17,     46.91,,,,,,
Malta,World,All Products,Tariff,Duty Free Tariff Lines Share (%),,,,,,,,,,,,     19.77,     19.77,,     15.24,,,     15.81,,,,,,,,,
Malta,World,Animal,Export,Export Product share(%),      2.63,      2.67,      1.86,      1.47,      2.50,      0.91,      4.60,      4.60,      3.23,      2.70,      2.24,      1.49,      1.97,      0.74,      0.35,      0.40,      0.39,      0.45,      0.44,      0.25,      0.46,,,,,,
Malta,World,Capital goods,Export,Export Product share(%),     25.39,     27.31,     28.22,     31.18,     41.42,     57.63,     56.87,     59.06,     63.78,     60.82,     63.79,     61.86,     59.78,     64.15,     71.26,     64.44,     66.07,     59.43,     61.33,     65.99,     62.72,,,,,,
Malta,World,Chemicals,Export,Export Product share(%),      9.93,      8.85,      7.13,      6.68,      9.63,     11.75,     10.46,      8.59,      6.04,      4.78,      2.56,      1.98,      1.97,      2.15,      1.49,      2.22,      2.23,      2.88,      2.82,      2.12,      2.27,,,,,,
Malta,World,Consumer goods,Export,Export Product share(%),     64.36,     62.83,     62.90,     60.85,     48.52,     33.41,     31.11,     30.51,     27.62,     29.50,     28.10,     31.47,     33.23,     30.12,     23.98,     29.40,     28.04,     33.64,     31.20,     26.47,     29.29,,,,,,
Malta,World,Food Products,Export,Export Product share(%),      3.33,      2.90,      2.40,      2.02,      2.52,      3.73,      2.68,      2.33,      2.77,      3.03,      3.17,      3.85,      4.04,      2.99,      2.18,      2.52,      2.54,      3.30,      2.57,      1.62,      1.66,,,,,,
Malta,World,Footwear,Export,Export Product share(%),      0.21,      0.12,      0.13,      0.09,      0.12,      0.13,      0.15,      0.16,      0.18,      0.54,      0.68,      0.93,      1.28,      1.58,      1.18,      1.62,      1.72,      1.75,      2.02,      1.75,      1.70,,,,,,
Malta,World,Fuels,Export,Export Product share(%),     43.04,     42.44,     45.08,     42.48,     25.58,      1.54,      2.13,      2.27,      1.33,      1.08,      3.21,      5.57,      5.70,      5.48,      4.38,      2.92,      1.75,      3.06,      2.69,      1.55,      1.90,,,,,,
Malta,World,Hides and Skins,Export,Export Product share(%),      0.05,      0.05,      0.04,      0.03,      0.05,      0.08,      0.15,      0.20,      0.22,      0.25,      0.25,      0.30,      0.31,      0.35,      0.28,      0.45,      0.51,      0.63,      0.68,      0.61,      0.68,,,,,,
