Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Myanmar,...,...,Development,GDP (current US$ Mil),          64330.04,          58652.24,          74690.90,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,...,...,Export,No. Of Export partners,,,,,             73.00,,,,,,,,,,,,,,,,,,             52.00,,,,
Myanmar,...,...,Export,No. Of Export products,,,,,            202.00,,,,,,,,,,,,,,,,,,            144.00,,,,
Myanmar,...,...,Import,No. Of Import partners,,,,,            117.00,,,,,,,,,             43.00,,,,,,,,,            103.00,,,,
Myanmar,...,...,Import,No. Of Import products,,,,,           2741.00,,,,,,,,,           3296.00,,,,,,,,,           2614.00,,,,
Myanmar,...,...,Tariff,No. Of Tariff Agreement,,,,,              5.00,,,,,,,,,              2.00,,,,,,,,,,,,,
Myanmar,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,            476.27,,,,,,,,,,,,,,,,,,,,,,
Myanmar,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,           1128.48,,,,,,,,,            311.12,,,,,,,,,,,,,
Myanmar,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,           1611.75,,,,,,,,,,,,,,,,,,             56.10,,,,
Myanmar,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,            958.11,,,,,,,,,,,,,,,,,,            100.63,,,,
Myanmar,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,             33.18,,,,
Myanmar,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,            218.81,,,,,,,,,            389.76,,,,,,,,,            246.93,,,,
Myanmar,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,            252.51,,,,,,,,,            361.28,,,,,,,,,             28.22,,,,
Myanmar,Malaysia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,            347.45,,,,,,,,,             53.36,,,,
Myanmar,Pakistan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,             28.43,,,,
Myanmar,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,            276.31,,,,,,,,,,,,,,,,,,            105.94,,,,
Myanmar,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,           1122.55,,,,,,,,,            662.74,,,,,,,,,             92.40,,,,
Myanmar,Thailand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,           3177.25,,,,,,,,,,,,,,,,,,,,,,
Myanmar,Thailand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,            473.44,,,,,,,,,,,,,,,,,,,,,,
Myanmar,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,             35.42,,,,
Myanmar,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,,,,         331211.06,,,,,,,,,          56815.73,,,,,,,,,,,,,
Myanmar,World,Animal,Export,Export(US$ Mil),,,,,            341.07,,,,,,,,,,,,,,,,,,             34.13,,,,
Myanmar,World,Capital goods,Export,Export(US$ Mil),,,,,              5.38,,,,,,,,,,,,,,,,,,              4.23,,,,
Myanmar,World,Chemicals,Export,Export(US$ Mil),,,,,              0.93,,,,,,,,,,,,,,,,,,              0.19,,,,
Myanmar,World,Consumer goods,Export,Export(US$ Mil),,,,,           3524.47,,,,,,,,,,,,,,,,,,             80.29,,,,
Myanmar,World,Food Products,Export,Export(US$ Mil),,,,,             17.79,,,,,,,,,,,,,,,,,,              6.08,,,,
Myanmar,World,Footwear,Export,Export(US$ Mil),,,,,             54.82,,,,,,,,,,,,,,,,,,              0.09,,,,
Myanmar,World,Fuels,Export,Export(US$ Mil),,,,,           2936.01,,,,,,,,,,,,,,,,,,              1.30,,,,
Myanmar,World,Hides and Skins,Export,Export(US$ Mil),,,,,              6.73,,,,,,,,,,,,,,,,,,              0.14,,,,
Myanmar,World,Intermediate goods,Export,Export(US$ Mil),,,,,           2895.23,,,,,,,,,,,,,,,,,,             44.59,,,,
Myanmar,World,Mach and Elec,Export,Export(US$ Mil),,,,,              1.88,,,,,,,,,,,,,,,,,,              2.85,,,,
Myanmar,World,Metals,Export,Export(US$ Mil),,,,,             53.18,,,,,,,,,,,,,,,,,,              8.87,,,,
Myanmar,World,Minerals,Export,Export(US$ Mil),,,,,             15.66,,,,,,,,,,,,,,,,,,              3.21,,,,
