Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Mongolia,...,...,Development,GDP (current US$ Mil),          12015.94,          12545.22,          12292.80,          10409.80,           7189.48,           4583.85,           5623.22,           4235.00,           3414.06,           2523.47,           1992.07,           1595.30,           1396.56,           1268.00,           1136.90,           1057.41,           1124.44,           1180.93,           1345.72,           1452.17,            925.82,            768.40,           1317.61,           2379.02,           2560.79,           3576.97,           3204.46
Mongolia,...,...,Export,No. Of Export partners,             68.00,             60.00,,,,,,             71.00,             70.00,             68.00,             66.00,             59.00,,             46.00,             42.00,             40.00,             49.00,             44.00,             26.00,,,,,,,,
Mongolia,...,...,Export,No. Of Export products,           1153.00,            981.00,,,,,,            941.00,           1255.00,            873.00,            823.00,            702.00,,            659.00,            625.00,            681.00,            504.00,            642.00,            457.00,,,,,,,,
Mongolia,...,...,Import,No. Of Import partners,            132.00,            131.00,,,,,,             92.00,             95.00,             88.00,             86.00,             73.00,,             63.00,             63.00,             57.00,             61.00,             63.00,             59.00,,,,,,,,
Mongolia,...,...,Import,No. Of Import products,           3272.00,           3473.00,,,,,,           3224.00,           3210.00,           3166.00,           3066.00,           3120.00,,           3236.00,           3079.00,           2935.00,           2846.00,           2688.00,           2366.00,,,,,,,,
Mongolia,...,...,Tariff,No. Of Tariff Agreement,,              1.00,,,,,,              1.00,              1.00,              1.00,              1.00,              1.00,,              2.00,              1.00,              1.00,,,,,,,,,,,
Mongolia,...,...,Development,Trade Balance (current US$ Mil),           -298.72,          -2561.31,          -2759.03,          -2278.92,           -718.37,           -332.68,           -740.24,             57.11,            203.36,           -122.20,           -194.30,           -248.79,           -238.31,           -192.50,           -157.95,           -126.09,           -131.16,             63.08,            -93.20,            -14.82,            -91.62,            -85.12,            -97.89,           -677.23,           -565.23,          -1122.83,          -1204.03
Mongolia,Australia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,             34.46,,,,,,,,,,,,,,,
Mongolia,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            135.51,,,,,,            178.49,            171.19,            122.05,,,,,,,,,,,,,,,,,
Mongolia,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           5070.11,           3700.27,,,,,,           1399.80,           1046.08,            512.38,            407.20,            284.24,,            231.53,            266.99,            204.45,            194.90,            234.34,,,,,,,,,
