Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Montenegro,...,...,Export,No. Of Export partners,             80.00,             82.00,             72.00,             67.00,             61.00,             58.00,             60.00,             64.00,             59.00,,,,,,,,,,,,,,,,,,
Montenegro,...,...,Export,No. Of Export products,           1690.00,           1656.00,           1694.00,           1579.00,           1546.00,           1590.00,           1476.00,           1441.00,           1354.00,,,,,,,,,,,,,,,,,,
Montenegro,...,...,Import,No. Of Import partners,            172.00,            183.00,            169.00,            170.00,            163.00,            166.00,            169.00,            159.00,            153.00,,,,,,,,,,,,,,,,,,
Montenegro,...,...,Import,No. Of Import products,           3655.00,           3615.00,           3632.00,           3640.00,           3646.00,           3555.00,           3574.00,           3750.00,           3660.00,,,,,,,,,,,,,,,,,,
Montenegro,...,...,Tariff,No. Of Tariff Agreement,             14.00,             15.00,             15.00,             11.00,             11.00,             11.00,             10.00,              9.00,,,,,,,,,,,,,,,,,,,
Montenegro,Belarus,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             43.71,,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,Bosnia and Herzegovina,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             42.14,             24.40,             35.22,,             31.87,             24.93,             29.40,,,,,,,,,,,,,,,,,,,,
Montenegro,Bosnia and Herzegovina,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            168.07,            167.54,            158.15,            193.67,            162.88,            127.42,,,,,,,,,,,,,,,,,,,,,
Montenegro,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            176.07,            189.71,            167.63,,,,            182.65,            138.95,,,,,,,,,,,,,,,,,,,
Montenegro,Croatia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             43.79,             79.01,            107.33,             63.77,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,Croatia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,             80.85,,,,,,,,,,,,,,,,,,
Montenegro,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,            147.94,            145.65,            154.14,            155.31,            331.50,            297.93,            211.48,,,,,,,,,,,,,,,,,,
Montenegro,Greece,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,             54.59,             74.54,             66.87,             78.86,             83.26,             63.68,,,,,,,,,,,,,,,,,,
Montenegro,Greece,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            191.62,            198.87,            204.30,            201.18,            152.07,            139.21,            269.05,,             83.70,,,,,,,,,,,,,,,,,,
Montenegro,Hungary,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,            106.80,             38.28,,,             87.23,             40.16,,,,,,,,,,,,,,,,,,
Montenegro,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             46.07,,,             43.17,             64.54,             46.09,            191.75,            199.61,            226.29,,,,,,,,,,,,,,,,,,
Montenegro,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            153.93,            156.15,,            149.79,            130.60,            148.51,            290.74,            286.04,            178.07,,,,,,,,,,,,,,,,,,
Montenegro,"Serbia, FR(Serbia/Montenegro)",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            105.82,            177.10,            107.09,            110.93,            122.96,            130.89,            172.07,            140.65,            138.61,,,,,,,,,,,,,,,,,,
Montenegro,"Serbia, FR(Serbia/Montenegro)",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            637.60,            671.68,            683.90,            723.75,            571.77,            625.50,            901.60,            693.85,            473.62,,,,,,,,,,,,,,,,,,
Montenegro,Slovenia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,             47.78,             37.11,,,             33.96,             55.35,             39.50,             24.35,,,,,,,,,,,,,,,,,,
Montenegro,Switzerland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,            135.89,,,,,,,,,,,,,,,,,,,
Montenegro,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,             26.17,             30.23,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,World,All Products,Tariff,Duty Free Imports (US$ Thousand),        1624719.95,        1603511.25,        1371282.24,        1317793.12,        1029695.70,         921523.14,        1836489.57,         736641.89,,,,,,,,,,,,,,,,,,,
Montenegro,World,Animal,Export,Export(US$ Mil),             55.55,              8.96,              5.84,              4.65,              4.86,              4.45,              4.67,              2.69,              2.74,,,,,,,,,,,,,,,,,,
Montenegro,World,Capital goods,Export,Export(US$ Mil),             28.85,             31.59,             29.98,             30.85,             31.11,             37.12,             33.21,             18.95,             28.70,,,,,,,,,,,,,,,,,,
Montenegro,World,Chemicals,Export,Export(US$ Mil),             16.10,             11.54,             14.47,             16.05,             16.09,             16.21,             15.40,             13.24,             13.00,,,,,,,,,,,,,,,,,,
Montenegro,World,Consumer goods,Export,Export(US$ Mil),             95.55,             95.26,             95.19,            111.80,             86.79,             80.73,             91.99,             80.46,             62.23,,,,,,,,,,,,,,,,,,
Montenegro,World,Food Products,Export,Export(US$ Mil),             46.17,             46.43,             48.94,             52.02,             43.40,             40.87,             43.98,             40.80,             35.73,,,,,,,,,,,,,,,,,,
Montenegro,World,Footwear,Export,Export(US$ Mil),              1.43,              1.17,              0.89,              0.64,              0.49,              0.73,              0.90,              0.46,              0.46,,,,,,,,,,,,,,,,,,
Montenegro,World,Fuels,Export,Export(US$ Mil),             64.07,            143.41,             64.83,             87.56,             44.12,             11.73,             18.52,             10.88,              4.61,,,,,,,,,,,,,,,,,,
Montenegro,World,Hides and Skins,Export,Export(US$ Mil),              6.85,              8.34,              9.44,              6.99,              5.75,              3.12,              3.51,              4.74,              4.81,,,,,,,,,,,,,,,,,,
Montenegro,World,Intermediate goods,Export,Export(US$ Mil),            196.89,            288.28,            272.12,            399.13,            259.97,            236.82,            440.31,            480.55,            426.64,,,,,,,,,,,,,,,,,,
Montenegro,World,Mach and Elec,Export,Export(US$ Mil),             23.90,             24.37,             24.53,             25.45,             22.20,             31.75,             21.30,             15.48,             17.29,,,,,,,,,,,,,,,,,,
Montenegro,World,Metals,Export,Export(US$ Mil),            132.74,            158.02,            222.71,            339.28,            227.95,            221.35,            432.88,            470.75,            414.00,,,,,,,,,,,,,,,,,,
Montenegro,World,Minerals,Export,Export(US$ Mil),             16.89,             14.48,             10.97,             14.46,              6.87,              3.34,              8.78,              7.36,              7.23,,,,,,,,,,,,,,,,,,
Montenegro,World,Miscellaneous,Export,Export(US$ Mil),              5.65,              3.43,              3.15,             16.99,              6.25,              5.52,             12.59,             12.49,              5.14,,,,,,,,,,,,,,,,,,
Montenegro,World,Plastic or Rubber,Export,Export(US$ Mil),              2.07,              2.15,              1.81,              1.80,              1.89,              0.89,              1.04,              0.85,              0.81,,,,,,,,,,,,,,,,,,
Montenegro,World,Raw materials,Export,Export(US$ Mil),            119.18,             79.05,             71.28,             85.43,             58.34,             32.69,             45.88,             43.12,             37.78,,,,,,,,,,,,,,,,,,
Montenegro,World,Stone and Glass,Export,Export(US$ Mil),              2.99,              9.91,              4.72,              2.27,              1.37,              1.67,              1.36,              1.29,              1.39,,,,,,,,,,,,,,,,,,
Montenegro,World,Textiles and Clothing,Export,Export(US$ Mil),              1.85,              1.25,              1.72,              1.39,              1.76,              1.79,              1.76,              1.16,              1.03,,,,,,,,,,,,,,,,,,
Montenegro,World,Transportation,Export,Export(US$ Mil),              6.51,             10.09,              8.84,              7.95,             13.54,              7.48,             12.27,              5.54,             11.18,,,,,,,,,,,,,,,,,,
Montenegro,World,Vegetable,Export,Export(US$ Mil),             19.54,             19.25,             18.08,             16.07,             13.21,             11.62,             12.14,              8.02,              8.32,,,,,,,,,,,,,,,,,,
Montenegro,World,Wood,Export,Export(US$ Mil),             38.36,             31.58,             27.85,             33.95,             26.85,             25.03,             25.51,             30.54,             28.74,,,,,,,,,,,,,,,,,,
Montenegro,World,All Products,Export,Exports (in US$ Mil),            440.66,            494.38,            468.79,            627.53,            436.58,            387.54,            616.62,            626.29,            556.46,,,,,,,,,,,,,,,,,,
Montenegro,World,Capital goods,Import,Import(US$ Mil),            330.57,            341.31,            319.53,            321.95,            332.76,            378.74,            712.19,            529.28,            313.00,,,,,,,,,,,,,,,,,,
Montenegro,World,Consumer goods,Import,Import(US$ Mil),           1338.62,           1320.92,           1274.70,           1356.22,           1190.33,           1212.92,           1827.95,           1379.67,            915.23,,,,,,,,,,,,,,,,,,
Montenegro,World,Intermediate goods,Import,Import(US$ Mil),            396.17,            418.74,            496.69,            595.00,            420.98,            469.00,            748.77,            595.88,            353.89,,,,,,,,,,,,,,,,,,
Montenegro,World,Raw materials,Import,Import(US$ Mil),            274.21,            241.98,            221.47,            244.96,            214.61,            221.86,            275.40,            182.38,            133.58,,,,,,,,,,,,,,,,,,
Montenegro,World,All Products,Import,Imports (in US$ Mil),           2366.75,           2348.87,           2336.35,           2544.04,           2181.94,           2313.14,           3731.17,           2867.31,           1841.51,,,,,,,,,,,,,,,,,,
Montenegro,...,...,Trade Indicator,HH Market concentration index,      0.06,      0.11,      0.08,      0.10,      0.16,      0.17,      0.18,      0.19,      0.23,,,,,,,,,,,,,,,,,,
Montenegro,...,...,Trade Indicator,Index of export market penetration,      1.71,      1.69,      1.69,      1.63,      1.54,      1.62,      1.55,      1.50,      1.37,,,,,,,,,,,,,,,,,,
Montenegro,Belarus,All Products,Export,Partner share(%)-Top 5 Export Partner,      9.92,,,,,,,,,,,,,,,,,,,,,,,,,,
