Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Mozambique,...,...,Development,GDP (current US$ Mil),          16385.58,          15457.20,          14934.40,          13197.10,          10119.20,          10718.50,          11050.30,           9115.53,           7095.92,           6578.52,           5697.99,           4666.20,           4201.33,           4075.05,           4310.09,           4536.28,           4324.47,           3810.03,           3241.72,           2246.79,           2162.77,           2027.65,           1968.90,           2748.96,           2512.11,           2314.10,           2093.39
Mozambique,...,...,Export,No. Of Export partners,            118.00,            118.00,            107.00,            113.00,            106.00,            108.00,            113.00,             92.00,             96.00,             91.00,             89.00,             87.00,             83.00,             70.00,             73.00,,,             56.00,             44.00,             51.00,             33.00,,,,,,
Mozambique,...,...,Export,No. Of Export products,           1239.00,           1186.00,            827.00,            951.00,           1005.00,           1383.00,           1471.00,           1358.00,           1614.00,           1228.00,           1303.00,           1626.00,           1340.00,           1076.00,            869.00,,,,,,,,,,,,
Mozambique,...,...,Import,No. Of Import partners,            176.00,            182.00,            174.00,            161.00,            157.00,            157.00,            158.00,            156.00,            144.00,            150.00,            133.00,            129.00,            132.00,            127.00,            143.00,,,             66.00,             45.00,             41.00,             48.00,,,,,,
Mozambique,...,...,Import,No. Of Import products,           3949.00,           3902.00,           3773.00,           3458.00,           3604.00,           3843.00,           3864.00,           3774.00,           3808.00,           3733.00,           3690.00,           3650.00,           3494.00,           3407.00,           3720.00,,,,,,,,,,,,
Mozambique,...,...,Tariff,No. Of Tariff Agreement,              5.00,,              3.00,              1.00,              3.00,              3.00,              1.00,              3.00,              3.00,              5.00,,              5.00,              5.00,              5.00,,,,,,,,,,,,,
Mozambique,...,...,Development,Trade Balance (current US$ Mil),          -1872.71,          -1604.13,          -1521.12,          -1493.69,           -850.21,          -1001.77,           -621.83,           -629.80,           -628.96,           -803.67,           -621.68,           -874.18,           -903.78,           -615.32,           -883.57,           -932.21,           -532.21,           -428.87,           -475.37,           -571.65,           -733.81,           -695.89,           -608.18,           -680.08,           -700.73,           -704.08,           -611.83
Mozambique,Bahrain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            810.24,            561.48,            389.50,,,,            269.72,,,,,,,,,,,,,,,,,,,,
Mozambique,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            104.98,            637.34,            167.69,             79.57,             74.48,             51.60,             44.04,,,,,,,,,,,,,,,,,,,
Mozambique,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            700.02,            644.12,,            373.85,            130.04,            173.12,            156.09,,,,,,,,,,,,,,,,,,,,
Mozambique,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            387.58,            679.57,            155.07,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,            300.52,            201.70,            244.68,,            131.82,            136.84,             96.72,             63.72,             68.04,             79.30,,,,,,,,,,,,,,
Mozambique,"Iran, Islamic Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,            151.72,,,,,,,,,,,,,,,,,,,,,,,
