Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Malaysia,...,...,Development,GDP (current US$ Mil),         326933.04,         313158.25,         304957.00,         289327.00,         247534.00,         202257.00,         230812.00,         193549.00,         162692.00,         143534.00,         124750.00,         110202.00,         100846.00,          92783.90,          93789.50,          79148.20,          72175.60,         100169.00,         100851.00,          88832.50,          74481.20,          66894.40,          59151.70,          49133.90,          44023.80,          38848.57,          35271.88
Malaysia,...,...,Export,No. Of Export partners,            220.00,            225.00,            226.00,            223.00,            224.00,            222.00,            223.00,            221.00,            219.00,            215.00,            218.00,            210.00,            213.00,            204.00,            206.00,            203.00,            192.00,            196.00,            205.00,            201.00,            200.00,            193.00,            182.00,            174.00,            183.00,            131.00,
Malaysia,...,...,Export,No. Of Export products,           4097.00,           4144.00,           4168.00,           4133.00,           4128.00,           4167.00,           4296.00,           4295.00,           4336.00,           4228.00,           4267.00,           4204.00,           4178.00,           4287.00,           4188.00,           4283.00,           4211.00,           4191.00,           4284.00,           4219.00,           4355.00,           4244.00,           4307.00,           4251.00,           4200.00,           4155.00,
Malaysia,...,...,Import,No. Of Import partners,            209.00,            210.00,            214.00,            210.00,            214.00,            218.00,            213.00,            213.00,            210.00,            213.00,            199.00,            175.00,            185.00,            193.00,            169.00,            191.00,            159.00,            167.00,            199.00,            193.00,            185.00,            176.00,            163.00,            160.00,            180.00,            126.00,
Malaysia,...,...,Import,No. Of Import products,           4470.00,           4460.00,           4486.00,           4486.00,           4460.00,           4481.00,           4668.00,           4682.00,           4693.00,           4624.00,           4635.00,           4631.00,           4652.00,           4790.00,           4702.00,           4728.00,           4660.00,           4742.00,           4840.00,           4816.00,           4895.00,           4865.00,           4874.00,           4860.00,           4900.00,           4859.00,
Malaysia,...,...,Tariff,No. Of Tariff Agreement,,              1.00,              1.00,              1.00,              2.00,              6.00,              4.00,              4.00,              2.00,              1.00,              1.00,              2.00,              2.00,              2.00,              1.00,              1.00,              1.00,              3.00,,,,              3.00,,              3.00,,,
Malaysia,...,...,Development,Trade Balance (current US$ Mil),          31934.76,          29050.99,          35282.00,          47481.00,          42006.00,          41007.00,          51543.00,          38461.00,          35456.00,          31497.00,          25415.00,          21700.60,          17400.20,          16182.10,          18019.30,          19828.20,          15875.10,            915.40,           1397.10,          -3495.40,          -1194.20,            -66.80,            802.40,          -1798.50,            899.90,           2356.02,           3600.12
Malaysia,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          28222.68,          30775.46,          28742.90,          29821.38,          25057.17,          19103.88,          19012.61,          15443.85,          11638.25,           9284.40,           8496.38,           6787.23,           5265.19,,,,,,,,,,,,,,
Malaysia,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          35322.31,          33728.56,          29723.04,          24710.27,          20679.87,          17245.92,          20046.60,          18841.70,          15883.59,          13173.66,          10335.27,           7271.22,           6139.15,           3804.44,,,,,,,,,,,,,
Malaysia,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,           1634.57,,,,
Malaysia,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,           3434.92,           2500.21,           1750.56,           1677.79,,,,
Malaysia,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,           8245.96,           7562.08,           6769.35,           5337.03,           4025.97,           4435.28,,           3397.34,           4341.06,,           3947.81,           2714.65,           1944.42,,,,,
Malaysia,Indonesia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,          11469.98,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          25276.97,          25115.84,          26997.64,          26134.47,          20611.24,          15462.31,          21186.47,          16203.92,          14244.77,          13340.23,          12762.91,          11186.04,          10449.12,          11711.29,          12834.30,           9812.64,           7705.96,           9795.92,,           9352.21,           7091.84,           6119.36,           5475.57,           5394.31,           4655.91,           4027.00,
Malaysia,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          16731.37,          17888.70,          20181.28,          21346.07,          20704.52,          15430.30,          19453.71,          18866.75,          17341.03,          16578.96,          16944.51,          14220.77,          14184.66,          14211.13,          17240.29,          13631.80,          11448.83,          17348.44,,          21183.18,          15911.78,          12541.83,          10358.50,           9555.31,           7052.69,           5438.18,
Malaysia,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,           1515.26,           1359.83,           1258.09,
Malaysia,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,           4553.63,,,           3663.08,           3413.21,           3355.73,           4060.97,,,,,,,,,
