Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Nigeria,...,...,Development,GDP (current US$ Mil),         568508.26,         514964.65,         460954.00,         411744.00,         369062.00,         169481.00,         208065.00,         166451.00,         145430.00,         112248.00,          87845.40,          67655.80,          59116.90,          44138.00,          46386.00,          35870.80,          32004.60,          35822.30,          34988.00,          28547.00,          18086.40,          15789.00,          29300.90,          27392.90,          30757.10,          24231.17,          23272.16
Nigeria,...,...,Export,No. Of Export partners,,            148.00,            148.00,            132.00,            145.00,            138.00,            147.00,            124.00,             81.00,,,             69.00,             54.00,             49.00,             64.00,             94.00,             62.00,             54.00,             92.00,,,,,,,,
Nigeria,...,...,Export,No. Of Export products,,           1228.00,            972.00,           1510.00,            873.00,            808.00,            938.00,            813.00,            356.00,,,            317.00,            235.00,            203.00,            289.00,            587.00,            245.00,            187.00,            366.00,,,,,,,,
Nigeria,...,...,Import,No. Of Import partners,,            188.00,            173.00,            160.00,            161.00,            171.00,            198.00,            196.00,            203.00,,,            192.00,            179.00,            195.00,            182.00,            158.00,            132.00,            140.00,            135.00,,,,,,,,
Nigeria,...,...,Import,No. Of Import products,,           3890.00,           3809.00,           3696.00,           3479.00,           3425.00,           3508.00,           3387.00,           3338.00,,,           3819.00,           3791.00,           3683.00,           3801.00,           3885.00,           3803.00,           3830.00,           3511.00,,,,,,,,
Nigeria,...,...,Tariff,No. Of Tariff Agreement,,              1.00,,              1.00,              4.00,              1.00,              1.00,,              1.00,,,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,,,,,,,,,
Nigeria,...,...,Development,Trade Balance (current US$ Mil),          11370.17,          26040.71,          85264.20,          40621.10,          29070.50,           -450.10,          30779.60,           4983.70,          31432.20,          14104.60,          10430.20,           2947.70,           5053.20,           4009.20,          14880.67,           4266.03,          -2173.14,           2396.20,           2374.32,           3355.72,           1141.54,           1507.83,           4098.56,           5074.66,           5431.21,           6680.74,           2419.67
Nigeria,Albania,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,           2537.49,,,,,,,,,,,,,,,,,,,,,
Nigeria,Antigua and Barbuda,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,           4537.68,           2479.52,,,,,,,,,,,,,,,,,,,,,,
Nigeria,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,           4510.56,,,,,,,,,,,,,,,,,,,
Nigeria,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,           1627.64,           1593.52,           3960.79,           1170.96,,,,            519.35,            438.12,            315.09,,,,,,,,,,,,
Nigeria,Belize,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,           2000.15,,,,,,,,,,,,,,,,,,,,
Nigeria,Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,           8576.20,          10791.46,          10554.81,           6041.97,           3986.58,           5308.03,           3459.54,           2503.87,,,           1636.79,           1540.94,           1051.28,,            715.97,            321.92,,,,,,,,,,
Nigeria,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,           2867.58,           3550.10,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           9679.43,           7715.36,           9447.74,           7324.40,           5999.53,           4292.32,           4910.82,           3161.12,,,           1068.01,            740.63,            526.81,,,,            584.73,,,,,,,,,
Nigeria,Equatorial Guinea,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,           3361.11,,,,,,,,,,,,,,,,,,,,,
Nigeria,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,           3505.96,           2713.75,           3370.60,,           3351.16,,,           1359.53,            998.84,           1142.31,           1657.23,           1438.39,            381.40,,,,,,,,,,
Nigeria,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,           2587.57,           1962.45,,,,,,,,,            325.11,            306.39,            372.19,            365.31,,,,,,,,,
Nigeria,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,           3013.29,,,           1907.00,           1577.74,           1278.00,,,           1088.56,            532.13,            780.74,            594.64,            360.57,            562.20,            638.36,,,,,,,,,
Nigeria,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,          11453.44,          15895.24,          12790.01,           9068.48,           4768.61,           7871.54,           4398.85,           5507.52,,,           2393.36,           2160.86,           2083.27,           3920.15,           2857.34,,,,,,,,,,,
Nigeria,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,           2887.64,,           2377.30,,,,,,,,,,,,,,,,,,,,,,
Nigeria,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,           1117.38,,            347.56,            649.86,,,,,,,,,
Nigeria,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,            643.10,,,,,,,,,
Nigeria,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,           9520.38,           9957.57,,           3936.55,,           3295.12,,,,,,,,,,,            894.77,,,,,,,,,
Nigeria,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           2417.67,,,,,,,,,,,,,,            297.75,            309.03,,,,,,,,,,
Nigeria,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,           6325.53,,           7407.38,,,,,           4725.80,,,           1484.24,           1020.70,           1175.54,           2346.24,            984.27,            409.49,            979.82,,,,,,,,,
Nigeria,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,           9042.01,           7809.06,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           2338.24,           2360.68,,,,,           1715.12,           2700.96,,,           1420.82,           1097.01,           1069.72,            755.36,            491.85,            797.60,            766.99,,,,,,,,,
Nigeria,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,           7669.90,          24139.34,          28326.60,          29755.94,          13618.24,          34758.31,          25157.31,          26656.48,,,           9211.31,           5830.03,           7320.76,          11499.44,           5470.11,           2933.63,           4639.75,,,,,,,,,
Nigeria,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           3900.04,           4886.97,          11517.28,           7936.54,           2041.59,           2313.08,           4893.16,           3590.74,,,           2320.83,           1123.35,            822.78,            660.27,            700.07,            807.87,            993.72,,,,,,,,,
Nigeria,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,           2724.22,,,,,,,,,,,,,,,,,,,
Nigeria,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           2466.48,,,,,,,,,,           2232.13,,,,,,,,,,,,,,,
Nigeria,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,        1040173.88,,        1063003.94,        1230016.70,        4779925.14,        5566275.79,,        4928405.32,,,          17212.53,              0.00,          56555.29,          57085.26,          21171.78,          21171.78,          21171.78,          32805.77,,,,,,,,
Nigeria,World,Animal,Export,Export(US$ Mil),,            530.48,           1563.36,            159.14,            360.15,            347.98,             83.28,             62.57,              0.68,,,              1.27,             52.01,              0.25,              3.43,             10.30,              2.14,              1.92,             18.95,,,,,,,,
