Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Nicaragua,...,...,Development,GDP (current US$ Mil),          11805.64,          10850.73,          10460.30,           9755.62,           8741.31,           8380.73,           8491.39,           7458.10,           6786.29,           6321.32,           5795.57,           5322.44,           5224.21,           5323.15,           5107.33,           4855.72,           4635.27,           4389.97,           4308.35,           4140.47,           3863.19,           1756.45,           1792.80,           1488.80,           1009.46,           1013.18,           2630.90
Nicaragua,...,...,Export,No. Of Export partners,            117.00,            114.00,            116.00,            104.00,            105.00,             89.00,            105.00,            109.00,             91.00,            104.00,             88.00,             75.00,             74.00,             71.00,             71.00,             77.00,             73.00,             69.00,             62.00,             57.00,             55.00,             54.00,,,,,
Nicaragua,...,...,Export,No. Of Export products,           2044.00,            398.00,            407.00,           1933.00,           1952.00,           1919.00,           1950.00,           1820.00,           1622.00,           1585.00,           1581.00,           1620.00,           1375.00,           1450.00,           1114.00,           1226.00,           1083.00,           1040.00,            880.00,            833.00,            898.00,            798.00,,,,,
Nicaragua,...,...,Import,No. Of Import partners,            164.00,            157.00,            153.00,            164.00,            162.00,            157.00,            153.00,            157.00,            144.00,            140.00,            143.00,            142.00,            112.00,            107.00,             99.00,             89.00,            102.00,             90.00,             80.00,             77.00,             84.00,             84.00,,,,,
Nicaragua,...,...,Import,No. Of Import products,           3719.00,           3734.00,           3704.00,           3674.00,           3650.00,           3664.00,           3670.00,           3684.00,           3796.00,           3796.00,           3813.00,           3839.00,           3602.00,           3678.00,           3476.00,           3793.00,           3790.00,           3813.00,           3508.00,           3499.00,           3633.00,           3631.00,,,,,
Nicaragua,...,...,Tariff,No. Of Tariff Agreement,             10.00,              9.00,              7.00,              7.00,              7.00,              7.00,              5.00,              2.00,              4.00,              1.00,              4.00,              7.00,              4.00,              4.00,              4.00,              4.00,              4.00,              1.00,,              2.00,,,,,,,
Nicaragua,...,...,Development,Trade Balance (current US$ Mil),          -2001.73,          -2279.59,          -2133.86,          -2135.89,          -1703.33,          -1352.30,          -2131.61,          -1828.38,          -1539.20,          -1446.42,          -1221.45,          -1105.21,          -1065.59,          -1059.11,          -1076.74,          -1237.09,           -850.34,           -841.40,           -637.13,           -490.63,           -494.54,           -481.80,           -645.68,           -456.82,           -215.96,           -330.85,          -1059.97
Nicaragua,Belgium-Luxembourg,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,             17.49,,,,,,,
Nicaragua,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            250.32,            326.97,            321.84,            273.36,            157.39,,,             69.45,             45.17,,,,,,,,,,,,,             28.41,,,,,
Nicaragua,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            857.87,            630.84,            578.58,            465.36,            365.45,            260.46,,            280.31,            208.96,,,,,,,,,,,,,,,,,,
Nicaragua,Costa Rica,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,            117.48,             87.15,             86.86,,             86.87,,             53.62,             50.85,             49.28,             67.75,             36.59,             37.73,             27.46,             25.46,,,,             25.49,             22.92,,,,,
Nicaragua,Costa Rica,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            464.53,            477.49,            462.45,            432.74,            343.79,            318.68,            322.11,            303.51,            147.80,            235.32,            189.29,            164.97,            170.40,            188.02,            198.71,            207.62,            162.52,            120.06,,             82.19,             68.19,             77.78,,,,,
Nicaragua,Curaçao,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            808.81,            552.31,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,El Salvador,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            228.47,            218.86,            250.81,            198.88,            198.18,            199.35,            194.96,            168.33,,            122.80,            109.59,            104.29,            109.57,             75.83,             70.75,             68.15,             57.64,             56.74,,             41.28,             37.10,             15.25,,,,,
Nicaragua,El Salvador,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,            113.35,,,             99.83,,,,,,,,,,,
Nicaragua,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,             55.06,             53.46,             61.20,             60.53,,             57.99,             44.12,             24.26,,,,,
Nicaragua,Guatemala,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,             44.75,,,             33.15,,,,,,,,,,,,,,
Nicaragua,Guatemala,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,            216.82,,            173.05,            152.00,            132.16,            149.64,            142.84,            141.96,            133.48,            112.81,             97.43,,             79.59,             69.19,             66.76,,,,,
Nicaragua,Honduras,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,            100.58,            120.37,            111.40,             33.71,             69.74,             58.03,             43.38,             59.51,             38.59,             36.15,             34.45,,             28.43,,,,,,,,,
Nicaragua,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,             99.76,,,,             60.97,             60.45,,,,,
Nicaragua,Mexico,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            617.45,            607.66,            484.20,,,,            186.64,,             46.93,,             40.71,             27.88,,,,,,,,,,,,,,,
Nicaragua,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            545.84,            461.98,,            406.34,            320.91,            243.62,            386.02,            464.68,            406.88,            215.74,            164.56,            154.98,,            136.63,,,,             82.99,,,,,,,,,
Nicaragua,Panama,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,            124.31,            121.68,            101.68,             97.79,,             56.89,,,,,,,
Nicaragua,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,             42.59,,,,,,,,,,,,,
Nicaragua,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,             34.41,,,,,,,,             23.45,             60.04,,             39.51,             13.59,,,,,,
Nicaragua,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           2405.53,           2079.25,           2100.45,            694.15,            606.56,            457.60,           1028.38,            372.10,            353.02,            306.77,            293.17,            220.91,            184.59,            156.09,            247.07,            184.51,            210.81,            305.38,,            214.42,            150.27,            117.19,,,,,
Nicaragua,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            935.71,            905.97,           1088.34,            949.29,            868.55,            701.68,            810.87,            814.66,            624.74,            525.36,            499.13,            507.44,            496.61,            477.41,            418.24,            571.33,            466.79,            549.13,,            304.34,            214.62,            200.64,,,,,
Nicaragua,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,            387.37,,,,,,,,,,,,,,,,,,,,
Nicaragua,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,            835.53,,,,,,,,,,,,,,,,,,,,
Nicaragua,Venezuela,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            390.10,            383.97,            444.03,            302.65,            248.57,            119.19,,,,,,,,,,,,,,,,,,,,,
Nicaragua,Venezuela,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            456.00,,            806.92,            794.40,            742.87,            587.78,            450.82,,            185.96,            173.75,            275.59,            179.00,            164.69,            165.85,            202.34,,,,,            130.79,            101.67,             93.62,,,,,
Nicaragua,World,All Products,Tariff,Duty Free Imports (US$ Thousand),        3932600.85,        3945479.00,        3119070.47,        2888070.40,        3046544.45,        2396563.88,        1957205.73,        2137788.05,        1384648.10,        1007311.12,        1341218.40,        1226988.02,        1147772.61,        1134412.53,        1110399.60,          43848.19,         632176.07,         686566.90,          80840.15,         228087.57,,,,,,,
Nicaragua,World,Animal,Export,Export(US$ Mil),           1012.78,            874.89,            862.76,            742.93,            612.72,            495.59,            460.90,            419.24,            198.34,            310.43,            283.91,            228.01,            208.50,            156.42,            231.83,            156.61,            151.80,            143.63,            135.68,            148.47,            132.62,            104.88,,,,,
Nicaragua,World,Capital goods,Export,Export(US$ Mil),             26.79,             21.49,             20.86,             18.61,             14.28,             16.70,             18.95,             13.20,              8.70,              9.60,              6.41,              6.52,             28.19,              6.85,              3.97,              5.68,              8.73,             66.68,             63.01,             32.22,              7.34,              2.91,,,,,
Nicaragua,World,Chemicals,Export,Export(US$ Mil),             22.75,             21.55,             18.53,             21.00,             21.35,             29.97,             26.27,             42.66,             15.20,             21.35,             18.40,             15.10,             12.25,             10.21,              7.70,              4.39,              5.58,              4.74,              3.95,              4.41,              3.95,              3.68,,,,,
Nicaragua,World,Consumer goods,Export,Export(US$ Mil),           2525.76,           2327.85,           2074.82,            315.86,            288.65,            257.11,            966.58,            200.48,             97.76,            136.15,            108.42,            114.18,            145.21,            106.87,            106.52,             84.56,             63.29,            119.64,            131.12,             69.90,             32.97,             22.92,,,,,
Nicaragua,World,Food Products,Export,Export(US$ Mil),            552.29,            507.23,            471.89,            291.19,            267.11,            230.48,            272.15,            188.01,            114.63,            143.56,             97.88,             76.02,             85.67,             84.01,             74.76,             67.05,             80.52,            120.51,             65.34,             47.54,             28.32,             26.92,,,,,
Nicaragua,World,Footwear,Export,Export(US$ Mil),             23.50,             12.73,             38.05,              2.58,              2.53,              1.95,              1.68,              1.65,              1.47,              1.39,              0.98,              1.20,              2.19,              2.13,              2.70,              3.39,              3.29,              2.46,              1.12,              0.62,              0.68,              0.60,,,,,
Nicaragua,World,Fuels,Export,Export(US$ Mil),             19.06,             21.04,             50.50,             16.15,             23.17,             13.33,             11.73,             12.25,              6.68,             13.58,              9.24,              8.82,             13.02,              9.36,             10.81,              4.76,              3.29,              6.56,              4.55,              3.14,              3.55,              4.74,,,,,
Nicaragua,World,Hides and Skins,Export,Export(US$ Mil),             36.76,             29.29,             28.98,             26.80,             13.31,              5.37,             11.28,             12.89,              6.80,              8.03,              7.86,              5.50,              6.16,              7.39,              5.16,              4.02,              5.19,              5.87,              6.05,              5.36,              4.29,              3.58,,,,,
Nicaragua,World,Intermediate goods,Export,Export(US$ Mil),            900.10,            905.21,            922.13,            694.85,            553.98,            359.02,            418.48,            317.99,            161.37,            218.31,            184.80,            134.51,            151.79,            113.70,             77.94,             81.24,            113.42,            161.09,            147.04,             97.27,             60.97,             73.96,,,,,
Nicaragua,World,Mach and Elec,Export,Export(US$ Mil),            579.91,            590.03,            468.70,             14.16,             10.49,             13.66,            150.84,              9.51,              7.53,              7.98,              5.49,              5.62,             19.86,              5.70,              3.28,              4.51,              7.57,             41.89,             63.68,             17.10,              3.84,              1.55,,,,,
Nicaragua,World,Metals,Export,Export(US$ Mil),             35.57,             32.72,             33.21,             34.71,             36.40,             23.28,             45.34,             36.46,             14.57,             12.74,             12.34,              9.21,             22.32,             11.33,              4.90,              3.24,              4.12,              4.59,              8.01,              6.03,              6.97,              6.15,,,,,
Nicaragua,World,Minerals,Export,Export(US$ Mil),              1.88,              0.37,              0.79,              2.32,              1.87,              1.04,              3.59,              1.72,              0.89,              0.74,              0.30,              1.57,              1.86,              0.13,              0.05,              0.08,              0.31,              0.34,              0.16,              0.27,              0.27,              0.21,,,,,
Nicaragua,World,Miscellaneous,Export,Export(US$ Mil),             13.58,              6.39,              4.96,              4.55,              3.42,              4.57,            316.08,              3.60,              3.02,              2.72,              2.28,              2.47,              8.51,              1.98,              1.46,              2.82,              1.92,             68.74,             94.29,             51.39,             10.43,              0.65,,,,,
Nicaragua,World,Plastic or Rubber,Export,Export(US$ Mil),             15.46,             11.76,             10.95,             10.58,              9.13,              9.39,             11.79,              8.50,              3.47,              4.75,              4.55,              4.11,              6.29,              4.74,              3.74,              2.44,              2.93,              2.67,              1.56,              2.56,              1.42,              1.10,,,,,
Nicaragua,World,Raw materials,Export,Export(US$ Mil),           1518.95,           1339.39,           1531.88,           1250.38,            989.68,            757.56,            822.66,            661.88,            490.12,            501.34,            459.47,            349.23,            307.06,            304.01,            440.52,            336.76,            367.08,            319.09,            318.61,            309.42,            249.71,            167.52,,,,,
Nicaragua,World,Stone and Glass,Export,Export(US$ Mil),            406.25,            458.98,            454.08,            382.95,            233.70,            102.32,             90.64,             79.98,             70.37,             56.34,             61.15,             46.67,             57.12,             39.20,             29.35,             37.39,             37.73,             38.37,             48.05,             22.76,             16.52,             48.45,,,,,
Nicaragua,World,Textiles and Clothing,Export,Export(US$ Mil),           1402.26,           1310.06,           1167.82,              2.55,              2.15,              2.14,            567.61,              3.61,              5.67,              2.10,              1.91,              1.72,              3.87,              2.23,              3.31,              3.53,              2.64,              6.22,             13.16,              5.04,              8.19,              2.78,,,,,
Nicaragua,World,Transportation,Export,Export(US$ Mil),              3.95,              6.56,              6.81,              4.15,              3.69,              3.24,              2.10,              2.73,              1.19,              1.20,              1.01,              1.02,              7.95,              1.18,              0.79,              1.11,              1.22,              1.15,              1.54,              3.66,              1.81,              0.66,,,,,
Nicaragua,World,Vegetable,Export,Export(US$ Mil),            813.51,            681.56,            904.81,            691.45,            562.33,            443.70,            527.14,            360.00,            297.42,            258.61,            234.31,            179.02,            151.28,            178.09,            231.87,            200.43,            229.82,            197.57,            193.58,            178.68,            122.14,             59.38,,,,,
Nicaragua,World,Wood,Export,Export(US$ Mil),             34.00,             29.00,             27.80,             32.79,             44.25,             13.03,             38.46,             11.71,             11.39,             20.50,             18.25,             19.13,             27.96,             18.13,             17.64,             12.72,             14.89,             21.29,             19.48,             12.18,              6.12,              2.16,,,,,
Nicaragua,World,All Products,Export,Exports (in US$ Mil),           4973.50,           4594.15,           4550.65,           2280.87,           1847.63,           1393.05,           2537.60,           1194.54,            758.64,            866.02,            759.85,            605.20,            634.79,            532.24,            629.35,            508.48,            552.82,            666.61,            660.18,            509.21,            351.11,            267.49,,,,,
