Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Netherlands,...,...,Development,GDP (current US$ Mil),         869508.13,         853539.35,         823139.00,         893702.00,         836440.00,         858086.00,         931293.00,         833191.00,         719413.00,         672374.00,         646042.00,         570918.00,         464479.00,         426091.00,         413397.00,         439937.00,         431174.00,         409785.00,         442599.00,         444782.00,         372827.00,         347672.00,         356928.00,         322055.00,         313038.00,         254041.67,         257556.03
Netherlands,...,...,Export,No. Of Export partners,            229.00,            233.00,            229.00,            228.00,            227.00,            225.00,            228.00,            230.00,            228.00,            228.00,            224.00,            223.00,            225.00,            226.00,            216.00,            209.00,            210.00,            208.00,            206.00,            212.00,            211.00,            210.00,            207.00,,,,
Netherlands,...,...,Export,No. Of Export products,           4490.00,           4493.00,           4475.00,           4508.00,           4476.00,           4464.00,           4463.00,           4476.00,           4729.00,           4730.00,           4727.00,           4699.00,           4630.00,           4682.00,           4644.00,           4665.00,           4829.00,           4836.00,           4681.00,           4778.00,           4789.00,           4813.00,           4800.00,,,,
Netherlands,...,...,Import,No. Of Import partners,            230.00,            231.00,            229.00,            228.00,            220.00,            217.00,            219.00,            221.00,            221.00,            217.00,            210.00,            210.00,            209.00,            209.00,            203.00,            196.00,            202.00,            200.00,            195.00,            199.00,            199.00,            195.00,            193.00,,,,
Netherlands,...,...,Import,No. Of Import products,           4515.00,           4528.00,           4521.00,           4546.00,           4519.00,           4518.00,           4525.00,           4526.00,           4786.00,           4784.00,           4781.00,           4792.00,           4766.00,           4821.00,           4820.00,           4855.00,           4884.00,           4890.00,           4859.00,           4931.00,           4933.00,           4942.00,           4928.00,,,,
Netherlands,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,...,...,Development,Trade Balance (current US$ Mil),          94340.06,          88175.25,          74810.00,          76319.00,          69951.00,          64312.00,          77697.00,          71275.00,          58364.00,          54368.00,          47182.00,          36787.00,          30531.00,          27755.00,          27105.00,          22047.00,          26005.00,          26238.00,          26432.00,          28489.00,          23549.00,          21163.00,          16111.00,          15674.00,          14248.00,           9543.80,           8313.41
Netherlands,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          63166.28,          63230.94,          65351.71,          62805.06,          54730.61,          48299.83,          63312.90,          56823.20,          49767.76,          40914.70,          36606.94,          31037.43,          25964.66,          25530.58,          25134.09,          18289.06,,,,,,,,,,,
Netherlands,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          49016.57,          49411.76,          48525.79,          49988.06,          42243.16,          38290.26,          49942.60,          45416.31,          38989.92,          33516.38,          30964.58,          26619.04,          21334.88,          18073.15,          18401.29,          14924.49,,,,,,,,,,,
Netherlands,Belgium-Luxembourg,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,          17670.84,          20995.49,,          21162.57,          18050.72,          15526.07,          18987.38,,,,
Netherlands,Belgium-Luxembourg,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,          14397.81,          15285.04,,          17247.03,          14690.32,          12614.89,          18924.71,,,,
Netherlands,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          47950.98,          42060.63,          41010.21,          42497.11,          41097.21,          30604.22,          36833.04,          36183.26,          28903.83,          23690.32,          18082.78,,,,,,,,,,,,,,,,
Netherlands,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          46959.06,          47515.99,          47161.17,          46316.01,          43089.33,          38347.76,          47707.81,          39195.28,          33023.34,          32004.65,          30705.35,          26533.34,          22107.63,          22343.51,          22555.33,          17523.87,          16338.43,          19215.81,,          17636.57,          13978.89,          12409.86,          13729.71,,,,
Netherlands,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,          12863.38,          11178.84,          11300.79,          11335.80,          10256.47,          10227.49,          11244.62,,          10937.06,           9395.36,           8081.92,          10545.54,,,,
Netherlands,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         138619.47,         141286.15,         134526.81,         126681.98,         119690.61,         104921.01,         133509.59,         112490.19,          99146.67,          83272.32,          75773.81,          64216.03,          53348.20,          55260.69,          54912.53,          41687.65,          39611.19,          46094.98,,          46123.32,          38267.22,          34730.92,          37946.68,,,,
Netherlands,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          83043.59,          83975.51,          79956.51,          83843.13,          78104.31,          73281.54,          95216.95,          84579.79,          69729.45,          59126.33,          55828.06,          46470.13,          37702.36,          36055.70,          35433.27,          28374.10,          27150.24,          29075.77,,          34168.20,          28787.66,          25124.14,          33437.92,,,,
Netherlands,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,          26100.56,,,          24664.40,          22334.05,          28894.47,,,          20007.50,          19446.38,          16008.43,          13487.25,          13504.09,          12621.40,,,          11136.95,,,,,,,,,
