Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Norway,...,...,Development,GDP (current US$ Mil),         500103.09,         522349.11,         509705.00,         498157.00,         428525.00,         386384.00,         461947.00,         400884.00,         345425.00,         308722.00,         264357.00,         228752.00,         195418.00,         174003.00,         171316.00,         162286.00,         154165.00,         161354.00,         163518.00,         152027.00,         127131.00,         120579.00,         130838.00,         121872.00,         119792.00,         102633.79,         101900.26
Norway,...,...,Export,No. Of Export partners,            212.00,            209.00,            207.00,            204.00,            204.00,            206.00,            202.00,            199.00,            195.00,            196.00,            194.00,            195.00,            197.00,            203.00,            203.00,            195.00,            195.00,            199.00,            199.00,            197.00,            200.00,            192.00,,,,,
Norway,...,...,Export,No. Of Export products,           3660.00,           3648.00,           3638.00,           3581.00,           3579.00,           3493.00,           3557.00,           3599.00,           3775.00,           3836.00,           3802.00,           3804.00,           3757.00,           3868.00,           3913.00,           3942.00,           3928.00,           3927.00,           3923.00,           3972.00,           3970.00,           3867.00,,,,,
Norway,...,...,Import,No. Of Import partners,            189.00,            196.00,            190.00,            182.00,            176.00,            171.00,            172.00,            194.00,            188.00,            188.00,            170.00,            163.00,            173.00,            179.00,            179.00,            172.00,            163.00,            166.00,            158.00,            155.00,            155.00,            157.00,,,,,
Norway,...,...,Import,No. Of Import products,           4371.00,           4375.00,           4361.00,           4385.00,           4350.00,           4353.00,           4390.00,           4415.00,           4660.00,           4660.00,           4650.00,           4640.00,           4658.00,           4748.00,           4758.00,           4784.00,           4790.00,           4770.00,           4778.00,           4833.00,           4861.00,           4845.00,,,,,
Norway,...,...,Tariff,No. Of Tariff Agreement,             31.00,             32.00,             27.00,             25.00,             25.00,             24.00,             22.00,             22.00,             23.00,             21.00,             25.00,             25.00,             20.00,             13.00,              4.00,             21.00,              4.00,              2.00,,              5.00,,              5.00,,,,,
Norway,...,...,Development,Trade Balance (current US$ Mil),          42135.52,          53192.17,          65888.00,          63973.00,          48124.00,          43664.00,          78324.00,          53777.00,          58517.90,          49395.60,          34844.00,          29082.20,          25683.70,          28957.90,          28791.90,          11685.70,           2764.90,          12992.30,          14331.30,           9182.20,           7559.40,           7557.10,           8642.50,           9420.80,           7486.30,           3569.70,           -595.06
Norway,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           8447.56,           8229.36,           8077.56,           8290.99,           6565.41,           5349.10,           5763.21,           4850.68,           3662.91,           3112.30,           2406.51,,,,,,,,,,,,,,,,
Norway,Denmark,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           5473.72,           5420.21,           5741.38,           4801.04,           4651.27,           6132.13,           5141.66,           4429.57,           4057.92,           3556.36,           3129.74,           2748.19,           2329.52,           2188.89,           2335.43,           2493.23,           2518.05,,           2473.20,           2015.51,,,,,,
Norway,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           8635.15,          11292.44,          10111.05,          10912.55,           8452.82,           9137.04,          16233.25,          10940.93,          10097.81,           9643.83,           7225.05,           5575.89,           5046.01,           5572.56,           6009.31,           3792.97,           3417.01,           4119.65,,           3246.59,           2826.94,           2524.40,,,,,
