Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Nepal,...,...,Development,GDP (current US$ Mil),          19636.19,          19244.25,          18851.50,          18913.60,          16002.70,          12855.00,          12545.40,          10325.60,           9043.72,           8130.26,           7273.93,           6330.48,           6050.88,           6007.06,           5494.25,           5033.64,           4856.26,           4918.69,           4521.58,           4401.10,           4066.78,           3660.04,           3401.21,           3921.48,           3627.56,           3525.23,           3487.01
Nepal,...,...,Export,No. Of Export partners,,            135.00,            132.00,            133.00,            146.00,            146.00,,,,,,             78.00,,,             68.00,             54.00,             58.00,,,,             56.00,,,,,,
Nepal,...,...,Export,No. Of Export products,,           1175.00,           1051.00,           1019.00,           1088.00,           1167.00,,,,,,           1086.00,,,            329.00,            789.00,            120.00,,,,           1359.00,,,,,,
Nepal,...,...,Import,No. Of Import partners,,            153.00,            153.00,            162.00,            146.00,            141.00,,,,,,             95.00,,,             73.00,             71.00,             73.00,,,,             72.00,,,,,,
Nepal,...,...,Import,No. Of Import products,,           4004.00,           4062.00,           4070.00,           4022.00,           3892.00,,,,,,           4167.00,,,           2096.00,           3492.00,            256.00,,,,           4250.00,,,,,,
Nepal,...,...,Tariff,No. Of Tariff Agreement,,              3.00,              3.00,              3.00,              3.00,              3.00,,,,,,              1.00,,,              1.00,              1.00,              3.00,,,,,,,,,,
Nepal,...,...,Development,Trade Balance (current US$ Mil),          -5529.08,          -5158.48,          -4432.07,          -4543.08,          -4291.89,          -2859.04,          -2569.88,          -1948.23,          -1616.00,          -1211.05,           -929.74,           -813.35,           -650.86,           -644.52,           -502.32,           -345.81,           -537.37,           -559.74,           -579.78,           -420.06,           -506.08,           -377.85,           -332.50,           -458.56,           -403.90,           -395.38,           -381.29
Nepal,Argentina,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            179.24,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,Bangladesh,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,             37.95,             26.04,             59.99,             60.84,,,,,,,,,,             18.19,              9.01,,,,,,,,,,
Nepal,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,             11.41,,,,,,,,,,,,
Nepal,Bhutan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,             18.64,,,,,,,,,,,,,,,,,,,,,,
Nepal,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,             20.23,             21.91,,,             23.87,,,,,,             22.43,,,,              8.79,,,,,,,,,,,
Nepal,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            603.62,            696.57,            689.89,            561.20,            421.39,,,,,,            150.95,,,            117.31,             85.37,             63.38,,,,             53.14,,,,,,
Nepal,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,              7.37,,,,,,,,,,
