Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
"Other Asia, nes",...,...,Export,No. Of Export partners,,            218.00,            222.00,            223.00,            222.00,            223.00,            222.00,            224.00,            219.00,            216.00,            212.00,            213.00,            207.00,            212.00,            210.00,            185.00,            183.00,            184.00,,,,,,,,,
"Other Asia, nes",...,...,Export,No. Of Export products,,           4198.00,           4223.00,           4272.00,           4248.00,           4242.00,           4451.00,           4462.00,           4427.00,           4368.00,           4391.00,           4442.00,           4434.00,           4359.00,           4362.00,           4492.00,           4544.00,           4464.00,,,,,,,,,
"Other Asia, nes",...,...,Import,No. Of Import partners,,            223.00,            221.00,            222.00,            218.00,            221.00,            222.00,            217.00,            215.00,            207.00,            196.00,            185.00,            199.00,            191.00,            191.00,            176.00,            176.00,            175.00,,,,,,,,,
"Other Asia, nes",...,...,Import,No. Of Import products,,           4408.00,           4445.00,           4452.00,           4443.00,           4443.00,           4686.00,           4692.00,           4682.00,           4694.00,           4688.00,           4715.00,           4704.00,           4683.00,           4707.00,           4709.00,           4701.00,           4711.00,,,,,,,,,
"Other Asia, nes",...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,          81325.49,          80556.92,          83591.91,          76692.93,          54163.16,          63773.04,          62359.55,          51808.18,          40879.07,          33997.34,          21405.34,           9950.47,           4745.28,,,,,,,,,,,,,
"Other Asia, nes",China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,          42487.42,          40960.33,          43551.00,          35915.78,          24490.50,          30099.95,          28057.95,          24782.28,          19927.67,          16624.53,          10917.93,           7947.44,           5901.72,           6223.10,           4534.92,,,,,,,,,,,
"Other Asia, nes",France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,           5312.32,           4794.30,,,,,,,,,
"Other Asia, nes",Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,           4480.21,,           4022.49,           4104.09,,,,,,,,,,
"Other Asia, nes",Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,           5788.20,           4937.38,           4421.27,           4245.63,           5541.51,           5326.43,           5154.50,           5359.29,,,,,,,,,
