Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Panama,...,...,Development,GDP (current US$ Mil),          46212.60,          42648.10,          37956.20,          33270.50,          28814.10,          25925.10,          24884.00,          21121.90,          17137.00,          15464.70,          14179.30,          12933.20,          12272.40,          11807.50,          11620.50,          11456.30,          10932.50,          10084.00,           9322.10,           7906.10,           7733.90,           7252.70,           6641.40,           5842.30,           5313.20,           4887.50,           4874.50
Panama,...,...,Export,No. Of Export partners,             83.00,             90.00,             81.00,            120.00,            124.00,            113.00,            110.00,            112.00,            108.00,             76.00,,             67.00,             64.00,             66.00,             67.00,             72.00,             65.00,             65.00,             64.00,             63.00,,,,,,,
Panama,...,...,Export,No. Of Export products,            456.00,            463.00,            473.00,           3084.00,           2998.00,           2726.00,           2758.00,           2888.00,           2922.00,            566.00,,            541.00,           1515.00,            579.00,            617.00,            629.00,            700.00,            648.00,            590.00,            486.00,,,,,,,
Panama,...,...,Import,No. Of Import partners,             93.00,             95.00,             84.00,            111.00,            103.00,            101.00,            108.00,            104.00,            100.00,             85.00,,             83.00,             84.00,             88.00,             88.00,             90.00,             84.00,             78.00,             93.00,             88.00,,,,,,,
Panama,...,...,Import,No. Of Import products,           3743.00,           3763.00,           3747.00,           3938.00,           3899.00,           3798.00,           3855.00,           3957.00,           3963.00,           3850.00,,           3898.00,           3943.00,           3922.00,           3955.00,           4001.00,           4077.00,           4029.00,           4077.00,           4111.00,,,,,,,
Panama,...,...,Tariff,No. Of Tariff Agreement,,             28.00,              1.00,              1.00,              1.00,              1.00,             11.00,             10.00,              9.00,              9.00,,              1.00,              1.00,              1.00,              2.00,              1.00,              1.00,              2.00,,,,,,,,,
Panama,...,...,Development,Trade Balance (current US$ Mil),,,           1829.60,             77.00,            424.30,           3196.50,           2114.60,           1436.30,           1240.20,            994.70,            524.80,            653.80,            635.00,            802.60,            320.30,           -137.20,           -210.80,            443.70,            116.90,            207.70,            370.50,            321.00,            252.70,            225.70,            434.60,            424.50,            808.90
Panama,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,             32.78,             36.52,             39.17,             31.26,,,,,,,,,,,
Panama,Belgium-Luxembourg,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,             30.35,             34.95,,             27.52,,,,,,,
Panama,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,             65.98,            119.80,,,,,,,,,,,,,,,,,,,,,,,,
Panama,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             69.46,             51.33,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1114.31,           1024.51,            809.77,           5712.16,           4172.71,           2133.80,           2424.35,           2626.35,           2102.23,,,,,,,,,,,,,,,,,,
Panama,Colombia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,           1863.86,           1718.19,           1302.80,           1409.74,           1361.86,           1284.79,,,,,,,,,,,,,,,,,,
Panama,Colombia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,            123.12,            179.55,            169.00,,,,,,,,,,,,,
Panama,Costa Rica,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             54.90,             50.02,             54.32,            647.43,            557.41,            451.96,            499.79,            504.07,,             38.75,,             33.46,             39.84,             43.76,             40.53,             37.37,             46.40,             40.99,,             41.78,,,,,,,
Panama,Costa Rica,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            495.84,,            576.25,,,,,,,            194.62,,            151.06,            127.76,,,,,,,,,,,,,,
Panama,Dominican Republic,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,            554.64,,            466.24,            452.02,            420.34,,,,,,,,,,,,,,,,,,
Panama,Ecuador,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,            583.11,,,,,,,,,,,,,,,,,,,,,,,
Panama,Ecuador,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,            236.72,            243.08,            185.21,            108.74,            166.80,,            134.03,,,,,,,
Panama,Free Zones,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           3292.60,           1280.87,           1362.16,,,,,,,            684.32,,            442.81,            423.39,            404.79,            400.30,            461.12,            442.28,            404.61,,            375.34,,,,,,,
Panama,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             87.21,             49.07,,,,,,,,,,,,,,             75.93,,,,             71.74,,,,,,,
