Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Philippines,...,...,Development,GDP (current US$ Mil),         284582.02,         272066.65,         250240.00,         224143.00,         199591.00,         168335.00,         174195.00,         149360.00,         122211.00,         103072.00,          91371.20,          83908.20,          81357.70,          76262.00,          81026.30,          82995.10,          72207.00,          82344.40,          82848.20,          74119.90,          64084.50,          54368.20,          52976.40,          45417.50,          44311.60,          42575.22,          37885.49
Philippines,...,...,Export,No. Of Export partners,            208.00,            204.00,            201.00,            207.00,            195.00,            178.00,            184.00,            187.00,            191.00,            180.00,            200.00,            204.00,            200.00,            190.00,            176.00,            167.00,            169.00,            161.00,            157.00,,,,,,,,
Philippines,...,...,Export,No. Of Export products,           2820.00,           2795.00,           2811.00,           2321.00,           2331.00,           2481.00,           2458.00,           2620.00,           2839.00,           2759.00,           2727.00,           2721.00,           2732.00,           2577.00,           2547.00,           2661.00,           2636.00,           2493.00,           2457.00,,,,,,,,
Philippines,...,...,Import,No. Of Import partners,            177.00,            177.00,            168.00,            169.00,            168.00,            158.00,            158.00,            156.00,            138.00,            139.00,            156.00,            185.00,            170.00,            150.00,            167.00,            150.00,            150.00,            143.00,            145.00,,,,,,,,
Philippines,...,...,Import,No. Of Import products,           4393.00,           4407.00,           4457.00,           4398.00,           4374.00,           4377.00,           4419.00,           4470.00,           4523.00,           4450.00,           4436.00,           4453.00,           4435.00,           4472.00,           4473.00,           4486.00,           4424.00,           4535.00,           4504.00,,,,,,,,
Philippines,...,...,Tariff,No. Of Tariff Agreement,,              8.00,              8.00,              8.00,              2.00,              2.00,              2.00,              3.00,              2.00,              2.00,              2.00,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,,,,,,,,,
Philippines,...,...,Development,Trade Balance (current US$ Mil),          -6652.11,         -11065.30,          -7759.20,          -8150.30,          -3618.40,          -1894.90,          -4282.00,           -146.10,          -2181.10,          -5776.80,          -5022.90,          -6322.70,          -7274.20,          -5227.90,          -1613.50,          -3262.40,          -6595.30,          -8512.20,          -7279.60,          -5799.10,          -4042.60,          -4592.60,          -2595.00,          -1358.20,          -2555.80,           -918.13,            550.76
Philippines,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           8033.65,           6582.56,           6159.11,           6102.25,           5724.47,           2933.92,           5469.19,           5749.86,           4627.66,           4077.00,           2653.04,,,,,,,,,,,,,,,,
Philippines,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          10283.72,           8554.08,           7136.41,           6504.58,           4954.30,           4060.39,           4561.09,           4232.89,           3869.39,           3134.15,,,,,,,,,,,,,,,,,
Philippines,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           5593.69,           4418.07,           4776.08,           3698.89,           4335.69,           3213.31,           4987.49,           5803.52,           3706.01,           3340.70,           3145.61,           3093.90,,,,,,           1171.52,,,,,,,,,
Philippines,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          13918.86,          11423.24,           9881.27,           8866.49,           7841.29,           6208.40,           7707.06,           7304.15,           7918.34,           7206.10,           7983.39,           5768.94,           5295.45,           5057.44,           5608.68,           4664.19,           4233.87,           4194.37,,,,,,,,,
