Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Palau,...,...,Development,GDP (current US$ Mil),            250.63,            228.57,            215.82,            201.22,            184.32,            186.82,            198.98,            195.67,            194.50,            193.53,            175.74,            160.54,            164.17,            160.74,            150.07,            113.49,            117.32,            113.21,            108.20,             95.24,             83.53,             75.91,             82.45,             83.86,             76.89,,
Palau,...,...,Export,No. Of Export partners,             25.00,,             21.00,,,,,,,,,,,,,,,,,,,,,,,,
Palau,...,...,Export,No. Of Export products,            366.00,,            368.00,,,,,,,,,,,,,,,,,,,,,,,,
Palau,...,...,Import,No. Of Import partners,             93.00,             68.00,             65.00,             64.00,             58.00,             62.00,             62.00,             55.00,,,,,,,,,,,,,,,,,,,
Palau,...,...,Import,No. Of Import products,           2938.00,           2973.00,           2928.00,           2957.00,           2958.00,           2966.00,           3082.00,           3138.00,,,,,,,,,,,,,,,,,,,
Palau,...,...,Tariff,No. Of Tariff Agreement,,,              1.00,              1.00,              1.00,,,,,,,,,,,,,,,,,,,,,,
Palau,...,...,Development,Trade Balance (current US$ Mil),            -61.72,            -47.72,            -62.83,            -46.65,            -42.82,            -34.98,            -61.29,            -53.95,            -65.23,            -56.13,            -67.72,            -52.61,            -55.45,            -59.31,            -88.71,            -70.28,            -52.13,            -61.08,            -58.52,            -46.57,            -31.60,            -24.50,            -11.20,            -15.20,,,
Palau,Guam,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,              0.28,,              0.28,,,,,,,,,,,,,,,,,,,,,,,,
Palau,Guam,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,              8.13,             20.31,             46.04,             31.68,             18.43,             13.88,             29.01,             13.02,,,,,,,,,,,,,,,,,,,
Palau,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,              0.28,,,,,,,,,,,,,,,,,,,,,,,,
Palau,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,              4.63,,              7.42,,,,,,,,,,,,,,,,,,,,,,,,
Palau,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             20.08,             35.21,             13.71,             20.33,             13.17,              7.50,             11.77,             10.30,,,,,,,,,,,,,,,,,,,
Palau,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,              0.24,,              0.25,,,,,,,,,,,,,,,,,,,,,,,,
Palau,"Other Asia, nes",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,              6.49,              6.90,              5.50,              5.69,,              5.90,,,,,,,,,,,,,,,,,,,,
Palau,Philippines,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,              8.91,,,,,              6.89,,              7.01,,,,,,,,,,,,,,,,,,,
Palau,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             32.47,             40.11,              6.67,             20.82,             19.18,             13.48,             25.99,             28.47,,,,,,,,,,,,,,,,,,,
Palau,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,              4.37,,              0.31,,,,,,,,,,,,,,,,,,,,,,,,
Palau,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             54.84,             47.03,             52.59,             36.88,             37.40,             35.22,             38.71,             36.32,,,,,,,,,,,,,,,,,,,
Palau,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,              1.37,,,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,,          26295.23,          26295.24,          26295.23,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Animal,Export,Export(US$ Mil),              5.34,,              7.60,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Capital goods,Export,Export(US$ Mil),              3.13,,              0.56,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Chemicals,Export,Export(US$ Mil),              0.02,,              0.05,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Consumer goods,Export,Export(US$ Mil),              1.32,,              0.50,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Food Products,Export,Export(US$ Mil),              0.13,,              0.23,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Footwear,Export,Export(US$ Mil),              0.00,,              0.00,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Fuels,Export,Export(US$ Mil),,,              0.01,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Hides and Skins,Export,Export(US$ Mil),              0.22,,              0.01,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Intermediate goods,Export,Export(US$ Mil),              1.34,,              0.24,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Mach and Elec,Export,Export(US$ Mil),              1.47,,              0.22,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Metals,Export,Export(US$ Mil),              1.44,,              0.43,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Minerals,Export,Export(US$ Mil),              0.03,,              0.00,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Miscellaneous,Export,Export(US$ Mil),              1.42,,              0.24,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Plastic or Rubber,Export,Export(US$ Mil),              0.06,,              0.02,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Raw materials,Export,Export(US$ Mil),              5.60,,              7.65,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Stone and Glass,Export,Export(US$ Mil),              0.02,,              0.01,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Textiles and Clothing,Export,Export(US$ Mil),              0.02,,              0.01,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Transportation,Export,Export(US$ Mil),              0.65,,              0.14,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Vegetable,Export,Export(US$ Mil),              0.00,,              0.00,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Wood,Export,Export(US$ Mil),              0.60,,              0.03,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,All Products,Export,Exports (in US$ Mil),             11.40,,              9.00,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Capital goods,Import,Import(US$ Mil),             30.67,             33.69,             21.81,             19.53,             20.26,             14.56,             21.45,             19.07,,,,,,,,,,,,,,,,,,,
Palau,World,Consumer goods,Import,Import(US$ Mil),            107.06,            112.25,            101.03,             90.72,             70.72,             58.26,             88.50,             77.09,,,,,,,,,,,,,,,,,,,
Palau,World,Intermediate goods,Import,Import(US$ Mil),             14.10,             11.87,              8.70,              9.39,              8.54,              9.22,             11.49,             10.54,,,,,,,,,,,,,,,,,,,
Palau,World,Raw materials,Import,Import(US$ Mil),             10.17,              9.14,              8.85,              8.07,              6.65,              6.97,              7.18,              7.86,,,,,,,,,,,,,,,,,,,
Palau,World,All Products,Import,Imports (in US$ Mil),            164.99,            168.55,            141.90,            129.18,            107.19,             89.86,            130.09,            116.02,,,,,,,,,,,,,,,,,,,
Palau,...,...,Development,"GNI per capita, Atlas method (current US$)",  11110.00,  10000.00,   9920.00,   9530.00,   8900.00,   8670.00,   9270.00,   9510.00,   9370.00,   9410.00,   8810.00,   7980.00,   8030.00,   6850.00,   5770.00,   6030.00,   6110.00,   6370.00,   6350.00,   5770.00,   4980.00,   4810.00,,,,,
Palau,...,...,Trade Indicator,HH Market concentration index,      0.57,      0.81,      0.83,      0.86,      0.77,      0.85,      0.73,      0.75,,,,,,,,,,,,,,,,,,,
Palau,...,...,Trade Indicator,Index of export market penetration,      1.05,      1.08,      1.08,      1.09,      1.07,      1.12,      1.10,      1.09,,,,,,,,,,,,,,,,,,,
Palau,...,...,Development,Trade (% of GDP),    150.92,    142.70,    138.47,    137.22,    127.03,    118.57,    130.88,    120.70,    119.60,    114.38,    118.52,    111.14,    124.21,    123.07,    148.01,     85.85,     63.34,     74.82,     79.79,     78.02,     68.00,     78.91,     78.83,     58.91,,,
Palau,...,...,Development,Trade Balance (% of GDP),    -24.63,    -20.88,    -29.11,    -23.19,    -23.23,    -18.72,    -30.80,    -27.57,    -33.54,    -29.00,    -38.53,    -32.77,    -33.77,    -36.90,    -59.11,    -61.93,    -44.43,    -53.95,    -54.08,    -48.90,    -37.83,    -32.28,    -13.58,    -18.13,,,
Palau,Guam,All Products,Export,Partner share(%)-Top 5 Export Partner,      2.50,,      3.10,,,,,,,,,,,,,,,,,,,,,,,,
Palau,Guam,All Products,Import,Partner share(%)-Top 5 Import Partner,      4.93,     12.05,     32.44,     24.52,     17.20,     15.45,     22.30,     11.23,,,,,,,,,,,,,,,,,,,
Palau,"Hong Kong, China",All Products,Export,Partner share(%)-Top 5 Export Partner,,,      3.09,,,,,,,,,,,,,,,,,,,,,,,,
Palau,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,     40.61,,     82.45,,,,,,,,,,,,,,,,,,,,,,,,
Palau,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,     12.17,     20.89,      9.66,     15.74,     12.29,      8.34,      9.05,      8.87,,,,,,,,,,,,,,,,,,,
Palau,"Other Asia, nes",All Products,Export,Partner share(%)-Top 5 Export Partner,      2.07,,      2.77,,,,,,,,,,,,,,,,,,,,,,,,
Palau,"Other Asia, nes",All Products,Import,Partner share(%)-Top 5 Import Partner,,      3.85,      4.86,      4.26,      5.31,,      4.53,,,,,,,,,,,,,,,,,,,,
Palau,Philippines,All Products,Import,Partner share(%)-Top 5 Import Partner,      5.40,,,,,      7.67,,      6.04,,,,,,,,,,,,,,,,,,,
Palau,Singapore,All Products,Import,Partner share(%)-Top 5 Import Partner,     19.68,     23.80,      4.70,     16.12,     17.89,     15.00,     19.98,     24.54,,,,,,,,,,,,,,,,,,,
Palau,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,     38.31,,      3.44,,,,,,,,,,,,,,,,,,,,,,,,
Palau,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,     33.24,     27.90,     37.07,     28.55,     34.89,     39.19,     29.76,     31.31,,,,,,,,,,,,,,,,,,,
Palau,Unspecified,All Products,Export,Partner share(%)-Top 5 Export Partner,     12.03,,,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,All Products,Trade Indicator,Country Growth (%),     -2.82,    -16.52,      9.71,      3.48,     -0.09,    -22.18,     -4.00,    -12.11,,,,,,,,,,,,,,,,,,,
Palau,World,All Products,Tariff,Duty Free Tariff Lines Share (%),,,     16.66,     16.66,     16.66,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Animal,Export,Export Product share(%),     46.80,,     84.41,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Capital goods,Export,Export Product share(%),     27.46,,      6.20,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Chemicals,Export,Export Product share(%),      0.15,,      0.59,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Consumer goods,Export,Export Product share(%),     11.61,,      5.56,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Food Products,Export,Export Product share(%),      1.11,,      2.59,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Footwear,Export,Export Product share(%),      0.04,,      0.03,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Fuels,Export,Export Product share(%),,,      0.11,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Hides and Skins,Export,Export Product share(%),      1.95,,      0.12,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Intermediate goods,Export,Export Product share(%),     11.75,,      2.71,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Mach and Elec,Export,Export Product share(%),     12.86,,      2.46,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Metals,Export,Export Product share(%),     12.59,,      4.74,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Minerals,Export,Export Product share(%),      0.22,,      0.01,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Miscellaneous,Export,Export Product share(%),     12.44,,      2.65,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Plastic or Rubber,Export,Export Product share(%),      0.49,,      0.20,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Raw materials,Export,Export Product share(%),     49.13,,     85.00,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Stone and Glass,Export,Export Product share(%),      0.13,,      0.07,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Textiles and Clothing,Export,Export Product share(%),      0.22,,      0.10,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Transportation,Export,Export Product share(%),      5.74,,      1.55,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Vegetable,Export,Export Product share(%),      0.00,,      0.02,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Wood,Export,Export Product share(%),      5.25,,      0.35,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Capital goods,Import,Import Product share(%),     18.59,     19.99,     15.37,     15.12,     18.90,     16.20,     16.49,     16.44,,,,,,,,,,,,,,,,,,,
Palau,World,Consumer goods,Import,Import Product share(%),     64.89,     66.60,     71.20,     70.23,     65.98,     64.84,     68.03,     66.44,,,,,,,,,,,,,,,,,,,
Palau,World,Intermediate goods,Import,Import Product share(%),      8.54,      7.04,      6.13,      7.27,      7.97,     10.26,      8.83,      9.09,,,,,,,,,,,,,,,,,,,
Palau,World,Raw materials,Import,Import Product share(%),      6.16,      5.43,      6.24,      6.25,      6.21,      7.75,      5.52,      6.77,,,,,,,,,,,,,,,,,,,
Palau,World,All Products,Tariff,Maximum Rate (%),,,   1370.07,   1384.05,   1507.48,,,,,,,,,,,,,,,,,,,,,,
Palau,World,All Products,Tariff,Simple Average (%),,,      4.75,      4.83,      5.04,,,,,,,,,,,,,,,,,,,,,,
Palau,World,All Products,Tariff,Weighted Average (%),,,      6.40,      6.54,      6.76,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Capital goods,Tariff,Weighted Average (%),,,      3.72,      3.72,      3.77,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Consumer goods,Tariff,Weighted Average (%),,,      7.62,      7.82,      8.09,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Intermediate goods,Tariff,Weighted Average (%),,,      4.99,      5.02,      5.27,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Raw materials,Tariff,Weighted Average (%),,,      0.61,      0.61,      0.61,,,,,,,,,,,,,,,,,,,,,,
Palau,World,All Products,Trade Indicator,World Growth (%),     -4.44,      0.88,     -0.83,      9.30,     10.16,    -12.35,      7.52,      7.19,,,,,,,,,,,,,,,,,,,
