Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Paraguay,...,...,Development,GDP (current US$ Mil),          30984.75,          28896.66,          24595.30,          25099.70,          20047.50,          15933.70,          18503.40,          13795.00,          10646.20,           8734.65,           8033.88,           6588.10,           6325.15,           7662.60,           8195.99,           8392.55,           9024.57,           9965.23,           9788.39,           9062.13,           7870.98,           7249.53,           7157.42,           6984.37,           5695.20,           4599.97,           4082.63
Paraguay,...,...,Export,No. Of Export partners,            127.00,            116.00,            124.00,            125.00,            127.00,            121.00,            118.00,            121.00,            111.00,            112.00,            107.00,            108.00,             86.00,             86.00,             81.00,             70.00,             68.00,             59.00,             60.00,             78.00,             79.00,             71.00,             73.00,             72.00,             70.00,             66.00,
Paraguay,...,...,Export,No. Of Export products,           1244.00,           1186.00,           1186.00,           1154.00,           1154.00,           1188.00,           1202.00,           1269.00,           1209.00,           1166.00,           1039.00,           1123.00,            579.00,            541.00,            546.00,            438.00,            433.00,            352.00,            365.00,            380.00,            371.00,            339.00,            324.00,            282.00,            223.00,            203.00,
Paraguay,...,...,Import,No. Of Import partners,            139.00,            135.00,            122.00,            125.00,            115.00,            115.00,            116.00,            119.00,            112.00,            104.00,            114.00,             99.00,             82.00,             78.00,             82.00,             76.00,             77.00,             76.00,             82.00,             72.00,             66.00,             69.00,             69.00,             64.00,             66.00,             64.00,
Paraguay,...,...,Import,No. Of Import products,           3731.00,           3729.00,           3700.00,           3754.00,           3709.00,           3608.00,           3631.00,           3577.00,           3636.00,           3593.00,           3527.00,           3451.00,           3651.00,           3742.00,           3720.00,           3645.00,           3799.00,           3728.00,           3712.00,           3784.00,           3725.00,           3314.00,           3002.00,           3079.00,           3276.00,           3296.00,
Paraguay,...,...,Tariff,No. Of Tariff Agreement,             46.00,             46.00,             44.00,             44.00,             48.00,             44.00,             44.00,             13.00,             13.00,             13.00,             13.00,              1.00,              1.00,              1.00,              3.00,              3.00,              1.00,              2.00,,              4.00,              1.00,,,              1.00,,,
Paraguay,...,...,Development,Trade Balance (current US$ Mil),           1050.10,           1356.25,            298.70,            564.40,            724.00,           1080.41,            827.71,           1356.44,           1031.28,           1065.77,           1064.10,           1002.49,           1104.42,            731.95,            704.42,            709.20,            710.58,            100.17,            239.40,            497.14,           -113.23,            452.14,            727.94,            876.18,,,
Paraguay,Algeria,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,             73.93,
Paraguay,Argentina,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            713.62,            701.37,            604.29,            692.10,            555.70,            343.13,            727.04,            518.59,            149.14,            102.59,             93.39,             69.81,,             60.83,             92.00,             53.28,            152.74,            103.59,,             83.28,             90.70,             64.94,             64.15,             45.03,             55.48,             48.98,
Paraguay,Argentina,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1770.48,           1725.54,           1895.71,           1741.98,           1578.66,           1123.64,           1290.03,            839.20,            730.63,            652.88,            650.64,            431.99,            344.54,            526.45,            568.34,            339.48,            516.01,            676.16,,            518.53,            349.35,            242.36,            231.00,            175.13,            172.35,             80.87,
Paraguay,Bermuda,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,             43.16,,,,,,,,,
Paraguay,Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           2969.22,           2833.84,           2851.56,           2500.20,           2194.64,            655.50,            628.11,            521.23,            311.77,            315.91,            290.23,            433.28,            352.97,            277.89,            336.56,            234.97,            349.32,            457.61,,            410.82,            323.70,            215.12,            171.45,            203.04,            312.30,            328.48,
Paraguay,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           3383.18,           3202.47,           2714.51,           3261.38,           2419.89,           1605.01,           2425.81,           1696.85,           1022.25,            890.16,            845.30,            652.92,            511.32,            602.75,            537.77,            545.06,            865.99,           1008.51,,            681.25,            598.68,            369.48,            283.09,            251.25,            222.39,            192.98,
Paraguay,Cayman Islands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,            145.30,            178.93,            168.03,            203.05,            142.65,             78.10,             64.67,,,,,,,,,,,,,
Paraguay,Chile,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            669.56,            528.75,,            541.38,            603.87,            365.07,            370.09,            204.78,,,,,             49.13,             61.46,             49.90,,             40.03,,,,             32.79,             42.25,             47.38,             47.63,,,
Paraguay,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           3078.32,           3434.09,           3183.81,           3662.44,           3433.30,           2051.45,           2471.49,           1623.47,           1268.47,            641.74,            419.80,            266.77,            211.44,            253.46,            260.37,,,,,,,,,,,,
Paraguay,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,            430.45,            571.52,,,,,,,,,,,,,,,,,,,,,             44.48,,
Paraguay,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            275.05,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            342.03,            234.60,,            275.54,,,,,,,,,,,,,,,,,,,             39.32,,,
Paraguay,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            278.37,            311.22,            394.86,            356.21,            342.17,            447.92,            258.46,            203.32,,             92.40,,,             96.34,            103.24,            116.98,,            266.91,,            272.46,            226.53,            204.13,            174.22,            191.89,            208.44,             92.23,
Paraguay,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,            257.09,,,,,,,,,,
Paraguay,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            429.57,,,,,,,,,,,,,,             61.68,            137.14,            241.16,            276.58,,             89.68,            160.04,            189.25,            138.88,            109.60,            146.59,            186.90,
Paraguay,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,             48.88,,,,,,,
Paraguay,"Other Asia, nes",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,            146.56,            231.63,            243.20,,            237.32,            152.54,            112.89,             71.33,             95.19,             84.36,,
Paraguay,Panama,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,             54.03,
Paraguay,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1040.97,            946.82,            703.99,            404.65,            424.87,            127.25,            263.66,,            224.63,            101.12,,,,,,,,,,,,,,,,,
Paraguay,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,             65.96,            101.91,,,,,,,,,,,,,             50.06,             73.79,
Paraguay,Switzerland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,            144.22,,             64.26,             66.98,,,,,,,,,,,,,,
Paraguay,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,             95.42,,,,,,,,,,,
Paraguay,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,             38.04,,,             58.14,             82.15,             58.05,,             43.87,             57.11,             53.17,             34.99,,,,
Paraguay,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            967.95,            795.10,            933.11,            660.14,            444.57,,            410.41,            296.81,            330.78,            181.80,             98.60,             63.97,             83.58,            128.88,            160.20,            260.23,            294.15,            361.39,,            392.35,            284.46,            237.67,            199.01,            219.00,            170.68,            107.02,
Paraguay,Uruguay,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,            534.11,            780.21,            261.34,            412.51,            474.13,            444.14,            269.80,            165.05,            180.02,            122.98,,,,,,,,,,,,
Paraguay,Venezuela,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,            361.11,,,,,,,,,,,,,,,,,,,,,
Paraguay,World,All Products,Tariff,Duty Free Imports (US$ Thousand),        6077626.88,        5905611.80,        5674292.77,        6356378.88,        4930913.04,        3585278.18,        4188321.14,        2794330.16,        2353059.13,        1655033.50,        1552865.57,         113095.83,           7172.78,          58255.29,          58170.69,         746128.06,          63940.08,          85947.46,          63997.59,        1391627.29,         474496.52,,,         199850.16,,,
Paraguay,World,Animal,Export,Export(US$ Mil),           1452.72,           1134.36,            836.00,            777.45,            943.11,            600.07,            643.63,            379.13,            430.77,            260.89,            157.52,             53.76,             88.63,             83.70,             86.22,             44.74,             88.08,             74.03,             57.99,             64.02,             68.32,             52.82,             47.72,             55.06,            135.16,             96.58,
Paraguay,World,Capital goods,Export,Export(US$ Mil),             81.33,             66.15,             54.70,             40.44,             33.54,             24.05,             36.58,             26.76,             23.52,             15.82,              7.75,              5.23,              3.71,              4.76,              5.47,              5.90,              9.17,              5.22,              4.28,              7.23,              7.60,              4.64,              1.18,              1.52,              1.42,              0.18,
Paraguay,World,Chemicals,Export,Export(US$ Mil),            108.76,            135.81,            111.89,             78.82,             68.12,             68.73,             55.53,             54.57,             46.19,             36.05,             32.26,             29.96,             24.93,             24.32,             19.39,             17.24,             19.31,             21.80,             21.95,             23.72,             20.51,             14.09,             20.76,             24.79,             30.93,             31.48,
Paraguay,World,Consumer goods,Export,Export(US$ Mil),            629.32,            517.59,            510.03,            443.99,            348.97,            268.86,            274.28,            202.84,            140.86,            110.38,            104.27,             91.07,             76.58,             93.08,             87.55,             70.73,             69.54,             67.50,            113.65,             51.54,             37.93,             23.35,             24.82,             21.24,             36.68,             29.94,
Paraguay,World,Food Products,Export,Export(US$ Mil),           1301.32,           1120.40,            408.66,            580.84,            446.34,            467.01,            649.60,            371.88,            194.82,            180.80,            221.56,            189.08,            158.95,            136.26,            113.72,             94.66,             98.34,            138.35,            114.43,             68.51,             47.72,             74.11,             75.04,             50.34,             36.24,             37.77,
