Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Occ.Pal.Terr,...,...,Export,No. Of Export partners,,             62.00,             60.00,             54.00,             56.00,             48.00,             53.00,             42.00,,,,,,,,,,,,,,,,,,,
Occ.Pal.Terr,...,...,Export,No. Of Export products,,           1086.00,           1084.00,           1042.00,            863.00,            878.00,           1042.00,           1028.00,,,,,,,,,,,,,,,,,,,
Occ.Pal.Terr,...,...,Import,No. Of Import partners,,            123.00,            125.00,            122.00,            130.00,            114.00,            104.00,            108.00,,,,,,,,,,,,,,,,,,,
Occ.Pal.Terr,...,...,Import,No. Of Import products,,           2884.00,           2880.00,           2920.00,           2804.00,           2740.00,           2702.00,           2849.00,,,,,,,,,,,,,,,,,,,
Occ.Pal.Terr,...,...,Tariff,No. Of Tariff Agreement,,             13.00,,,,,,,,,,,,,,,,,,,,,,,,,
Occ.Pal.Terr,Algeria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,              7.15,              8.89,,,,,,,,,,,,,,,,,,,,,
Occ.Pal.Terr,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            236.60,            197.32,            210.28,            181.26,            161.82,            125.96,            143.83,,,,,,,,,,,,,,,,,,,
Occ.Pal.Terr,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            124.15,            114.04,            108.69,             82.86,             97.29,             82.87,             57.32,,,,,,,,,,,,,,,,,,,
Occ.Pal.Terr,Israel,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            786.36,            639.18,            643.86,            488.40,            453.49,            499.42,            455.23,,,,,,,,,,,,,,,,,,,
Occ.Pal.Terr,Israel,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           3694.82,           3350.42,           3348.16,           2873.50,           2651.13,           2767.71,           2307.94,,,,,,,,,,,,,,,,,,,
Occ.Pal.Terr,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,             69.91,,,,,,,,,,,,,,,,,,,,
Occ.Pal.Terr,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,            103.11,,,,,,,,,,,,,,,,,,,
Occ.Pal.Terr,Jordan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,             55.40,             58.56,             38.93,             31.20,             28.86,             34.12,             27.78,,,,,,,,,,,,,,,,,,,
Occ.Pal.Terr,Jordan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,             91.50,             98.42,             97.47,             67.37,,,,,,,,,,,,,,,,,,,,,,
Occ.Pal.Terr,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,             50.51,,,,,,,,,,,,,,,,,,,,,
Occ.Pal.Terr,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,              8.83,,,,,,,,,,,,,,,,,,,
Occ.Pal.Terr,Saudi Arabia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,              8.42,             11.04,              9.65,,              4.17,              3.57,,,,,,,,,,,,,,,,,,,,
Occ.Pal.Terr,Turkey,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            289.17,            233.14,            232.59,            179.11,            113.81,             68.51,             82.02,,,,,,,,,,,,,,,,,,,
Occ.Pal.Terr,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,              7.40,             14.48,              8.81,             11.71,,              3.71,              2.41,,,,,,,,,,,,,,,,,,,
Occ.Pal.Terr,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,             10.29,             13.58,              8.70,              7.27,              6.13,              3.56,              3.36,,,,,,,,,,,,,,,,,,,
Occ.Pal.Terr,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,         356965.37,,,,,,,,,,,,,,,,,,,,,,,,,
Occ.Pal.Terr,World,Animal,Export,Export(US$ Mil),,             18.19,             18.59,             21.87,             18.75,             12.32,              6.24,              8.62,,,,,,,,,,,,,,,,,,,
Occ.Pal.Terr,World,Capital goods,Export,Export(US$ Mil),,             37.94,             32.35,             33.16,             31.88,             28.10,             30.03,             25.07,,,,,,,,,,,,,,,,,,,
Occ.Pal.Terr,World,Chemicals,Export,Export(US$ Mil),,             27.61,             30.75,             30.30,             31.86,             35.93,             29.63,             23.57,,,,,,,,,,,,,,,,,,,
Occ.Pal.Terr,World,Consumer goods,Export,Export(US$ Mil),,            552.52,            494.97,            487.73,            374.28,            369.39,            347.11,            309.97,,,,,,,,,,,,,,,,,,,
Occ.Pal.Terr,World,Food Products,Export,Export(US$ Mil),,             88.36,             80.55,             67.61,             50.38,             42.52,             44.10,             35.69,,,,,,,,,,,,,,,,,,,
Occ.Pal.Terr,World,Footwear,Export,Export(US$ Mil),,             37.72,             31.76,             36.43,             25.75,             26.22,             27.55,             25.03,,,,,,,,,,,,,,,,,,,
Occ.Pal.Terr,World,Fuels,Export,Export(US$ Mil),,              2.17,              2.54,              1.63,              1.55,              2.15,              3.16,              1.39,,,,,,,,,,,,,,,,,,,
Occ.Pal.Terr,World,Hides and Skins,Export,Export(US$ Mil),,              5.04,              3.24,              2.59,              3.49,              2.70,              3.95,              4.47,,,,,,,,,,,,,,,,,,,
Occ.Pal.Terr,World,Intermediate goods,Export,Export(US$ Mil),,            119.99,            125.89,            103.42,             80.82,             72.29,             94.11,             93.08,,,,,,,,,,,,,,,,,,,
Occ.Pal.Terr,World,Mach and Elec,Export,Export(US$ Mil),,             31.39,             25.79,             26.35,             25.21,             21.64,             25.94,             20.78,,,,,,,,,,,,,,,,,,,
