Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
French Polynesia,...,...,Development,GDP (current US$ Mil),,,,,,,,,,,,,,,           3447.54,           3797.02,           3775.16,           3567.06,           3954.70,           3982.37,           3522.27,           3694.60,           3558.22,           3267.37,           3181.21,           2636.46,           2687.47
French Polynesia,...,...,Export,No. Of Export partners,             66.00,             69.00,             57.00,             65.00,             61.00,             62.00,             55.00,             62.00,             59.00,             63.00,             55.00,             48.00,             54.00,             53.00,             44.00,             44.00,             46.00,             48.00,             42.00,,,,,,,,
French Polynesia,...,...,Export,No. Of Export products,            877.00,            944.00,            792.00,            784.00,            779.00,            812.00,            703.00,            763.00,            770.00,            607.00,            644.00,            663.00,            645.00,            573.00,            680.00,            832.00,            694.00,            818.00,            838.00,,,,,,,,
French Polynesia,...,...,Import,No. Of Import partners,            160.00,            158.00,            157.00,            156.00,            147.00,            154.00,            158.00,            162.00,            159.00,            153.00,            153.00,            133.00,            129.00,            128.00,            131.00,            126.00,            126.00,            127.00,            129.00,,,,,,,,
French Polynesia,...,...,Import,No. Of Import products,           3475.00,           3458.00,           3439.00,           3486.00,           3458.00,           3482.00,           3613.00,           3647.00,           3634.00,           3628.00,           3570.00,           3608.00,           3579.00,           3580.00,           3573.00,           3546.00,           3554.00,           3520.00,           3521.00,,,,,,,,
French Polynesia,...,...,Tariff,No. Of Tariff Agreement,              2.00,              2.00,              2.00,              2.00,,              2.00,              2.00,,,,,,,,,,,,,,,,,,,,
French Polynesia,...,...,Development,Trade Balance (current US$ Mil),,,,,,,,,,,,,,,           -666.49,           -729.51,           -930.54,           -780.50,           -849.63,           -887.84,           -741.33,           -818.95,           -843.04,           -871.53,,,
French Polynesia,Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,            134.28,            178.60,            109.14,            122.12,             99.78,             59.58,             72.13,             73.68,,,,,,,,,
French Polynesia,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,              3.18,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            184.14,            178.08,            167.62,            153.26,            163.01,            144.28,            165.21,            127.16,            103.37,            108.45,             73.46,             58.09,,,,,,,,,,,,,,,
French Polynesia,Colombia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,              8.03,              6.60,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             19.44,             21.30,             21.66,             29.94,             20.15,             26.11,             40.70,             15.37,             24.77,             28.96,             26.46,             18.49,             16.21,             26.72,             35.40,             44.56,             70.97,             56.91,,,,,,,,,
French Polynesia,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            455.40,            448.07,            410.96,            429.75,            484.35,            517.55,            674.34,            485.09,            478.59,            603.81,            509.15,            654.62,            587.08,            385.38,            385.04,            353.09,            506.99,            353.89,,,,,,,,,
French Polynesia,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,             42.02,             50.96,,,,,,,,,,,,
French Polynesia,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             48.89,             41.66,             38.26,             39.79,             45.88,             54.30,             85.59,             56.83,             59.89,             58.85,             39.26,             31.03,             50.79,             50.28,             51.11,             31.99,             14.92,              8.57,,,,,,,,,
French Polynesia,Indonesia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,              7.87,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             47.00,             44.48,             38.67,             31.13,             30.85,             31.63,             29.27,             52.94,             51.74,             59.48,             56.43,             45.85,             51.81,             47.53,             90.03,            100.85,             94.30,             82.04,,,,,,,,,
French Polynesia,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,             38.50,,,             42.21,             45.26,             39.40,,,,,,,,,
French Polynesia,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            197.70,            166.07,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,New Caledonia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,              4.26,              5.89,,              3.75,,,,              5.76,              6.16,             12.22,             11.90,              9.59,,,,,,,,,,
French Polynesia,New Zealand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            140.27,            145.39,            143.57,            138.66,            139.74,            128.68,            138.40,            122.14,            102.55,            116.98,            115.77,            102.92,             94.46,             86.65,             79.24,             68.51,             65.26,             68.55,,,,,,,,,
French Polynesia,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,              6.28,,,,,,,,,
French Polynesia,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            235.43,,,            250.39,            219.88,            190.31,            316.79,            183.11,            193.65,            158.46,,,,,,,,,,,,,,,,,
French Polynesia,Thailand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,              6.22,             11.60,             12.26,,,,,,,,,,,,,,,
French Polynesia,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,              4.59,,,,,,,,,,,,,,,,,,,
French Polynesia,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,             16.41,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             20.17,             22.02,             23.57,             24.08,             17.75,             16.27,             16.72,             12.42,             22.59,             29.11,             29.37,             22.05,             24.97,             34.99,             29.61,             25.05,             30.98,             34.41,,,,,,,,,
French Polynesia,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            188.17,            173.87,            164.96,            168.06,            173.71,            176.48,            221.80,            155.48,            160.91,            169.54,            138.15,            140.17,            116.51,            117.22,            149.39,            153.31,            146.53,            159.33,,,,,,,,,
French Polynesia,World,All Products,Tariff,Duty Free Imports (US$ Thousand),         850079.06,         849795.56,         798445.52,         817033.96,,         908378.91,        1204685.55,,,,,,,,,,,,,,,,,,,,
French Polynesia,World,Animal,Export,Export(US$ Mil),             16.91,             16.54,             19.96,             11.99,             10.35,              8.95,              9.41,              8.55,              8.91,              8.56,              6.61,              9.06,             10.62,             12.81,              8.71,              5.03,              4.82,              6.77,              2.92,,,,,,,,
French Polynesia,World,Capital goods,Export,Export(US$ Mil),             24.79,             10.70,              4.56,             23.49,             24.71,             14.57,             29.48,              4.87,             21.54,             24.54,             18.16,              9.40,             10.33,             29.34,             27.76,             46.78,             70.31,             41.70,             48.64,,,,,,,,
French Polynesia,World,Chemicals,Export,Export(US$ Mil),              3.61,              2.88,              3.00,              3.22,              2.69,              2.11,              4.30,              2.90,              2.66,              2.62,              2.67,              2.35,              2.21,              1.57,              1.42,              1.75,              2.11,              1.33,              1.89,,,,,,,,
French Polynesia,World,Consumer goods,Export,Export(US$ Mil),             20.93,             23.21,             20.53,             22.27,             26.48,             26.41,             48.51,             38.56,             37.68,             40.89,             35.67,             25.05,             18.00,             14.98,             19.61,             27.28,             22.40,             14.17,             17.56,,,,,,,,
French Polynesia,World,Food Products,Export,Export(US$ Mil),              7.52,              7.95,              8.14,              9.26,              9.66,             10.61,              9.56,              9.35,             14.08,             17.42,             16.97,             10.05,              8.38,              7.47,              4.10,              3.46,              2.83,              0.98,              0.81,,,,,,,,
French Polynesia,World,Footwear,Export,Export(US$ Mil),              0.04,              0.05,              0.05,              0.05,              0.04,              0.05,              0.03,              0.01,              0.01,              0.04,              0.02,              0.02,              0.02,              0.01,              0.01,              0.02,              0.00,              0.00,              0.01,,,,,,,,
