Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Qatar,...,...,Development,GDP (current US$ Mil),         211816.76,         203235.16,         189945.00,         169805.00,         125122.00,          97798.40,         115270.00,          79712.10,          60882.10,          44530.50,          31734.10,          23533.80,          19363.70,          17538.50,          17759.90,          12393.10,          10255.50,          11297.80,           9059.34,           8137.91,           7374.45,           7156.59,           7646.15,           6883.52,           7360.44,           6487.91,           6038.19
Qatar,...,...,Export,No. Of Export partners,            158.00,            157.00,            159.00,,            138.00,,            104.00,            122.00,            118.00,            115.00,            103.00,            102.00,            103.00,             72.00,            111.00,,,,,,,,,,,,
Qatar,...,...,Export,No. Of Export products,            152.00,            156.00,              1.00,,            142.00,,            122.00,           1789.00,           1618.00,           1652.00,           1316.00,            966.00,           1090.00,            190.00,            930.00,,,,,,,,,,,,
Qatar,...,...,Import,No. Of Import partners,            162.00,            160.00,            140.00,,            130.00,,            141.00,            134.00,            120.00,            117.00,            114.00,            119.00,            111.00,            121.00,            122.00,,,,,,,,,,,,
Qatar,...,...,Import,No. Of Import products,           4324.00,           4265.00,              1.00,,           4265.00,,           4290.00,           4320.00,           4231.00,           4215.00,           2291.00,           2000.00,           2101.00,           2098.00,           2069.00,,,,,,,,,,,,
Qatar,...,...,Tariff,No. Of Tariff Agreement,              4.00,              3.00,              3.00,,              1.00,,              3.00,              3.00,              3.00,              3.00,              1.00,              1.00,              1.00,,,,,,,,,,,,,,
Qatar,...,...,Development,Trade Balance (current US$ Mil),,,          88947.70,          77899.40,          45348.10,          21937.90,          38375.50,          19482.20,          16477.50,          15774.70,          12047.54,           7820.35,           6238.17,           6457.15,           7983.84,           4256.86,           1141.76,           1368.68,            357.14,             82.14,            818.68,,,,,,
Qatar,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          10109.15,           8864.56,           6814.14,,,,,,,,,,,            327.04,,,,,,,,,,,,,
Qatar,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           3212.34,           2659.73,           2462.68,,           2103.89,,           2012.81,,,,,,,,,,,,,,,,,,,,
Qatar,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,           1606.09,,,,,,,,,,,,,,,,
Qatar,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           2171.14,           1775.36,,,           1684.00,,           2342.60,           1818.62,           1533.26,            923.63,            315.61,            472.43,,            344.64,            265.67,,,,,,,,,,,,
Qatar,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          16739.73,          14303.20,          14629.77,,           6435.54,,,           2670.39,           1658.16,,           1005.78,,,,,,,,,,,,,,,,
Qatar,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,           2053.19,           2432.81,           1522.92,            649.65,,            364.38,            366.18,            367.86,,,,,,,,,,,,,
Qatar,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          33288.67,          39923.18,          36890.86,,          21484.38,,          23223.05,          17052.79,          14117.65,          10304.03,           7778.90,           6158.40,           2378.27,           5542.63,           2468.56,,,,,,,,,,,,
Qatar,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1954.23,           1913.73,           2060.34,,           1750.87,,           2688.21,           2361.76,           1973.33,           1171.17,,            512.74,            426.53,            357.86,            358.30,,,,,,,,,,,,
Qatar,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          24722.65,          24550.64,          24675.80,,          12030.28,,          13609.40,           7334.65,           4724.92,           4058.12,           2933.30,           2477.74,           1737.07,           2143.85,           1952.28,,,,,,,,,,,,
Qatar,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,            571.13,,,,,,,,,,,,,,,,
Qatar,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           8093.92,           6963.10,           7037.94,,           5818.92,,           7352.37,           4751.00,           3218.58,           2111.61,           1694.85,           1273.64,           1017.09,            735.69,            824.03,,,,,,,,,,,,
Qatar,Thailand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,           1923.93,,,,            399.01,,,,,,,,,,,,,,,
Qatar,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,           4278.94,,           3366.01,,,           1175.79,,,            436.06,,            512.69,,,,,,,,,,,,
Qatar,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           2492.67,           1973.78,           2004.73,,           1592.19,,,           1637.64,            990.82,            647.24,            379.45,,            285.53,,            225.22,,,,,,,,,,,,
Qatar,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,            392.96,            308.69,            302.94,            252.54,,,,,,,,,,,,
Qatar,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,            378.81,,,,,,,,,,,,,
Qatar,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           3485.34,           3207.34,           2765.14,,           2745.27,,           2519.56,           2628.17,           1622.67,           1162.76,            577.45,            596.39,            528.26,            517.69,            335.07,,,,,,,,,,,,
Qatar,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,           6126.21,,           3400.35,           2788.64,           1480.99,            876.52,            519.12,,           1131.50,,,,,,,,,,,,
Qatar,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,           5582.05,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,World,All Products,Tariff,Duty Free Imports (US$ Thousand),        8450594.00,        3149031.84,        3194604.06,,        4220807.74,,        6552580.04,        4481003.81,        2709005.47,        1769851.15,         350964.58,         348939.04,              0.00,,,,,,,,,,,,,,
Qatar,World,Animal,Export,Export(US$ Mil),              0.89,              0.01,             44.63,,              0.17,,              0.17,             14.98,             13.23,             25.17,              8.40,             10.59,              8.34,              4.28,              3.99,,,,,,,,,,,,
Qatar,World,Capital goods,Export,Export(US$ Mil),             84.38,             69.18,,,             36.72,,             17.40,            275.68,            173.74,            172.88,            128.62,            103.81,             88.24,              0.81,             69.62,,,,,,,,,,,,
Qatar,World,Chemicals,Export,Export(US$ Mil),             68.44,            175.04,           5252.20,,             21.25,,             63.48,           1869.14,           1524.17,           1346.18,           1336.77,            358.37,            243.56,            239.46,            243.50,,,,,,,,,,,,
Qatar,World,Consumer goods,Export,Export(US$ Mil),          92426.39,          95131.57,,,          47338.39,,          35435.58,          18760.54,          14830.47,           8958.17,           7909.26,           5693.52,           4539.08,           4440.89,           4286.95,,,,,,,,,,,,
Qatar,World,Food Products,Export,Export(US$ Mil),              3.51,              1.64,              8.36,,              0.69,,              0.10,              4.19,              3.91,              4.59,             11.13,              3.59,              2.68,              0.62,              1.07,,,,,,,,,,,,
