Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Romania,...,...,Development,GDP (current US$ Mil),         199043.65,         189639.11,         169396.00,         182611.00,         164792.00,         164346.00,         204335.00,         170613.00,         122695.00,          99172.60,          75794.70,          59466.00,          45988.50,          40585.90,          37305.10,          35592.30,          42115.50,          35285.90,          35333.70,          35477.10,          30072.60,          26361.20,          25090.30,          28846.90,          38299.10,          41450.78,          40424.53
Romania,...,...,Export,No. Of Export partners,            196.00,            195.00,            191.00,            193.00,            188.00,            190.00,            189.00,            180.00,            180.00,            177.00,            184.00,            178.00,            177.00,            174.00,            170.00,            165.00,            164.00,            164.00,            166.00,            156.00,            156.00,            153.00,            144.00,            108.00,            113.00,            121.00,
Romania,...,...,Export,No. Of Export products,           3990.00,           3935.00,           3948.00,           3931.00,           3924.00,           3882.00,           3823.00,           3774.00,           3944.00,           3834.00,           3797.00,           3721.00,           3424.00,           3362.00,           3314.00,           3303.00,           3288.00,           3232.00,           3166.00,           3189.00,           3129.00,           3419.00,           2821.00,           1848.00,            491.00,            524.00,
Romania,...,...,Import,No. Of Import partners,            173.00,            173.00,            165.00,            167.00,            172.00,            168.00,            166.00,            173.00,            202.00,            202.00,            178.00,            164.00,            170.00,            170.00,            169.00,            170.00,            163.00,            159.00,            156.00,            134.00,            132.00,            128.00,            120.00,             94.00,             79.00,             75.00,
Romania,...,...,Import,No. Of Import products,           4443.00,           4445.00,           4445.00,           4474.00,           4468.00,           4464.00,           4466.00,           4468.00,           4734.00,           4653.00,           4643.00,           4599.00,           4483.00,           4518.00,           4498.00,           4458.00,           4487.00,           4455.00,           4467.00,           4471.00,           4375.00,           4458.00,           4163.00,           3237.00,            777.00,            700.00,
Romania,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,             13.00,             21.00,,,              2.00,,             13.00,,,,,,,,              1.00,,,
Romania,...,...,Development,Trade Balance (current US$ Mil),            174.31,          -1064.33,          -8734.50,          -9737.60,          -9442.20,          -9928.10,         -26644.40,         -23700.50,         -14740.30,         -10080.20,          -6813.80,          -4446.20,          -2585.90,          -3087.40,          -1977.40,          -1719.94,          -3380.48,          -2492.40,          -2977.94,          -1985.38,           -620.81,          -1310.44,          -2109.45,          -1134.81,          -3620.55,,
Romania,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,            275.61,            419.05,            198.74,,,            348.84,
Romania,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,           3524.77,           3381.52,           2646.08,,,,,,,,,,,,,,,,,,,,,
Romania,Czechoslovakia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,            385.12,
