Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Russian Federation,...,...,Development,GDP (current US$ Mil),        1860597.92,        2079024.78,        2016110.00,        1904790.00,        1524920.00,        1222640.00,        1660850.00,        1299710.00,         989931.00,         764016.00,         591017.00,         430348.00,         345110.00,         306603.00,         259708.00,         195906.00,         270953.00,         404927.00,         391721.00,         395528.00,         395087.00,         435060.00,         460205.00,         509381.00,         516815.00,         506501.43,
Russian Federation,...,...,Export,No. Of Export partners,,            190.00,            192.00,            186.00,            179.00,            183.00,            180.00,            178.00,            184.00,            175.00,            177.00,            183.00,            179.00,            175.00,            176.00,            167.00,            169.00,            165.00,            167.00,,,,,,,,
Russian Federation,...,...,Export,No. Of Export products,,           4299.00,           4244.00,           3857.00,           3805.00,           3949.00,           3973.00,           4023.00,           4227.00,           4180.00,           4262.00,           4271.00,           4287.00,           4362.00,           4413.00,           4305.00,           4332.00,           4361.00,           4480.00,,,,,,,,
Russian Federation,...,...,Import,No. Of Import partners,,            210.00,            217.00,            205.00,            199.00,            198.00,            204.00,            202.00,            198.00,            187.00,            191.00,            198.00,            191.00,            189.00,            179.00,            163.00,            162.00,            176.00,            180.00,,,,,,,,
Russian Federation,...,...,Import,No. Of Import products,,           4470.00,           4447.00,           4396.00,           4363.00,           4382.00,           4402.00,           4409.00,           4631.00,           4639.00,           4645.00,           4650.00,           4642.00,           4717.00,           4731.00,           4701.00,           4777.00,           4716.00,           4825.00,,,,,,,,
Russian Federation,...,...,Tariff,No. Of Tariff Agreement,,             16.00,             16.00,             16.00,             16.00,             17.00,             17.00,             17.00,,              1.00,,,              1.00,              1.00,,,,              1.00,,,,,,,,,
Russian Federation,...,...,Development,Trade Balance (current US$ Mil),,         123205.32,         148023.00,         162564.00,         123146.00,          90979.00,         153407.00,         112061.00,         125994.00,         104616.00,          72422.00,          48938.00,          37240.70,          38865.10,          52011.70,          33395.60,          18073.20,           8919.30,          16544.70,          13429.00,          18028.40,          33546.00,          64741.00,           1457.00,           1123.10,           4508.13,
Russian Federation,Belarus,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,          24930.20,          18080.61,          16717.00,          23696.97,          17187.00,,,          11219.19,           7601.92,           5922.30,           5249.37,           5572.10,           3759.30,           4622.60,           4631.30,,,,,,,,,
Russian Federation,Belarus,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,          14508.64,,,,,           6849.62,           5715.79,           6484.98,           4879.86,           3977.11,           3940.95,           3710.14,           3236.00,           4593.68,           4626.20,,,,,,,,,
Russian Federation,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,          35625.42,          35766.83,          34692.36,          19783.04,          16669.00,,,          15757.05,          13047.74,,           8257.60,           6836.95,           5596.01,           5247.62,,,,,,,,,,,,
Russian Federation,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,          53173.09,          51767.69,          48038.38,          38960.93,          22859.88,          34768.72,          24406.61,          12911.75,           7264.58,           4746.23,           3308.67,           2401.13,,,,,,,,,,,,,,
Russian Federation,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,           8430.08,,,,,,,,,,,,,,,,,,,,,
Russian Federation,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,          22962.14,          24039.17,,,          18708.18,          33187.25,          18604.91,          24499.82,          19735.91,          13302.04,          10419.87,           8059.30,           9194.18,           9231.83,           6202.24,           5720.61,           6531.12,,,,,,,,,
Russian Federation,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,          37904.57,          38289.66,          37436.68,          26601.38,          21221.89,          34075.57,          26549.27,          18456.67,          13272.38,          10555.68,           8112.13,           6598.48,           5807.73,           3898.07,           4201.56,           5508.57,           6643.35,,,,,,,,,
Russian Federation,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,          29156.01,          28007.57,          27898.67,          24375.01,          25060.00,          41955.81,          22631.15,          25102.84,          19055.79,          12087.83,           8514.86,           7442.13,           7401.53,           7254.33,           3754.98,,,,,,,,,,,
Russian Federation,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,          14553.95,,,          10024.39,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,          15676.09,          15012.61,          10259.74,,          18589.77,          12715.80,           7788.76,           5833.52,           3940.94,,,,,,,,,,,,,,,,
Russian Federation,Kazakhstan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,           2017.74,           2199.98,,           1885.00,,,,,,,,,,
Russian Federation,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,          69259.51,          76036.01,          61240.03,          53240.89,          36289.88,          56944.28,          41840.68,          35895.85,          24614.01,          15272.23,           8673.74,           7529.09,,,,           3993.95,           4553.10,,,,,,,,,
Russian Federation,Special Categories,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,          10137.41,,          14797.13,,,,,,,,,
Russian Federation,Turkey,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,          27663.41,,,,,,,,,,,,,,,,,,,,
Russian Federation,Ukraine,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,          14986.61,          12401.62,          10770.22,,,           5282.36,           5024.49,           4792.38,           5563.41,           7239.67,,,,,,,,,
Russian Federation,Ukraine,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,          15790.89,          17955.44,          20000.47,          14002.41,           9121.00,          16246.44,          13310.45,           9235.41,           7819.25,           6100.48,           4437.62,           3230.02,           3846.46,           3650.93,           2528.36,           3282.20,           3982.14,,,,,,,,,
Russian Federation,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,           4713.98,           5137.92,           4486.07,,,,,,,,,
Russian Federation,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,          16717.71,          15505.30,,,           9203.77,          13818.23,           9407.73,,,,           2966.88,           2983.35,           3260.39,           2703.40,           2389.41,           4123.35,           4060.04,,,,,,,,,
Russian Federation,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,          67283.33,          62438.18,          72567.73,          50147.06,,,          43301.90,,,,,,,,,,,,,,,,,,,
Russian Federation,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,       85824854.31,       91805235.43,       69248551.96,       96670290.24,       40686996.91,       61417627.07,       42138303.51,,        2063191.03,,,         644884.29,         771839.19,,,,         858842.65,        6174322.08,,,,,,,,
Russian Federation,World,Animal,Export,Export(US$ Mil),,           3326.03,           2923.01,           2565.82,           2316.93,           1982.41,            812.74,            791.82,            735.51,            612.56,            446.66,            502.62,            459.79,            489.24,            435.97,            293.35,            412.85,            368.19,            335.77,,,,,,,,
Russian Federation,World,Capital goods,Export,Export(US$ Mil),,          19798.77,          17519.53,          11394.72,          11030.05,          11164.65,          15345.55,          12737.73,          11078.48,           9537.21,          10466.58,           9473.12,           8274.51,           6816.79,           6538.39,           5237.34,           5685.38,           4109.97,           5487.72,,,,,,,,
Russian Federation,World,Chemicals,Export,Export(US$ Mil),,          21387.60,          22864.98,          20372.56,          14956.64,          11427.97,          21247.06,          13667.38,          10918.47,           9532.52,           7423.58,           5387.58,           4224.15,           4350.57,           5597.46,           3486.42,           3650.32,           4089.81,           4721.33,,,,,,,,
Russian Federation,World,Consumer goods,Export,Export(US$ Mil),,         202384.41,         188252.69,         170319.89,         129081.98,          96558.85,         157100.97,         105868.47,          95492.11,          70995.97,          45525.99,          37505.30,          30128.05,          30366.69,          31607.66,          21015.85,          20540.27,          27116.71,          25354.42,,,,,,,,
Russian Federation,World,Food Products,Export,Export(US$ Mil),,           4945.70,           4138.96,           2353.93,           1833.22,           2393.63,           2763.15,           2303.35,           1679.43,           1370.68,            985.55,            743.73,            546.07,            469.93,            380.30,            249.61,            258.59,            451.84,            634.37,,,,,,,,
Russian Federation,World,Footwear,Export,Export(US$ Mil),,            167.52,            113.48,             36.27,             28.78,             33.25,             34.56,             35.77,             32.62,             35.44,             31.58,             30.55,             25.67,             28.40,             27.25,             37.35,             56.67,             85.12,             79.03,,,,,,,,
Russian Federation,World,Fuels,Export,Export(US$ Mil),,         372036.10,         368853.37,         346530.20,         260668.05,         190171.16,         307371.51,         216515.40,         189621.91,         149534.90,          99612.85,          73055.57,          56120.64,          51860.98,          52337.36,          31195.50,          28193.78,          40009.14,          38257.55,,,,,,,,
Russian Federation,World,Hides and Skins,Export,Export(US$ Mil),,            609.12,            503.38,            331.25,            258.65,            207.18,            302.64,            289.51,            326.36,            283.57,            252.56,            233.38,            186.51,            175.23,            236.05,            186.64,            372.42,            383.15,            360.85,,,,,,,,
Russian Federation,World,Intermediate goods,Export,Export(US$ Mil),,          84000.70,          89117.65,          75393.71,          62865.24,          51038.57,          80893.40,          69775.12,          57630.02,          46418.51,          39777.71,          26555.31,          21931.82,          20748.98,          24317.58,          18505.96,          22610.71,          22539.79,          23776.26,,,,,,,,
Russian Federation,World,Mach and Elec,Export,Export(US$ Mil),,          13842.59,          12169.40,           8635.41,           7796.05,           8199.70,          10422.13,           8564.18,           7353.95,           6064.58,           5393.67,           4554.99,           4141.20,           4663.81,           4065.36,           3681.27,           3143.13,           3633.47,           3410.82,,,,,,,,
Russian Federation,World,Metals,Export,Export(US$ Mil),,          40846.29,          44404.92,          42920.57,          38534.99,          32071.45,          51572.48,          47265.22,          39397.30,          32458.21,          28524.74,          17440.58,          14347.35,          13928.63,          16686.86,          14147.17,          14708.18,          16714.79,          16177.96,,,,,,,,
Russian Federation,World,Minerals,Export,Export(US$ Mil),,           5044.28,           5615.20,           5396.18,           3030.80,           2050.05,           4596.63,           2341.89,           1679.09,           1651.33,           1086.73,            724.76,            582.52,            549.80,            711.86,            578.80,            820.92,            783.78,            756.95,,,,,,,,
Russian Federation,World,Miscellaneous,Export,Export(US$ Mil),,          15605.12,          14926.26,          57619.31,          44416.38,          32002.01,          40137.99,          30016.16,          26102.38,          21075.93,          16646.99,          12810.70,          10482.90,          13584.56,          13051.40,          13638.03,           8085.80,          12003.56,          14441.96,,,,,,,,
