Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
South Asia,...,...,Development,GDP (current US$ Mil),        2607870.63,        2355326.51,        2292920.00,        2278510.00,        2086570.00,        1706840.00,        1552630.00,        1526160.00,        1204950.00,        1053910.00,         919799.00,         793222.00,         679730.00,         645831.00,         629218.00,         605116.00,         564638.00,         556845.00,         530755.00,         485158.00,         436754.00,         384862.00,         388728.00,         366063.00,         411581.00,         381665.60,         379205.94
South Asia,...,...,Export,No. Of Export partners,            226.00,            228.00,            227.00,            228.00,            230.00,            228.00,            230.00,            228.00,            226.00,            228.00,            230.00,            224.00,            219.00,            220.00,            218.00,            212.00,            208.00,            209.00,            204.00,            206.00,            207.00,            205.00,            191.00,            179.00,            180.00,            172.00,            165.00
South Asia,...,...,Export,No. Of Export products,           4491.00,           4488.00,           4533.00,           4529.00,           4528.00,           4527.00,           4769.00,           4754.00,           4763.00,           4776.00,           4767.00,           4742.00,           4727.00,           4687.00,           4638.00,           4587.00,           4400.00,           4395.00,           4336.00,           4270.00,           4480.00,           4322.00,           4219.00,           4122.00,           3985.00,           3663.00,           3665.00
South Asia,...,...,Import,No. Of Import partners,            231.00,            230.00,            228.00,            229.00,            227.00,            231.00,            230.00,            231.00,            228.00,            229.00,            227.00,            213.00,            215.00,            200.00,            212.00,            176.00,            188.00,            188.00,            176.00,            150.00,            174.00,            171.00,            153.00,            144.00,            153.00,            138.00,            122.00
South Asia,...,...,Import,No. Of Import products,           4523.00,           4540.00,           4601.00,           4586.00,           4581.00,           4597.00,           4683.00,           4820.00,           4839.00,           4828.00,           4813.00,           4832.00,           4851.00,           4895.00,           4898.00,           4866.00,           4783.00,           4761.00,           4744.00,           4738.00,           4916.00,           4804.00,           4729.00,           4694.00,           4693.00,           3930.00,           3487.00
South Asia,...,...,Tariff,No. Of Tariff Agreement,            101.00,             17.00,            106.00,             99.00,            169.00,            181.00,            185.00,            121.00,            119.00,            233.00,             80.00,             77.00,,             95.00,             89.00,             26.00,             78.00,             75.00,,             13.00,             77.00,             71.00,             10.00,,              6.00,,
South Asia,...,...,Development,Trade Balance (current US$ Mil),         -94270.63,        -101693.44,        -170437.00,        -159514.00,        -105718.00,        -101047.00,         -99303.00,         -73617.00,         -52440.00,         -38156.00,         -20403.00,         -10967.00,         -10570.00,         -10824.00,         -11095.50,         -15075.80,         -12373.50,         -13291.80,         -13300.40,         -11017.30,          -6692.80,          -6882.30,          -7132.60,          -4340.10,         -11557.90,         -10200.84,         -10879.71
South Asia,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,           4362.32,           3773.28,,           3436.01,           3851.16,,,,,,,,,,,
South Asia,Belgium-Luxembourg,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,            978.54,,,,
South Asia,Belgium-Luxembourg,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,           2921.63,           2706.05,,,,           2009.56,           2140.09,           1481.65,,           1681.07,           1413.32
South Asia,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          15880.24,          19231.27,          17500.64,          18899.86,          19249.94,          11572.92,          10963.60,          10363.60,           9138.43,           7713.17,           4473.82,,,,,,,,,,,,,,,,
South Asia,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          72376.54,          62042.86,          64899.48,          69058.09,          54371.79,          39928.51,          42471.03,          32452.83,          21928.12,          15168.99,           9581.36,           6168.90,           3705.83,           2943.92,,,,,,,,,,,,,
South Asia,German Democratic Republic,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,           1405.50,           1092.46,            847.69
South Asia,German Democratic Republic,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,           1907.89,           1711.08,           1674.98
South Asia,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,           9149.15,           9223.93,           7894.62,           6640.99,           5952.77,           5016.03,           4270.64,           2834.24,           2562.42,           2754.38,           2077.92,           2408.50,           2268.08,           2189.58,           2235.22,           2400.52,           1951.69,           1966.57,           1583.41,,,
South Asia,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,          13113.16,,,,,,,,,,,,           2734.56,           2970.26,           3280.39,           2391.12,           2021.08,           2084.42,           1765.14,,,
South Asia,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          13889.71,          14211.28,          12475.72,,          10362.11,,,,,,,           4121.72,           2479.20,           2568.02,           2902.40,           2566.00,           1938.62,           2005.91,           1945.07,           1936.03,           1624.97,           1333.10,,,,,
South Asia,"Iran, Islamic Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,          15974.44,,,,,,,,,,,,,,,,,,,,
South Asia,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,           2029.97,           2161.30,           2322.85,           2261.54,           1948.58,           1787.80,           1813.85,           1842.60,           1747.90,           1477.23
South Asia,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,           5635.97,           4263.36,           3069.27,,           3468.15,           3160.38,           3011.06,,           2630.49,           2811.76,           2626.46,           2253.64,           2253.90,           2051.15,           2427.46,           2049.66,           1795.48
South Asia,Saudi Arabia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          13647.05,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asia,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          37265.15,          40717.04,          37758.32,          33843.46,          24879.32,          18557.56,          29380.65,          20932.47,          14190.24,,,,,,,           3111.98,,,,,,,,,,,
South Asia,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,          14376.69,          13716.98,          16252.92,,,,,,,,,,,,,,,,,,,,,,,
South Asia,Soviet Union,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,           1683.74,           2990.59,           2913.59,           1914.58
South Asia,Switzerland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          21590.10,          25186.35,          29234.77,          32612.62,          22864.31,,,          11187.24,,           7827.00,,,,           3553.19,,,           3017.31,           2682.95,,,,,,,,,
South Asia,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          34538.03,          35996.86,          38884.67,          39751.11,          29588.79,          27286.07,          21436.42,          16827.87,          12905.53,           9905.63,           7876.03,           5474.25,           3240.45,           2772.38,           2608.80,           2208.62,           1896.15,,,,,,,,,,
