Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Saudi Arabia,...,...,Development,GDP (current US$ Mil),         746248.53,         744335.73,         733956.00,         669507.00,         526811.00,         429098.00,         519797.00,         415965.00,         376900.00,         328461.00,         258742.00,         214573.00,         188551.00,         183012.00,         188442.00,         160957.00,         145773.00,         164994.00,         157743.00,         142458.00,         134327.00,         132151.00,         136304.00,         131336.00,         116778.00,          95344.46,          88256.08
Saudi Arabia,...,...,Export,No. Of Export partners,,              2.00,              2.00,              2.00,              2.00,              2.00,              2.00,            177.00,            159.00,            154.00,              2.00,            147.00,             11.00,            152.00,             12.00,             12.00,            166.00,,            159.00,            137.00,            123.00,            131.00,            120.00,             98.00,,,
Saudi Arabia,...,...,Export,No. Of Export products,,           1867.00,           1885.00,           1867.00,           1833.00,            232.00,            214.00,           3417.00,           3530.00,           3710.00,           3725.00,           3559.00,           3327.00,           3362.00,           3297.00,           3371.00,           3433.00,,           3320.00,           3280.00,           3087.00,           3224.00,           3390.00,           3590.00,,,
Saudi Arabia,...,...,Import,No. Of Import partners,,            167.00,            154.00,            142.00,            156.00,            154.00,            161.00,            193.00,            187.00,            169.00,            159.00,            161.00,            156.00,            163.00,            162.00,            169.00,            154.00,,            159.00,            155.00,            150.00,            150.00,            147.00,            127.00,,,
Saudi Arabia,...,...,Import,No. Of Import products,,           3774.00,           3567.00,           3567.00,           3749.00,            763.00,            784.00,           4464.00,           4698.00,           4663.00,           4641.00,           4654.00,           4656.00,           4757.00,           4753.00,           4749.00,           4758.00,,           4665.00,           4689.00,           4672.00,           4700.00,           4707.00,           4026.00,,,
Saudi Arabia,...,...,Tariff,No. Of Tariff Agreement,,              3.00,              3.00,              1.00,,              3.00,              3.00,              3.00,              3.00,              3.00,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,,,,,              1.00,,,,,,
Saudi Arabia,...,...,Development,Trade Balance (current US$ Mil),          99158.40,         157743.20,         184214.00,         178247.00,          87628.00,          39987.00,         146169.00,         104039.00,         112012.00,         105591.20,          69570.60,          47212.50,          32810.90,          28922.10,          35333.40,          18576.30,           4662.20,          21789.60,          21247.80,          13809.60,          10720.10,           1194.90,           4279.30,           2535.40,          10541.50,          -4130.04,          -3423.50
Saudi Arabia,Australia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,            502.30,            713.16,            608.21,,,
Saudi Arabia,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,          13232.72,          10814.95,,,,,,,,,,,,,,,,,
Saudi Arabia,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,          20890.18,          19674.97,          17176.50,          12425.30,          10827.93,          12677.69,           8715.97,           5978.86,           4409.21,           2968.07,           2186.38,           1719.76,           1442.78,,,,,,,,,,,,,
