Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Solomon Islands,...,...,Development,GDP (current US$ Mil),           1158.18,           1059.69,           1025.12,            886.50,            671.59,            597.76,            608.29,            516.07,            456.71,            413.91,            375.11,            332.74,            341.66,            400.46,            435.10,            482.21,            471.18,            567.92,            565.16,            519.33,            464.76,            410.92,            378.78,            320.36,            302.51,            332.29,            310.68
Solomon Islands,...,...,Export,No. Of Export partners,             38.00,             49.00,             32.00,             35.00,             31.00,             36.00,             34.00,             37.00,             34.00,             31.00,             33.00,             28.00,             24.00,,,,,,,,,,,,,,
Solomon Islands,...,...,Export,No. Of Export products,            137.00,            151.00,              1.00,            117.00,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,,,,,,,,,,,,,,
Solomon Islands,...,...,Import,No. Of Import partners,             49.00,            115.00,             74.00,             93.00,             80.00,             97.00,             37.00,             55.00,             52.00,             63.00,             42.00,             39.00,             52.00,,,,,,             48.00,,,,,,,,
Solomon Islands,...,...,Import,No. Of Import products,           1059.00,           1042.00,              1.00,           1020.00,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,,,,,,,,,,,,,,
Solomon Islands,...,...,Tariff,No. Of Tariff Agreement,,              2.00,,              2.00,              2.00,,              2.00,              2.00,              2.00,,,,,,,,,,,,,,,,,,
Solomon Islands,...,...,Development,Trade Balance (current US$ Mil),,           -110.20,            -15.60,           -107.70,           -216.76,           -109.39,           -139.30,           -115.47,            -96.35,            -85.00,            -42.90,            -17.53,            -35.58,            -77.61,            -63.27,            -30.94,            -77.67,           -152.90,           -120.88,           -115.86,           -148.81,           -124.07,           -107.44,           -137.32,           -104.79,           -127.20,            -85.38
Solomon Islands,Australia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             48.57,            110.74,            117.62,             67.76,,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            137.81,            159.07,            156.74,            149.30,            106.07,             38.72,             62.02,             88.87,             86.73,             58.31,             42.15,             32.26,             32.41,,,,,,,,,,,,,,
Solomon Islands,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            263.85,            219.19,            180.17,            193.14,            105.68,             96.59,             87.52,             73.76,             51.66,             32.23,             22.36,             16.75,              7.33,,,,,,,,,,,,,,
Solomon Islands,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             59.84,             48.20,             41.90,             50.41,             42.28,             23.65,             17.60,,,,,,,,,,,,,,,,,,,,
Solomon Islands,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,              3.35,,,,,,,,,,,,,,
Solomon Islands,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             26.88,             30.78,,,,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,              7.59,             11.99,              4.78,,,,,,,,,,,,,,,,,
Solomon Islands,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,             28.85,,,,,,             23.41,             17.31,,,,,,,,,,,,,,,,,,
Solomon Islands,"Korea, Dem. Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,              9.63,,,             11.83,              5.78,,,,,,,,,,,,,,,
Solomon Islands,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,              8.82,             10.63,,,,,,,,,,,,,,,,,
Solomon Islands,Malaysia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             41.80,             43.95,             27.74,             30.64,             17.50,,,             16.58,             18.23,             11.82,,,,,,,,,,,,,,,,,
Solomon Islands,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,             21.32,,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,New Zealand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             30.42,,             25.19,             27.70,             19.35,             13.67,,,             17.88,              8.99,              9.55,              6.47,              5.27,,,,,,,,,,,,,,
Solomon Islands,Papua New Guinea,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,             17.68,             16.30,,             12.87,              8.75,              8.77,              5.78,,,,,,,,,,,,,,
