Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Sierra Leone,...,...,Development,GDP (current US$ Mil),           4892.36,           4928.27,           3789.12,           2932.11,           2578.03,           2453.90,           2505.46,           2158.50,           1885.11,           1627.85,           1431.21,           1371.44,           1239.00,           1079.48,            635.87,            669.38,            672.38,            850.22,            941.74,            870.76,            911.92,            768.81,            680.00,            779.98,            649.64,            932.97,           1055.08
Sierra Leone,...,...,Export,No. Of Export partners,,,,,,,,,,,,,             19.00,,             18.00,,,,,,,,,,,,
Sierra Leone,...,...,Export,No. Of Export products,,,,,,,,,,,,,             97.00,,             57.00,,,,,,,,,,,,
Sierra Leone,...,...,Import,No. Of Import partners,,,,,,,,,,,,,            101.00,,             42.00,,,,,,,,,,,,
Sierra Leone,...,...,Import,No. Of Import products,,,,,,,,,,,,,           2188.00,,           1356.00,,,,,,,,,,,,
Sierra Leone,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,...,...,Development,Trade Balance (current US$ Mil),             -3.19,            -55.32,           -747.49,          -1164.18,           -455.74,           -354.27,           -305.04,           -196.17,           -154.24,           -193.55,           -183.19,           -250.32,           -266.80,           -215.31,           -135.19,            -40.79,            -48.48,            -15.97,           -138.48,            -68.38,             35.23,            -33.02,             -8.91,             17.59,              4.48,             58.28,            151.23
Sierra Leone,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,             12.78,,,,,,,,,,,,
Sierra Leone,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,             23.02,,,,,,,,,,,,,,
Sierra Leone,Cote d'Ivoire,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,            129.13,,             29.66,,,,,,,,,,,,
Sierra Leone,Ecuador,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,              0.07,,,,,,,,,,,,,,
Sierra Leone,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,              0.23,,,,,,,,,,,,
Sierra Leone,Guinea,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,              1.74,,,,,,,,,,,,
Sierra Leone,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,             14.89,,,,,,,,,,,,,,
Sierra Leone,Lebanon,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,              0.38,,,,,,,,,,,,
Sierra Leone,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,             19.42,,             12.50,,,,,,,,,,,,
Sierra Leone,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,              0.08,,,,,,,,,,,,,,
Sierra Leone,Saudi Arabia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,              0.17,,,,,,,,,,,,,,
Sierra Leone,Special Categories,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,             40.35,,,,,,,,,,,,,,
Sierra Leone,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,              0.64,,,,,,,,,,,,
Sierra Leone,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,             17.39,,,,,,,,,,,,
Sierra Leone,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,              0.43,,,,,,,,,,,,,,
Sierra Leone,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,             17.35,,             13.19,,,,,,,,,,,,
Sierra Leone,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,              9.22,,,,,,,,,,,,
Sierra Leone,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,World,Animal,Export,Export(US$ Mil),,,,,,,,,,,,,              0.02,,              0.03,,,,,,,,,,,,
Sierra Leone,World,Capital goods,Export,Export(US$ Mil),,,,,,,,,,,,,              0.85,,              0.10,,,,,,,,,,,,
Sierra Leone,World,Chemicals,Export,Export(US$ Mil),,,,,,,,,,,,,              0.02,,              0.04,,,,,,,,,,,,
Sierra Leone,World,Consumer goods,Export,Export(US$ Mil),,,,,,,,,,,,,             38.02,,              1.81,,,,,,,,,,,,
Sierra Leone,World,Food Products,Export,Export(US$ Mil),,,,,,,,,,,,,              1.54,,              0.73,,,,,,,,,,,,
Sierra Leone,World,Footwear,Export,Export(US$ Mil),,,,,,,,,,,,,              0.01,,,,,,,,,,,,,,
Sierra Leone,World,Fuels,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,World,Hides and Skins,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,World,Intermediate goods,Export,Export(US$ Mil),,,,,,,,,,,,,              0.64,,              0.31,,,,,,,,,,,,
