Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Sub-Saharan Africa,...,...,Development,GDP (current US$ Mil),        1728322.26,        1648909.95,        1570580.00,        1498440.00,        1332930.00,         995836.00,        1043590.00,         914686.00,         785327.00,         673250.00,         572483.00,         460366.00,         359870.00,         336377.00,         361754.00,         337149.00,         335505.00,         355947.00,         344295.00,         332772.00,         287426.00,         289876.00,         304504.00,         308062.00,         299679.00,         299341.51,         286070.43
Sub-Saharan Africa,...,...,Export,No. Of Export partners,            229.00,            231.00,            233.00,            232.00,            231.00,            232.00,            231.00,            231.00,            226.00,            228.00,            232.00,            228.00,            232.00,            231.00,            226.00,            215.00,            218.00,            211.00,            208.00,            208.00,            194.00,            185.00,            174.00,            102.00,            105.00,,
Sub-Saharan Africa,...,...,Export,No. Of Export products,           4562.00,           4595.00,           4712.00,           4705.00,           4712.00,           4686.00,           4751.00,           4824.00,           4843.00,           4848.00,           4858.00,           4869.00,           4878.00,           4907.00,           4890.00,           4868.00,           4840.00,           4854.00,           4846.00,           4834.00,           4652.00,           4609.00,           4552.00,           1766.00,           1831.00,,
Sub-Saharan Africa,...,...,Import,No. Of Import partners,            234.00,            232.00,            233.00,            233.00,            235.00,            235.00,            234.00,            234.00,            234.00,            233.00,            235.00,            235.00,            237.00,            236.00,            236.00,            220.00,            221.00,            220.00,            216.00,            221.00,            195.00,            185.00,            171.00,            102.00,            109.00,,
Sub-Saharan Africa,...,...,Import,No. Of Import products,           4625.00,           4718.00,           4850.00,           4850.00,           4886.00,           4915.00,           4925.00,           4971.00,           4953.00,           4962.00,           4989.00,           4991.00,           5021.00,           5017.00,           5025.00,           5011.00,           5015.00,           5019.00,           5023.00,           5016.00,           4988.00,           4928.00,           4850.00,           3901.00,           3980.00,,
Sub-Saharan Africa,...,...,Tariff,No. Of Tariff Agreement,            551.00,            556.00,            578.00,            685.00,            563.00,            522.00,            593.00,            483.00,            417.00,            284.00,            140.00,            134.00,            219.00,            144.00,             87.00,             20.00,             91.00,             12.00,             82.00,             38.00,             40.00,,,,,,
Sub-Saharan Africa,...,...,Development,Trade Balance (current US$ Mil),         -41388.88,         -34944.58,          42004.00,          30125.00,          11959.00,         -42730.00,          22919.00,            713.00,          27487.00,          10506.00,            148.00,          -5041.00,           2551.00,           -755.00,          13522.00,          -3152.90,         -14683.00,          -5097.00,          -1635.80,          -1895.60,          -1561.80,           -308.60,           1254.80,           3017.80,           5620.90,           6785.41,           3181.80
Sub-Saharan Africa,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          13822.60,          23159.57,          26657.85,          30188.27,          23154.16,          16965.89,          18898.68,           9527.51,           8227.57,           5736.94,,,,,,,,,,,,,,,,,
Sub-Saharan Africa,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          30857.23,          43792.46,          36398.26,          38671.71,          33323.43,          25442.63,          25619.05,          22221.96,          15978.02,           9671.81,           6889.08,,,,,,,,,,,,,,,,
Sub-Saharan Africa,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,           8774.91,           8519.74,,           4802.55,           4989.66,           4322.20,           4371.20,           4595.25,           3704.99,           2912.83,           2941.54,           3495.68,           2368.64,,,,             93.82,             98.50,,
