Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Suriname,...,...,Development,GDP (current US$ Mil),,           5298.79,           5013.03,           4423.19,           4368.37,           3875.41,           3532.97,           2936.61,           2626.33,           1793.78,           1484.09,           1271.20,           1078.40,            763.47,            892.16,            885.44,            945.00,            929.61,            860.63,            693.97,            605.49,            428.79,            404.60,            448.30,            388.30,            542.52,           1160.90
Suriname,...,...,Export,No. Of Export partners,             98.00,             93.00,            103.00,             90.00,             90.00,             81.00,             86.00,             82.00,             82.00,             86.00,             79.00,             72.00,             74.00,             69.00,             66.00,             54.00,,,             43.00,             38.00,             33.00,,,,,,
Suriname,...,...,Export,No. Of Export products,            723.00,            584.00,           1033.00,           1074.00,            781.00,            874.00,            773.00,            787.00,            783.00,            772.00,            839.00,            763.00,            678.00,            722.00,            633.00,            276.00,,,            473.00,            444.00,            346.00,,,,,,
Suriname,...,...,Import,No. Of Import partners,            107.00,            110.00,            107.00,            101.00,            102.00,            100.00,            101.00,             95.00,             98.00,             93.00,            100.00,             89.00,             87.00,             90.00,             79.00,             78.00,,,             59.00,             71.00,             48.00,,,,,,
Suriname,...,...,Import,No. Of Import products,           2617.00,           2633.00,           2682.00,           2919.00,           2923.00,           2233.00,           1687.00,           1702.00,           1694.00,           1708.00,           1711.00,           1672.00,           1652.00,           1689.00,           1685.00,           1858.00,,,           2062.00,            897.00,            860.00,,,,,,
Suriname,...,...,Tariff,No. Of Tariff Agreement,,              2.00,              2.00,              1.00,              1.00,              1.00,,              4.00,,,,,,,              1.00,              1.00,,,,,,,,,,,
Suriname,...,...,Development,Trade Balance (current US$ Mil),,,,,,,,,,           -264.30,           -326.64,           -328.10,           -224.28,           -235.57,           -120.18,            -56.69,           -202.00,            -89.25,            -63.78,            -30.24,            -20.96,             -7.85,            -20.67,            -44.61,             -9.31,             53.58,             57.20
Suriname,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            162.33,            185.37,            217.66,            250.72,            204.15,            220.10,            204.11,            168.14,            158.50,            101.26,             91.89,             85.24,             17.08,,,,,,,,,,,,,,
Suriname,Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,             24.53,,,,,,,
Suriname,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,             57.50,             52.95,             55.12,,,,,,,,,,,,,,,             36.48,,,,,,,
Suriname,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            113.89,            128.94,            458.24,            577.42,            375.79,            251.34,            156.87,            192.69,            135.27,             73.20,,             25.71,             35.57,             39.23,,,,,,,,,,,,
Suriname,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            122.55,,            113.11,            106.62,            100.76,             87.37,            103.78,             65.34,             48.36,             52.75,             31.62,             23.20,,,,,,,,,,,,,,,
Suriname,Curaçao,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            117.02,            150.81,,,,,,,,,,,,,,,,,,,,,,,,,
