Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Slovak Republic,...,...,Development,GDP (current US$ Mil),          99790.15,          97712.68,          92747.40,          97525.40,          89011.90,          88634.20,          99832.60,          86030.90,          70450.30,          62676.50,          57329.40,          46810.90,          35144.70,          30700.00,          29110.10,          30409.00,          29821.80,          27658.30,          27821.90,          25733.10,          20079.40,          16452.20,          15431.20,          14213.00,          12694.50,,
Slovak Republic,...,...,Export,No. Of Export partners,            201.00,            193.00,            192.00,            190.00,            191.00,            186.00,            190.00,            188.00,            189.00,            182.00,            187.00,            186.00,            182.00,            182.00,            171.00,            159.00,            164.00,            157.00,            156.00,            162.00,            167.00,,,,,,
Slovak Republic,...,...,Export,No. Of Export products,           3912.00,           3902.00,           3889.00,           3871.00,           3854.00,           3876.00,           2945.00,           2980.00,           3006.00,           3093.00,           4031.00,           4114.00,           4127.00,           4140.00,           4084.00,           4073.00,           4111.00,           4164.00,           2842.00,           2986.00,           4197.00,,,,,,
Slovak Republic,...,...,Import,No. Of Import partners,            220.00,            224.00,            212.00,            219.00,            216.00,            215.00,            223.00,            212.00,            219.00,            215.00,            214.00,            191.00,            200.00,            190.00,            162.00,            156.00,            156.00,            162.00,            169.00,            172.00,            165.00,,,,,,
Slovak Republic,...,...,Import,No. Of Import products,           4437.00,           4457.00,           4466.00,           4469.00,           4449.00,           4450.00,           4157.00,           4183.00,           4347.00,           4363.00,           4713.00,           4684.00,           4662.00,           4726.00,           4699.00,           4711.00,           4726.00,           4743.00,           4096.00,           4178.00,           4768.00,,,,,,
Slovak Republic,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,              2.00,,,,,,,,,,,,,,
Slovak Republic,...,...,Development,Trade Balance (current US$ Mil),           4167.80,           4433.19,           3433.90,           -872.00,          -1262.50,          -1251.20,          -2839.30,           -966.10,          -2808.30,          -2876.60,          -1566.50,           -886.70,          -2537.00,          -2464.10,           -747.70,          -1338.00,          -3164.30,          -2601.80,          -2963.00,            548.50,           1039.50,           -744.55,           -502.20,           -354.43,          -1050.91,,
Slovak Republic,Austria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           5265.06,           5283.02,           5270.02,           5504.66,           4336.80,,,,           2524.74,           2271.55,           2192.11,           1632.90,           1112.07,           1026.97,            994.44,            808.93,            800.31,            691.39,,            414.52,            351.31,,,,,,
Slovak Republic,Austria,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,            989.59,,            612.41,            503.04,            537.23,            609.05,            584.78,,            445.95,            381.41,,,,,,
Slovak Republic,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           6347.70,,,,,,,           3041.89,,,,,,,,,,,,,,,,,,,
Slovak Republic,Czech Republic,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          11008.05,          11514.63,          11191.92,          11127.25,           8766.94,           7380.98,           9161.18,           7517.86,           5952.60,           4520.94,           3776.75,           2805.07,           2199.38,           2100.99,           2067.96,           1819.87,           2179.45,           2455.21,,           2944.40,           2501.66,,,,,,
Slovak Republic,Czech Republic,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           8578.64,           8942.41,           7594.27,           8177.93,           6643.40,           6212.03,           8257.37,           6453.34,           5105.64,           4367.52,           3979.97,           3232.82,           2518.51,           2226.02,           1879.50,           1857.09,           2401.93,           2503.37,,           2415.86,           1957.84,,,,,,
Slovak Republic,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,           4380.64,           4319.76,           4764.51,           3780.65,,,,,,,,,,,,,,,,,,,
Slovak Republic,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,            733.29,,,,,,,,,,,,,,
Slovak Republic,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          18891.28,          17781.12,          17061.89,          15995.20,          12319.19,          10986.97,          14178.51,          12245.41,           9638.48,           8215.00,           7969.11,           6770.16,           3764.26,           3423.69,           3182.89,           2782.21,           3087.38,           2283.13,,           1582.96,           1143.85,,,,,,
Slovak Republic,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          12253.23,          13013.68,          13118.41,          12803.65,          10351.51,           8493.29,          14396.19,          11080.89,           8683.93,           7055.67,           6883.78,           5756.41,           3761.51,           3644.21,           3199.93,           2909.17,           3357.00,           2309.56,,           1238.18,            888.01,,,,,,
Slovak Republic,Hungary,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           5249.28,           5406.56,           5581.01,           5547.53,,           3828.65,           4327.43,           3648.00,,,,,            789.13,,,,,,,            383.39,            365.68,,,,,,
Slovak Republic,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,           3652.11,           2689.48,           2107.28,           1772.28,           1647.36,           1552.83,           1117.24,           1097.21,            889.66,            768.45,            577.66,,            402.82,            288.30,,,,,,
Slovak Republic,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,           1982.43,           1629.05,           1637.68,           1393.80,           1145.82,            942.75,            788.78,            790.81,            848.30,            684.41,,            404.73,            289.60,,,,,,
Slovak Republic,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           5923.75,           6991.99,           7317.94,           4925.15,           5153.18,           3737.98,           4219.50,,,,,,,,,,,,,,,,,,,,
Slovak Republic,Poland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           6901.73,           7033.33,           6430.93,           5710.95,           4676.17,           3899.73,           4635.52,,           2580.54,           2000.98,           1513.43,,,            736.29,            695.58,            538.51,            632.60,            504.49,,,,,,,,,
Slovak Republic,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           8160.76,           7629.23,           8613.39,           6179.91,           4846.51,           7744.48,           5429.88,           5074.55,           3674.49,           2744.43,           2449.63,           2086.63,           2180.75,           2176.55,           1330.38,           1362.87,           1626.42,,            914.32,           1194.64,,,,,,
Slovak Republic,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,           1154.39,,,,,,,,,,,,,,,
Slovak Republic,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           8887.81,           7134.87,          10039.71,           9478.92,           7965.54,           7491.39,           5462.75,           6811.27,           4450.77,           2911.65,           1505.43,,,,,,,,,,,,,,,,
Slovak Republic,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,,,,,,,,,,,,        4530057.50,,,,,,,,,,,,,,
Slovak Republic,World,Animal,Export,Export(US$ Mil),            908.72,            959.33,            849.81,            812.93,            698.40,            544.71,            715.56,            607.57,            461.32,            433.39,            272.37,            152.55,            107.46,             92.48,             73.84,             70.02,             78.37,             81.29,             71.11,             81.63,             87.10,,,,,,
Slovak Republic,World,Capital goods,Export,Export(US$ Mil),          26631.67,          26412.17,          23552.74,          21416.43,          17323.65,          14251.35,          17234.22,          13593.14,           9498.07,           8074.99,           7101.46,           5479.78,           2989.40,           2681.72,           2360.14,           2184.96,           2140.26,           2056.88,           1708.16,           1555.76,           1255.14,,,,,,
Slovak Republic,World,Chemicals,Export,Export(US$ Mil),           2688.84,           2543.77,           2134.75,           2366.34,           1843.57,           1574.54,           1777.41,           1423.14,           1197.13,           1041.54,            953.60,            742.92,            689.36,            623.12,            598.82,            506.81,            633.17,            689.71,            604.85,            658.61,            582.25,,,,,,
Slovak Republic,World,Consumer goods,Export,Export(US$ Mil),          36277.88,          35392.89,          32807.81,          32464.63,          24943.55,          21580.48,          27441.17,          24196.77,          17438.44,          13303.59,          12327.23,          10435.21,           6876.65,           5901.66,           5686.07,           4531.08,           4590.64,           3529.66,           2912.56,           2556.06,           2045.69,,,,,,
Slovak Republic,World,Food Products,Export,Export(US$ Mil),           1423.60,           1557.51,           1703.51,           1564.84,           1176.98,           1066.97,           1035.95,           1006.64,            724.83,            613.34,            455.90,            309.09,            249.50,            217.19,            184.54,            168.95,            193.79,            208.17,            181.97,            195.10,            167.55,,,,,,
