Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Seychelles,...,...,Development,GDP (current US$ Mil),           1405.76,           1411.03,           1134.24,           1065.82,            969.97,            847.42,            967.21,           1033.64,           1016.42,            919.10,            839.32,            705.71,            697.52,            622.26,            614.88,            622.99,            608.37,            562.96,            503.07,            508.22,            486.45,            473.92,            433.67,            374.36,            368.58,            304.83,            283.83
Seychelles,...,...,Export,No. Of Export partners,,,,,,,             79.00,             50.00,             53.00,             54.00,             56.00,             50.00,             55.00,             53.00,             57.00,             35.00,             38.00,             35.00,             36.00,             34.00,             35.00,,,,,,
Seychelles,...,...,Export,No. Of Export products,,,,,,,            485.00,            479.00,            289.00,            281.00,            301.00,            322.00,            320.00,            342.00,            425.00,            277.00,            366.00,            374.00,            390.00,            271.00,            222.00,,,,,,
Seychelles,...,...,Import,No. Of Import partners,,,,,,,            160.00,            106.00,            100.00,            107.00,            101.00,             79.00,             85.00,             76.00,             72.00,             67.00,             63.00,             65.00,             65.00,             66.00,             60.00,,,,,,
Seychelles,...,...,Import,No. Of Import products,,,,,,,           3552.00,           3426.00,           3262.00,           3294.00,           3402.00,           3357.00,           3310.00,           3156.00,           3047.00,           2928.00,           3087.00,           3230.00,           3253.00,           3217.00,           3242.00,,,,,,
Seychelles,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,              1.00,              1.00,              1.00,,,,              2.00,              1.00,,,,,,,,,,,,
Seychelles,...,...,Development,Trade Balance (current US$ Mil),           -217.57,           -104.02,           -188.80,           -166.47,           -138.54,            -76.56,           -103.82,            -12.27,           -164.28,           -199.50,            -63.40,             16.70,            -52.44,           -123.26,            -39.55,           -288.61,           -260.70,           -227.19,           -239.13,           -179.70,           -155.60,           -187.17,           -143.54,           -123.30,           -129.71,           -130.48,           -127.30
Seychelles,Bahrain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,             30.02,,,,,,,,,
Seychelles,Bahrain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,             38.63,,,,,,,,,
Seychelles,Finland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,             44.17,,,,,,,,,,,
Seychelles,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,             55.18,             70.28,             58.63,             50.08,             58.34,             68.65,             53.58,             39.35,             28.31,             16.92,             16.70,             22.96,,,,,,,,,
Seychelles,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,             68.31,             67.59,             61.20,             44.29,             49.09,             43.71,             50.40,             46.64,             32.71,             43.47,             35.54,             43.32,,             18.04,             11.85,,,,,,
Seychelles,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,              8.25,             21.57,             16.31,             15.92,             14.92,              9.29,             15.17,              7.70,             23.62,             19.19,,              4.91,              3.44,,,,,,
Seychelles,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,             68.98,             82.19,,             96.19,,,,,,,,,,,,,,,,,
Seychelles,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,             16.34,             20.11,             39.26,             26.32,             21.98,             32.15,             16.88,             23.22,             10.47,             23.12,             15.74,             16.94,,,              2.32,,,,,,
Seychelles,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,             37.91,             43.85,             34.94,             29.74,             29.71,             57.61,             31.81,,,,,,,,,,
Seychelles,Reunion,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,              1.72,,,,,,,
Seychelles,Saudi Arabia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,             91.46,             94.55,            159.79,            122.27,             86.39,             53.43,             45.38,,             61.40,             31.07,,,,,,,,,,,
Seychelles,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,            147.69,            213.94,            200.21,            155.22,            128.90,             64.80,             59.50,,             71.59,             39.85,,,,,,,,,,,
Seychelles,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,             83.89,             73.32,             85.66,             51.58,,,,,,,             38.06,             38.71,,             37.35,             30.11,,,,,,
Seychelles,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,             55.44,,             44.90,             52.18,             45.41,,             37.99,             46.23,             49.84,             49.63,,             31.30,             27.49,,,,,,
Seychelles,Spain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,             57.03,             60.65,             52.47,             45.43,             43.13,             35.65,             31.40,,,,,,,,,,,,,
Seychelles,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,             60.67,,,,,,,,,,,,,,,,,,,
Seychelles,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,            170.39,,,,,,,,,,,,,,,,,,,,
Seychelles,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,             45.74,             80.69,             90.88,             96.86,             92.62,             86.45,             76.44,             65.72,             59.71,             55.01,             27.98,,,             12.71,             13.31,,,,,,
Seychelles,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,             29.68,,             43.67,             40.79,,             35.31,             36.28,,,,,,
Seychelles,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,              1.99,              2.05,,,,,,
Seychelles,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,            168.18,,,,,,,,,,,,,
Seychelles,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,             93.07,,,,,,,             51.46,,,,,,,,,,,,,
Seychelles,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,             40.74,,,,,,,,,,,,,
Seychelles,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,,,,,,,         674020.96,         561272.13,         310720.83,,,,          15531.08,           9765.48,,,,,,,,,,,,
Seychelles,World,Animal,Export,Export(US$ Mil),,,,,,,             45.88,              5.31,              7.70,              8.95,             10.25,             12.95,              4.62,              4.24,              7.27,              6.95,              9.25,             11.52,              5.69,              4.23,              4.82,,,,,,
Seychelles,World,Capital goods,Export,Export(US$ Mil),,,,,,,              5.30,              4.64,             14.93,              7.33,              1.82,              1.47,              2.70,              3.86,              1.06,              0.63,              1.45,              1.02,             64.19,              2.37,              2.35,,,,,,
Seychelles,World,Chemicals,Export,Export(US$ Mil),,,,,,,              0.25,              0.68,              0.94,             12.19,             15.41,              3.57,              2.06,              4.87,              2.74,              0.63,              0.34,              0.36,              0.32,              0.27,              0.09,,,,,,
Seychelles,World,Consumer goods,Export,Export(US$ Mil),,,,,,,             94.78,            342.48,            351.52,            316.18,            273.66,            253.74,            211.64,            144.63,            176.65,            133.72,            107.60,            102.33,             67.61,             45.68,             45.16,,,,,,
Seychelles,World,Food Products,Export,Export(US$ Mil),,,,,,,             93.49,            189.99,            193.14,            184.17,            173.59,            198.10,            168.25,            147.31,            116.16,            102.19,             81.11,             57.97,             34.86,             19.19,             18.73,,,,,,
Seychelles,World,Footwear,Export,Export(US$ Mil),,,,,,,              0.00,              0.00,              0.00,              0.00,,              0.00,              0.01,              0.00,              0.00,              0.01,              0.00,              0.00,              0.00,              0.00,              0.00,,,,,,
Seychelles,World,Fuels,Export,Export(US$ Mil),,,,,,,              0.01,            155.45,            161.09,            123.71,             87.11,             54.33,             46.53,              0.02,             62.32,             31.74,             26.61,             39.84,             30.47,             24.82,             23.77,,,,,,
Seychelles,World,Hides and Skins,Export,Export(US$ Mil),,,,,,,              0.00,              0.01,              0.00,              0.00,              0.00,              0.00,              0.00,              0.00,              0.01,              0.00,              0.00,              0.03,              0.01,              0.00,              0.04,,,,,,
Seychelles,World,Intermediate goods,Export,Export(US$ Mil),,,,,,,             51.08,              7.36,              5.24,              6.64,              4.01,              5.73,              7.48,              9.48,              8.79,              3.56,              3.31,              1.66,              2.36,              1.30,              2.24,,,,,,
Seychelles,World,Mach and Elec,Export,Export(US$ Mil),,,,,,,              0.93,              0.27,              0.30,              0.61,              0.29,              0.69,              1.92,              1.77,              0.34,              0.30,              0.80,              0.78,             11.57,              1.31,              0.48,,,,,,
Seychelles,World,Metals,Export,Export(US$ Mil),,,,,,,              0.99,              0.21,              0.06,              1.87,              0.02,              0.04,              0.04,              0.21,              0.02,              0.32,              0.08,              0.08,              0.09,              0.06,              0.08,,,,,,
Seychelles,World,Minerals,Export,Export(US$ Mil),,,,,,,              0.00,              0.00,              0.00,              0.00,              0.00,,,,              0.00,,              0.00,              0.05,              0.13,              0.18,              0.00,,,,,,
