Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Syrian Arab Republic,...,...,Development,GDP (current US$ Mil),,,,,,,,          40405.00,          33332.80,          28859.00,          25086.90,          21828.10,          21582.20,          21099.80,          19325.90,          15873.90,          15200.80,          14505.20,          13789.60,          11396.70,          10122.00,          13696.00,          13253.60,          12981.80,          12308.60,           9853.40,          10577.04
Syrian Arab Republic,...,...,Export,No. Of Export partners,,,,,            150.00,            149.00,            129.00,            131.00,            139.00,            131.00,            106.00,            133.00,             52.00,             50.00,,,,,,,,,,,,,
Syrian Arab Republic,...,...,Export,No. Of Export products,,,,,           2810.00,           2400.00,           1220.00,           1226.00,           2798.00,           1536.00,            749.00,           2475.00,            421.00,            197.00,,,,,,,,,,,,,
Syrian Arab Republic,...,...,Import,No. Of Import partners,,,,,            150.00,            142.00,            114.00,            111.00,            130.00,            114.00,             96.00,            107.00,             64.00,             62.00,,,,,,,,,,,,,
Syrian Arab Republic,...,...,Import,No. Of Import products,,,,,           3563.00,           3594.00,           2336.00,           2242.00,           3632.00,           2271.00,           1652.00,           3400.00,           1305.00,            577.00,,,,,,,,,,,,,
Syrian Arab Republic,...,...,Tariff,No. Of Tariff Agreement,,,,,              2.00,              2.00,,,,,,,              1.00,,,,,,,,,,,,,,
Syrian Arab Republic,...,...,Development,Trade Balance (current US$ Mil),,,,,,,,            327.50,            260.40,           -356.90,             60.82,           1070.00,           1625.18,           1296.18,           1315.61,             51.61,            -55.71,           -200.39,           -863.54,           -786.05,          -1248.10,          -1785.76,          -1507.60,           -995.54,             47.80,           -480.71,           -990.23
Syrian Arab Republic,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,           1545.91,           1310.75,           1978.42,           1175.20,            747.41,            636.00,            495.34,            300.80,            265.68,,,,,,,,,,,,,,
Syrian Arab Republic,"Egypt, Arab Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,            595.12,,,,,,,,,,,,,,,,,,
Syrian Arab Republic,European Union,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,            954.72,,,,,,,,,,,,,,,,
Syrian Arab Republic,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,            680.56,,           1325.08,            961.79,           1133.61,           1032.30,            823.27,            921.25,            754.52,,,,,,,,,,,,,
Syrian Arab Republic,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,           1477.11,            960.22,           1640.58,,,,,,,,,,,,,,,,,,,,
Syrian Arab Republic,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,            256.96,            237.13,,,,,,,,,,,,,
Syrian Arab Republic,Iraq,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,           2294.52,           2718.13,           2557.56,            647.65,            698.74,,            517.68,,,,,,,,,,,,,,,,
Syrian Arab Republic,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,           1520.20,            595.40,           1190.49,           2732.92,           2139.84,           1925.05,           1298.98,           1900.29,           2154.21,           1878.67,,,,,,,,,,,,,
Syrian Arab Republic,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,           1292.61,,            846.81,           1010.99,,,,,            328.24,            502.66,,,,,,,,,,,,,
Syrian Arab Republic,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,            359.86,,,            277.04,            250.72,,,,,,,,,,,,,
Syrian Arab Republic,Lebanon,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,           1335.65,,,,,            230.80,,,,,,,,,,,,,,,
Syrian Arab Republic,Malta,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,           1442.79,,,,,,,,,,,,,,,,,,,,
Syrian Arab Republic,Oman,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,            246.04,,,,,,,,,,,,,
Syrian Arab Republic,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,           1108.85,            927.12,           2352.25,           1442.76,           1175.45,,            343.44,,,,,,,,,,,,,,,,
Syrian Arab Republic,Saudi Arabia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,            542.60,            592.84,           1028.26,           1223.71,            954.96,            370.16,            356.61,            339.10,            544.59,,,,,,,,,,,,,,
Syrian Arab Republic,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,            830.11,,            343.88,            330.30,,,,,,,,,,,,,,,,
Syrian Arab Republic,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,            306.21,,,            209.56,            392.14,,,,,,,,,,,,,
Syrian Arab Republic,Turkey,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,            629.20,,,            604.67,,,            368.62,            430.67,            505.19,            423.18,,,,,,,,,,,,,
Syrian Arab Republic,Turkey,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,           1672.06,           1173.41,,,,,,            291.91,,,,,,,,,,,,,,,
Syrian Arab Republic,Ukraine,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,           1133.85,           1627.26,           1776.29,            852.20,            605.53,            822.70,            557.02,            295.99,,            357.37,,,,,,,,,,,,,
Syrian Arab Republic,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,            306.24,,,,,,,,,,,,,,,,,
Syrian Arab Republic,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,            255.68,            310.11,            256.89,,,,,,,,,,,,,
Syrian Arab Republic,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,           1223.58,,,,,,,,,,,,,,,,,,
Syrian Arab Republic,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,            935.32,,,           1648.33,            855.86,,            620.04,,,,,,,,,,,,,,,
Syrian Arab Republic,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,,,,        2597234.09,        2536225.31,,,,,,,          25835.84,,,,,,,,,,,,,,
Syrian Arab Republic,World,Animal,Export,Export(US$ Mil),,,,,            518.03,            607.66,            687.26,            449.55,            397.51,            253.98,            288.39,            245.05,            362.50,             39.62,,,,,,,,,,,,,
Syrian Arab Republic,World,Capital goods,Export,Export(US$ Mil),,,,,            205.26,            162.96,            321.36,            315.07,            297.53,             62.63,             41.84,             32.38,             27.24,              3.56,,,,,,,,,,,,,
Syrian Arab Republic,World,Chemicals,Export,Export(US$ Mil),,,,,            552.57,            513.46,            593.00,            445.63,            411.85,            153.70,             60.37,             39.52,             18.57,              5.24,,,,,,,,,,,,,
Syrian Arab Republic,World,Consumer goods,Export,Export(US$ Mil),,,,,           3825.97,           3695.45,           5056.21,           4032.57,           3546.81,           1125.73,           1159.57,            963.97,            891.09,            449.09,,,,,,,,,,,,,
Syrian Arab Republic,World,Food Products,Export,Export(US$ Mil),,,,,            793.90,            976.86,           1610.36,            498.15,            351.04,            158.14,            135.84,             89.04,             52.50,             18.47,,,,,,,,,,,,,
Syrian Arab Republic,World,Footwear,Export,Export(US$ Mil),,,,,            111.21,            100.51,            198.30,            222.10,            162.69,             33.78,             32.83,             46.90,             61.86,              5.15,,,,,,,,,,,,,
Syrian Arab Republic,World,Fuels,Export,Export(US$ Mil),,,,,           5663.51,           3666.69,           5546.95,           4746.11,           4405.62,           4374.73,           3640.16,           4088.61,           4717.30,           3908.98,,,,,,,,,,,,,
Syrian Arab Republic,World,Hides and Skins,Export,Export(US$ Mil),,,,,             34.01,             28.09,             65.61,            107.08,             84.67,             23.95,             19.74,             20.51,             25.05,              1.50,,,,,,,,,,,,,
Syrian Arab Republic,World,Intermediate goods,Export,Export(US$ Mil),,,,,           1342.87,           1328.25,           2712.83,           1921.31,           1351.66,            598.93,            391.62,            394.91,            232.59,             90.17,,,,,,,,,,,,,
Syrian Arab Republic,World,Mach and Elec,Export,Export(US$ Mil),,,,,            220.71,            371.48,            650.70,            556.13,            504.35,             63.81,             37.73,             29.77,             19.36,              3.40,,,,,,,,,,,,,
Syrian Arab Republic,World,Metals,Export,Export(US$ Mil),,,,,            292.22,            213.98,            859.07,            276.68,            249.44,             89.75,             84.65,             38.57,             12.21,              3.43,,,,,,,,,,,,,
Syrian Arab Republic,World,Minerals,Export,Export(US$ Mil),,,,,            209.21,            144.61,            393.30,             48.59,             67.46,             69.37,             49.48,             43.07,             50.10,              0.22,,,,,,,,,,,,,
Syrian Arab Republic,World,Miscellaneous,Export,Export(US$ Mil),,,,,             45.13,             53.49,            250.90,            207.63,            847.72,             50.62,            102.68,             14.38,            206.28,            481.49,,,,,,,,,,,,,
Syrian Arab Republic,World,Plastic or Rubber,Export,Export(US$ Mil),,,,,            374.94,            305.86,            260.07,            255.84,            224.18,             72.06,             33.70,             27.72,             10.04,              2.40,,,,,,,,,,,,,
Syrian Arab Republic,World,Raw materials,Export,Export(US$ Mil),,,,,           5968.67,           4477.95,           6103.70,           5165.12,           4959.37,           4624.67,           3696.13,           4335.93,           5175.13,           4020.54,,,,,,,,,,,,,
Syrian Arab Republic,World,Stone and Glass,Export,Export(US$ Mil),,,,,             60.63,            104.43,             84.97,             36.34,             50.63,             30.96,             28.32,             14.35,              5.47,              1.94,,,,,,,,,,,,,
Syrian Arab Republic,World,Textiles and Clothing,Export,Export(US$ Mil),,,,,           1198.89,           1385.12,           2115.33,           2110.89,           1879.09,            557.49,            455.70,            511.91,            510.94,            294.60,,,,,,,,,,,,,
Syrian Arab Republic,World,Transportation,Export,Export(US$ Mil),,,,,             24.38,             19.19,             14.99,             13.69,             12.13,             12.52,              9.57,              7.37,              7.94,              0.02,,,,,,,,,,,,,
Syrian Arab Republic,World,Vegetable,Export,Export(US$ Mil),,,,,           1127.16,           1106.65,            913.60,           1487.40,           1178.49,            478.24,            385.56,            491.76,            467.47,            278.73,,,,,,,,,,,,,
Syrian Arab Republic,World,Wood,Export,Export(US$ Mil),,,,,            126.44,             95.71,            135.63,             83.90,             92.50,             26.80,             17.86,             22.16,              8.77,              2.77,,,,,,,,,,,,,
Syrian Arab Republic,World,All Products,Export,Exports (in US$ Mil),,,,,          11352.92,           9693.80,          14380.04,          11545.71,          10919.37,           6449.88,           5382.57,           5730.66,           6536.36,           5047.97,,,,,,,,,,,,,
Syrian Arab Republic,World,Capital goods,Import,Import(US$ Mil),,,,,           2726.82,           1995.04,           1478.44,           1721.86,           1768.67,           1595.13,           1464.81,           1114.81,            892.15,            509.19,,,,,,,,,,,,,
Syrian Arab Republic,World,Consumer goods,Import,Import(US$ Mil),,,,,           6832.01,           4506.29,           7784.08,           6740.73,           4890.98,           1727.13,           1699.63,           1259.48,           1017.38,            909.80,,,,,,,,,,,,,
Syrian Arab Republic,World,Intermediate goods,Import,Import(US$ Mil),,,,,           6221.84,           6890.93,           7103.88,           4857.86,           3645.27,           3613.07,           2915.20,           2212.36,           1783.30,           1238.12,,,,,,,,,,,,,
