Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Turkmenistan,...,...,Development,GDP (current US$ Mil),          47931.93,          41012.98,          35164.20,          29233.30,          22148.10,          20214.40,          19271.50,          12664.20,          10277.60,           8104.36,           6838.35,           5977.44,           4462.03,           3534.77,           2904.66,           2450.69,           2605.69,           2450.08,           2379.28,           2482.23,           2561.12,           3179.23,           3200.54,           3197.22,           3232.07,           3049.95,           2988.68
Turkmenistan,...,...,Export,No. Of Export partners,,,,,,,,,,,,,,,             56.00,             56.00,             51.00,             50.00,,,,,,,,,
Turkmenistan,...,...,Export,No. Of Export products,,,,,,,,,,,,,,,            418.00,            398.00,,,,,,,,,,,
Turkmenistan,...,...,Import,No. Of Import partners,,,,,,,,,,,,,,,             74.00,             71.00,             68.00,             57.00,,,,,,,,,
Turkmenistan,...,...,Import,No. Of Import products,,,,,,,,,,,,,,,           3128.00,           3170.00,,,,,,,,,,,
Turkmenistan,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,...,...,Development,Trade Balance (current US$ Mil),,,          10150.10,           9110.60,           7190.50,           5934.00,           4564.00,           4647.00,           3923.00,           1398.00,            145.00,            340.50,            698.00,            160.00,            423.00,           -670.40,           -994.00,           -633.55,            -19.70,             -5.80,             -8.90,            741.50,            926.80,            381.10,,,
Turkmenistan,"Iran, Islamic Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,            241.96,            163.00,,,,,,,,,,,
Turkmenistan,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,            401.35,            112.57,,,,,,,,,,,
Turkmenistan,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,            144.34,,,,,,,,,,,,
Turkmenistan,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,           1029.30,,,,,,,,,,,,
Turkmenistan,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,            254.45,            167.25,,,,,,,,,,,
Turkmenistan,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,             66.24,,,,,,,,,,,
Turkmenistan,Turkey,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,            186.00,            128.30,,,,,,,,,,,
Turkmenistan,Turkey,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,            253.18,            260.01,,,,,,,,,,,
Turkmenistan,Ukraine,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,            164.89,            321.81,,,,,,,,,,,
Turkmenistan,Ukraine,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,            214.28,            182.04,,,,,,,,,,,
Turkmenistan,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,            158.64,            149.15,,,,,,,,,,,
Turkmenistan,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,             96.55,,,,,,,,,,,
Turkmenistan,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,World,Animal,Export,Export(US$ Mil),,,,,,,,,,,,,,,              0.74,              2.52,,,,,,,,,,,
Turkmenistan,World,Capital goods,Export,Export(US$ Mil),,,,,,,,,,,,,,,             12.51,             17.58,,,,,,,,,,,
Turkmenistan,World,Chemicals,Export,Export(US$ Mil),,,,,,,,,,,,,,,             11.26,              7.45,,,,,,,,,,,
Turkmenistan,World,Consumer goods,Export,Export(US$ Mil),,,,,,,,,,,,,,,           1810.21,            629.61,,,,,,,,,,,
