Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
East Timor,...,...,Development,GDP (current US$ Mil),           1552.00,           1468.00,           1270.00,           1123.00,            934.00,            818.00,            694.00,            559.00,            463.00,            491.00,            466.00,            453.00,            444.00,            452.00,            368.00,,,,,,,,,,,,
East Timor,...,...,Export,No. Of Export partners,,             47.00,,,,,,,,             81.00,             79.00,,,,,,,,,,,,,,,,
East Timor,...,...,Export,No. Of Export products,,            173.00,,,,,,,,            803.00,            899.00,,,,,,,,,,,,,,,,
East Timor,...,...,Import,No. Of Import partners,,             54.00,,,,,,,,             72.00,             74.00,,,,,,,,,,,,,,,,
East Timor,...,...,Import,No. Of Import products,,           1753.00,,,,,,,,           3043.00,           3213.00,,,,,,,,,,,,,,,,
East Timor,...,...,Tariff,No. Of Tariff Agreement,,              1.00,,,,,,,,,,,,,,,,,,,,,,,,,
East Timor,...,...,Development,Trade Balance (current US$ Mil),,,          -1428.00,          -1324.00,           -991.00,           -945.00,           -748.00,           -586.00,           -363.00,           -273.00,           -402.00,           -589.00,           -820.00,           -758.00,           -584.00,,,,,,,,,,,,
East Timor,Australia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,              5.39,,,,,,,,             23.34,             44.07,,,,,,,,,,,,,,,,
East Timor,Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,             14.14,             20.05,,,,,,,,,,,,,,,,
East Timor,Bangladesh,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,              4.23,,,,,,,,,,,,,,,,
East Timor,Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,              0.96,,,,,,,,,,,,,,,,,
East Timor,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,             33.55,,,,,,,,,,,,,,,,,,,,,,,,,
East Timor,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,              7.71,,,,,,,,              1.69,,,,,,,,,,,,,,,,,
East Timor,Indonesia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,             18.45,,,,,,,,,,,,,,,,,,,,,,,,,
East Timor,Indonesia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            176.09,,,,,,,,             47.77,             60.20,,,,,,,,,,,,,,,,
East Timor,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,              2.12,,,,,,,,,,,,,,,,
East Timor,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,             24.11,,,,,,,,,,,,,,,,
East Timor,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,             10.53,,,,,,,,,,,,,,,,,
East Timor,Malaysia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,             79.25,,,,,,,,,,,,,,,,,,,,,,,,,
East Timor,Portugal,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,              1.25,             13.71,,,,,,,,,,,,,,,,
East Timor,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,              2.59,,,,,,,,,,,,,,,,,,,,,,,,,
East Timor,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,             65.84,,,,,,,,             14.80,             15.15,,,,,,,,,,,,,,,,
East Timor,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,              7.34,,,,,,,,             10.38,              4.34,,,,,,,,,,,,,,,,
East Timor,Vietnam,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,             39.81,,,,,,,,              4.53,              5.24,,,,,,,,,,,,,,,,
East Timor,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,              0.00,,,,,,,,,,,,,,,,,,,,,,,,,
East Timor,World,Animal,Export,Export(US$ Mil),,,,,,,,,,              0.00,              0.13,,,,,,,,,,,,,,,,
East Timor,World,Capital goods,Export,Export(US$ Mil),,             11.08,,,,,,,,              7.44,             51.94,,,,,,,,,,,,,,,,
East Timor,World,Chemicals,Export,Export(US$ Mil),,              0.10,,,,,,,,              0.04,              1.10,,,,,,,,,,,,,,,,
East Timor,World,Consumer goods,Export,Export(US$ Mil),,             36.39,,,,,,,,             14.60,             32.77,,,,,,,,,,,,,,,,
East Timor,World,Food Products,Export,Export(US$ Mil),,              0.20,,,,,,,,              0.13,              1.34,,,,,,,,,,,,,,,,
East Timor,World,Footwear,Export,Export(US$ Mil),,              0.24,,,,,,,,              0.15,              0.12,,,,,,,,,,,,,,,,
East Timor,World,Fuels,Export,Export(US$ Mil),,,,,,,,,,              0.00,              0.02,,,,,,,,,,,,,,,,
East Timor,World,Hides and Skins,Export,Export(US$ Mil),,              0.01,,,,,,,,              0.03,              1.12,,,,,,,,,,,,,,,,
East Timor,World,Intermediate goods,Export,Export(US$ Mil),,              4.14,,,,,,,,             13.43,             12.93,,,,,,,,,,,,,,,,
East Timor,World,Mach and Elec,Export,Export(US$ Mil),,             10.07,,,,,,,,              4.40,             15.76,,,,,,,,,,,,,,,,
East Timor,World,Metals,Export,Export(US$ Mil),,              0.90,,,,,,,,              1.14,              4.51,,,,,,,,,,,,,,,,
East Timor,World,Minerals,Export,Export(US$ Mil),,,,,,,,,,              0.00,              0.00,,,,,,,,,,,,,,,,
East Timor,World,Miscellaneous,Export,Export(US$ Mil),,              0.67,,,,,,,,              0.98,             16.27,,,,,,,,,,,,,,,,
East Timor,World,Plastic or Rubber,Export,Export(US$ Mil),,              0.04,,,,,,,,              0.14,              1.48,,,,,,,,,,,,,,,,
East Timor,World,Raw materials,Export,Export(US$ Mil),,              1.36,,,,,,,,              7.85,              6.79,,,,,,,,,,,,,,,,
East Timor,World,Stone and Glass,Export,Export(US$ Mil),,              0.02,,,,,,,,              0.02,              0.11,,,,,,,,,,,,,,,,
East Timor,World,Textiles and Clothing,Export,Export(US$ Mil),,             17.26,,,,,,,,              1.16,              5.13,,,,,,,,,,,,,,,,
East Timor,World,Transportation,Export,Export(US$ Mil),,              6.09,,,,,,,,             20.76,             51.29,,,,,,,,,,,,,,,,
East Timor,World,Vegetable,Export,Export(US$ Mil),,             16.15,,,,,,,,              7.82,              6.96,,,,,,,,,,,,,,,,
East Timor,World,Wood,Export,Export(US$ Mil),,              1.38,,,,,,,,              6.67,              0.32,,,,,,,,,,,,,,,,
East Timor,World,All Products,Export,Exports (in US$ Mil),,             53.14,,,,,,,,             43.45,            105.65,,,,,,,,,,,,,,,,
East Timor,World,Capital goods,Import,Import(US$ Mil),,            115.19,,,,,,,,             18.11,             27.55,,,,,,,,,,,,,,,,
East Timor,World,Consumer goods,Import,Import(US$ Mil),,            316.87,,,,,,,,             61.84,             64.91,,,,,,,,,,,,,,,,
East Timor,World,Intermediate goods,Import,Import(US$ Mil),,             51.60,,,,,,,,             12.55,              9.66,,,,,,,,,,,,,,,,
East Timor,World,Raw materials,Import,Import(US$ Mil),,              9.79,,,,,,,,              8.46,             10.36,,,,,,,,,,,,,,,,
East Timor,World,All Products,Import,Imports (in US$ Mil),,            513.74,,,,,,,,            101.61,            113.49,,,,,,,,,,,,,,,,
