Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Trinidad and Tobago,...,...,Development,GDP (current US$ Mil),,          24433.81,          23224.90,          23541.90,          20578.40,          19175.10,          27870.10,          21642.30,          18369.10,          15982.40,          12884.70,          11236.00,           9008.27,           8824.87,           8154.32,           6808.98,           6043.71,           5737.75,           5759.54,           5329.21,           4947.21,           4584.65,           5532.12,           5362.82,           5068.07,           4323.04,           4496.81
Trinidad and Tobago,...,...,Export,No. Of Export partners,,,,,            131.00,            134.00,            130.00,            132.00,            124.00,            127.00,            127.00,            119.00,            118.00,            128.00,            107.00,            104.00,            103.00,             97.00,            102.00,            101.00,             94.00,            103.00,             95.00,            102.00,,,
Trinidad and Tobago,...,...,Export,No. Of Export products,,,,,           2279.00,           2393.00,           2479.00,           2492.00,           2599.00,           2702.00,           2655.00,           2702.00,           2707.00,           2798.00,           2680.00,           2693.00,           2108.00,           2023.00,           1990.00,           1572.00,           1510.00,           1782.00,           1703.00,           1659.00,,,
Trinidad and Tobago,...,...,Import,No. Of Import partners,,,,,            164.00,            165.00,            164.00,            168.00,            159.00,            150.00,            144.00,            149.00,            139.00,            131.00,            133.00,            129.00,            129.00,            110.00,            112.00,            115.00,            109.00,            113.00,            114.00,            106.00,,,
Trinidad and Tobago,...,...,Import,No. Of Import products,,,,,           3691.00,           3729.00,           3769.00,           3796.00,           3930.00,           3944.00,           3941.00,           3990.00,           3962.00,           3946.00,           3994.00,           4007.00,           2763.00,           2706.00,           2701.00,           2170.00,           2141.00,           2653.00,           2627.00,           2702.00,,,
Trinidad and Tobago,...,...,Tariff,No. Of Tariff Agreement,,,,,              2.00,,              5.00,              5.00,              5.00,              1.00,              1.00,              1.00,              1.00,              1.00,,              1.00,,,,,,,              1.00,              3.00,,,
Trinidad and Tobago,...,...,Development,Trade Balance (current US$ Mil),,           5656.23,           3901.04,           5425.26,           4753.15,           2636.44,           9968.82,           6058.93,           8109.45,           4283.77,           1979.04,           1598.05,            498.60,            946.64,           1131.30,            396.35,           -323.52,           -200.20,            590.54,            774.99,            663.39,            223.30,            495.00,            407.00,            850.12,            333.55,            209.80
Trinidad and Tobago,Barbados,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,            373.56,            275.15,,,            468.14,            415.15,            212.91,            205.01,            178.50,            283.18,            206.00,            150.74,            126.78,             94.85,,             85.40,             70.52,             71.38,             63.63,             65.41,,,
Trinidad and Tobago,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,            466.47,,           1127.04,            814.82,            899.35,            771.34,            509.09,            354.92,            208.98,            199.56,,,,,,             69.95,             59.69,,,,,,
Trinidad and Tobago,British Virgin Islands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,             54.53,,,
Trinidad and Tobago,British Virgin Islands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,            232.39,,,
Trinidad and Tobago,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,             74.40,,,,,,
Trinidad and Tobago,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,            134.11,,,,             88.14,             65.23,,             71.91,             82.70,,,
Trinidad and Tobago,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,            373.26,            352.83,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,Colombia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,            287.36,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,Colombia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,            613.56,            689.85,            760.38,            677.85,            384.94,            320.36,,,,,            262.70,            141.71,            171.53,,,,,,,,,,
Trinidad and Tobago,"Congo, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,            439.75,            387.21,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,Dominican Republic,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,            353.59,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,            441.91,            426.61,            165.77,            232.99,            175.89,            197.07,            159.56,            128.51,            112.60,            173.88,,             70.57,,,             98.60,,,,
Trinidad and Tobago,French Guiana,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,             53.41,,,
Trinidad and Tobago,Gabon,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,            836.02,            483.63,            586.38,            520.97,,,,            197.35,,,            123.93,,,,,,,,,,,,
Trinidad and Tobago,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,            306.85,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,            481.88,            227.41,            252.22,,,,,            137.58,,            101.56,,             91.39,,,,,
Trinidad and Tobago,Guyana,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,            274.33,,            150.87,,,,,             83.86,            110.20,,             80.61,             59.77,             58.52,,,,,
Trinidad and Tobago,Jamaica,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,            710.00,            476.35,           1249.72,            610.21,            808.97,            717.18,            244.52,            355.98,            292.61,            356.68,            334.34,            245.40,            236.82,            212.20,,            207.92,            119.29,             70.44,,,,,
Trinidad and Tobago,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,            187.20,,            160.25,,,            139.25,            145.00,            109.49,,,             52.17,,             88.09,             93.09,,,
Trinidad and Tobago,Mexico,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,            591.18,,,,            136.75,,,            377.27,,,,,,,,,,,,,
Trinidad and Tobago,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,            563.74,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,Netherlands Antilles,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,            100.01,,,,,,             51.94,            120.63,             82.93,,,
Trinidad and Tobago,Nigeria,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,            384.08,            288.81,,,,,,,,,,,,,,,,,
Trinidad and Tobago,Panama,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,            182.21,,,,,,,,,,,,,
Trinidad and Tobago,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,            543.72,            488.36,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,            462.26,           1163.48,            531.91,            744.35,,,,             92.14,,            126.54,,,,,,,,,,,,
Trinidad and Tobago,Suriname,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,            300.28,,,,,,,,,,,,,,,,,,             41.70,,,,
Trinidad and Tobago,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,            370.75,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,            259.92,,,            191.00,            118.49,,            147.72,            149.95,,            124.70,             94.17,            112.63,            100.37,            125.63,,,
Trinidad and Tobago,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,           5278.69,           4961.65,           8581.36,           7734.59,           8142.76,           5630.87,           4549.39,           2874.96,           1941.81,           2164.52,           1990.78,           1160.28,            902.96,           1128.18,,           1058.52,            907.09,            776.83,            907.58,,,,
Trinidad and Tobago,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,           1811.17,           2159.31,           2303.42,           1924.53,           1787.81,           1660.27,           1683.75,           1202.90,           1242.55,           1353.77,           1170.24,           1104.48,           1354.56,           1596.90,,            872.06,            547.38,            548.92,            587.93,,,,
Trinidad and Tobago,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,            966.29,,,
Trinidad and Tobago,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,             76.11,,            649.42,,,
Trinidad and Tobago,Venezuela,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,            343.61,,            266.31,            396.87,            436.03,            608.54,            327.56,            213.12,            262.43,,,,            233.66,            137.41,,,,
