Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Tunisia,...,...,Development,GDP (current US$ Mil),,          46994.80,          45238.90,          45951.40,          44426.00,          43455.70,          44855.10,          38909.30,          34377.80,          32272.20,          31183.10,          27453.10,          23141.80,          22066.10,          21473.20,          22943.70,          21803.40,          20746.40,          19587.30,          18030.90,          15632.50,          14608.90,          15497.30,          13074.80,          12290.60,          10101.86,          10096.29
Tunisia,...,...,Export,No. Of Export partners,,            159.00,            156.00,            153.00,            153.00,            151.00,            159.00,            157.00,            153.00,            153.00,            141.00,            145.00,            143.00,            138.00,            138.00,            131.00,            129.00,            126.00,            123.00,            119.00,            115.00,            107.00,            106.00,            102.00,,,
Tunisia,...,...,Export,No. Of Export products,,           2784.00,           2759.00,           2705.00,           2706.00,           2729.00,           2754.00,           2760.00,           2733.00,           2660.00,           2629.00,           2647.00,           2557.00,           2510.00,           2412.00,           2431.00,           2330.00,           2336.00,           2360.00,           2371.00,           2398.00,           2325.00,           2218.00,           2264.00,,,
Tunisia,...,...,Import,No. Of Import partners,,            170.00,            169.00,            165.00,            179.00,            162.00,            172.00,            174.00,            171.00,            169.00,            171.00,            171.00,            169.00,            167.00,            157.00,            148.00,            139.00,            143.00,            138.00,            139.00,            131.00,            127.00,            121.00,            122.00,,,
Tunisia,...,...,Import,No. Of Import products,,           4162.00,           4135.00,           4159.00,           4200.00,           4168.00,           4169.00,           4332.00,           4308.00,           4274.00,           4266.00,           4242.00,           4275.00,           4345.00,           4328.00,           4314.00,           4368.00,           4350.00,           4335.00,           4329.00,           4345.00,           4294.00,           4251.00,           4131.00,,,
Tunisia,...,...,Tariff,No. Of Tariff Agreement,,             11.00,              1.00,              1.00,              1.00,              1.00,              1.00,,              2.00,              4.00,              1.00,              1.00,              1.00,,              1.00,,              2.00,,,              1.00,,,              2.00,,,,
Tunisia,...,...,Development,Trade Balance (current US$ Mil),,          -4309.09,          -4149.90,          -3306.20,          -2114.60,          -1174.10,          -1367.00,           -740.50,           -647.60,           -124.80,           -781.40,           -939.80,           -873.03,           -864.63,           -722.04,           -446.72,           -641.00,           -471.47,           -294.12,           -704.24,           -459.57,          -1098.63,          -1073.94,           -647.82,           -866.14,           -334.98,             36.37
Tunisia,Algeria,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           1185.24,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,            322.80,            296.81,            333.66,,,,,,,,,,,
Tunisia,Belgium-Luxembourg,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,            348.32,            339.68,,            357.09,            297.72,            276.44,            278.91,            231.18,,,
Tunisia,Belgium-Luxembourg,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,            321.83,,,            354.32,            283.13,            268.46,            302.59,            278.07,,,
Tunisia,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           1533.20,           1685.83,           1456.13,           1344.08,            956.64,,,,,,,,,,,,,,,,,,,,,
Tunisia,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,           4502.92,           4587.40,           5476.75,           4717.28,           4283.31,           5507.52,           4877.61,           3776.86,           3453.81,           3205.14,           2613.22,           2133.84,           1914.47,           1569.51,           1526.49,           1551.51,           1416.98,,           1536.35,           1232.14,           1142.77,           1094.00,            933.91,,,
Tunisia,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           4436.71,           4017.50,           4380.87,           4203.20,           3832.09,           4546.32,           4082.18,           3391.70,           3092.25,           3189.85,           2838.64,           2435.42,           2456.80,           2253.57,           2230.87,           2260.41,           1889.93,,           2024.59,           1779.53,           1668.17,           1637.80,           1351.63,,,
Tunisia,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,           1533.39,           1398.39,           1615.55,           1388.06,           1270.07,           1338.02,           1247.54,            917.23,            885.44,            887.89,            858.03,            782.28,            774.63,            732.15,            809.57,            885.60,            807.86,,            860.98,            712.81,            660.83,            685.99,            607.52,,,
