Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Turkey,...,...,Development,GDP (current US$ Mil),         799534.96,         823242.59,         788863.00,         774754.00,         731168.00,         614554.00,         730337.00,         647155.00,         530900.00,         482986.00,         392166.00,         303005.00,         232535.00,         196005.00,         266568.00,         249751.00,         269287.00,         189835.00,         181476.00,         169486.00,         130690.00,         180422.00,         159095.00,         151041.00,         150676.00,         107143.35,          90852.81
Turkey,...,...,Export,No. Of Export partners,            216.00,            217.00,            218.00,            213.00,            215.00,            216.00,            212.00,            211.00,            210.00,            205.00,            211.00,            208.00,            207.00,            193.00,            186.00,            181.00,            178.00,            164.00,            167.00,            172.00,            170.00,            173.00,            168.00,            139.00,            131.00,            142.00,
Turkey,...,...,Export,No. Of Export products,           4311.00,           4271.00,           4300.00,           4303.00,           4285.00,           4262.00,           4252.00,           4244.00,           4424.00,           4399.00,           4372.00,           4341.00,           4263.00,           4389.00,           4391.00,           4378.00,           4420.00,           4445.00,           4363.00,           4138.00,           4059.00,           3742.00,           3654.00,           3509.00,           3537.00,           3601.00,
Turkey,...,...,Import,No. Of Import partners,            218.00,            219.00,            217.00,            216.00,            203.00,            209.00,            206.00,            207.00,            204.00,            200.00,            195.00,            194.00,            193.00,            179.00,            173.00,            170.00,            164.00,            160.00,            162.00,            155.00,            142.00,            150.00,            154.00,            116.00,            134.00,            129.00,
Turkey,...,...,Import,No. Of Import products,           4370.00,           4373.00,           4378.00,           4403.00,           4410.00,           4387.00,           4382.00,           4375.00,           4587.00,           4590.00,           4573.00,           4534.00,           4512.00,           4577.00,           4662.00,           4651.00,           4676.00,           4737.00,           4718.00,           4634.00,           4562.00,           4641.00,           4581.00,           4462.00,           4504.00,           4309.00,
Turkey,...,...,Tariff,No. Of Tariff Agreement,,             24.00,,             20.00,             18.00,             18.00,             16.00,             17.00,             16.00,              9.00,             11.00,             18.00,             19.00,             18.00,             14.00,              2.00,              5.00,              2.00,,              1.00,,              2.00,,,,,
Turkey,...,...,Development,Trade Balance (current US$ Mil),         -35315.57,         -53865.97,         -40726.00,         -67178.00,         -40585.00,          -6793.00,         -32375.00,         -33397.00,         -26073.00,         -16886.00,         -10329.70,          -3161.70,           3800.90,           8086.30,          -7987.40,            384.40,           3116.50,         -11023.50,         -11403.90,          -7558.10,           1278.70,         -10229.00,          -4697.90,          -4219.70,          -6347.70,          -1690.55,           1000.39
Turkey,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          24918.24,          24685.89,          21295.13,          21692.98,          17180.81,          12662.64,          15658.20,          13234.09,           9669.11,           6885.40,,,,,,,,,,,,,,,,,
Turkey,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           6470.33,,,           6805.90,           6055.13,           6209.77,           6615.24,           5974.46,           4604.35,           3805.76,           3668.42,           2826.14,           2123.54,           1895.29,           1651.59,           1573.19,,,,,            851.17,            771.27,            808.86,            688.64,            736.78,,
Turkey,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,           7239.95,           5887.82,           6201.35,           4164.12,           3047.50,           2283.94,           3514.60,           3127.13,           3033.23,           2967.21,,           1995.82,           1458.12,           1952.34,           1350.82,           1226.54,           1340.32,            744.78,
Turkey,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          15155.93,          13702.58,          13132.22,          13951.83,          11486.81,           9791.16,          12951.33,          11993.23,           9686.23,           9455.05,           8745.28,           7484.93,           5835.21,           5366.68,           5171.17,           5474.53,           5449.08,           5253.43,,           5033.55,           3934.25,           3654.30,           3660.40,           3412.89,           3063.72,           2175.71,
Turkey,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          22369.25,          24182.42,          21400.18,          22985.42,          17549.16,          14096.45,          18687.06,          17539.96,          14768.22,          13633.89,          12515.66,           9452.96,           7014.69,           5335.44,           7163.37,           5880.02,           7310.72,           8021.15,,           5547.55,           3645.55,           4533.01,           3754.44,           3232.00,           3496.76,           2203.89,
Turkey,"Iran, Islamic Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,           9922.58,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Iraq,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          10896.20,          11948.91,          10827.67,           8311.82,           6041.86,           5126.12,,,,,,,,,,,,,,,,,,,,,
Turkey,Iraq,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,           1649.70,
Turkey,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           7144.64,           6718.36,,           7851.64,           6508.64,           5892.03,           7814.07,           7480.06,           6752.35,           5618.16,           4641.20,           3194.80,           2361.21,           2342.20,           1755.17,           1682.52,           1555.09,           1387.19,,           1455.78,           1033.60,            750.31,            942.70,            971.57,           1106.26,            978.07,
Turkey,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,          12884.86,          13344.39,          13449.65,          10203.73,           7672.58,          11011.47,           9967.97,           8663.47,           7566.81,           6865.90,           5471.59,           4132.12,           3484.13,           4319.13,           3192.05,           4234.79,           4463.05,,           3193.09,           2008.47,           2558.27,           1918.54,           1845.35,           1727.06,           1070.89,
Turkey,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,           1620.76,,,,,
Turkey,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,           6964.21,,,,,,           4726.85,,,,,,,,,           1347.47,           2056.47,,           1232.04,,,,,,,
Turkey,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          25293.39,          25064.21,          26625.03,          23952.93,          21599.57,          19718.97,          31364.48,          23508.49,          17806.24,          12905.62,           9033.14,           5451.32,           3863.18,           3435.67,           3879.87,           2374.10,,,,           2082.37,,,,,,,
Turkey,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,           1228.81,,           1664.99,           1828.93,,,
Turkey,Soviet Union,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,            704.73,
Turkey,Soviet Union,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,           1247.43,,
Turkey,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,           8175.54,,,,           7975.40,,,,,,,,,,,,,,,,,,,,
Turkey,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           9914.03,           8785.12,           8700.77,           8152.16,           7238.43,           5919.55,           8158.84,           8626.78,           6814.30,           5917.16,           5543.92,           3670.09,           3005.84,           2174.89,           2023.67,           1829.36,           1710.18,           1511.26,,           1134.43,            888.86,            835.09,            796.29,            676.03,            744.77,            616.07,
Turkey,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,           3500.02,,,,,           2681.41,           2763.11,,,,,,,,,
Turkey,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,           5061.33,           4910.82,           4848.74,           3753.87,           3336.81,           3125.80,           3074.13,           2437.08,           2228.53,           2027.09,,           1512.53,           1520.65,            986.45,            865.01,            912.86,            967.59,            971.00,
Turkey,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          12727.88,,          14131.39,          16042.04,          12322.80,           8572.19,          11976.92,           8166.79,,,           4745.22,,           3067.89,           3261.38,           3887.34,           3080.26,           4043.45,           4329.60,,           3723.93,           2429.36,           3350.66,           2600.41,           2255.31,           2281.57,           2094.27,
Turkey,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          13654.04,          13413.54,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,      167215285.07,,      153616397.09,      132198966.00,       99623163.32,      137200547.58,      118026940.88,      102915439.20,       87984664.27,       66445476.54,       49734268.81,       35755133.45,       28737024.29,       37917004.66,       11092975.36,       27788277.45,        8924142.82,       26648918.51,        2799369.06,,        4527096.13,,,,,
Turkey,World,Animal,Export,Export(US$ Mil),           2124.08,           1875.70,           1557.13,           1321.75,            865.51,            778.69,            761.91,            529.74,            406.91,            367.96,            324.08,            278.93,            238.69,            184.87,            121.30,            169.72,            210.37,            281.28,            245.08,            267.86,            365.11,            394.65,            249.67,            314.60,            336.19,            396.16,
Turkey,World,Capital goods,Export,Export(US$ Mil),          29737.48,          28760.72,          25705.41,          25762.64,          21038.79,          18643.13,          26807.74,          22441.56,          16089.32,          13006.93,          10660.50,           7451.32,           5072.25,           4585.58,           3660.06,           3225.57,           2686.30,           2349.91,           1912.77,           1567.61,           1244.99,            899.46,            818.70,            567.31,            490.32,            390.97,
