Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Tanzania,...,...,Development,GDP (current US$ Mil),          49183.88,          44333.46,          38808.70,          33561.50,          31105.40,          28574.20,          27388.30,          21501.70,          18610.50,          16930.00,          12825.80,          11659.10,          10805.60,          10383.60,          10185.80,           9697.85,           9345.17,           7683.85,           6496.20,           5255.22,           4510.85,           4257.70,           4601.41,           4956.59,           4258.74,           4420.17,           5100.41
Tanzania,...,...,Export,No. Of Export partners,            150.00,            158.00,            146.00,            149.00,            157.00,            146.00,            149.00,            138.00,            142.00,            135.00,            130.00,            132.00,            132.00,            121.00,            124.00,            121.00,            124.00,            102.00,,,,,,,,,
Tanzania,...,...,Export,No. Of Export products,           2362.00,           2330.00,           2424.00,           2343.00,           2230.00,           2130.00,           2149.00,           2125.00,           1992.00,           1927.00,           1965.00,           1308.00,           1142.00,           1130.00,            981.00,           2039.00,           2072.00,            869.00,,,,,,,,,
Tanzania,...,...,Import,No. Of Import partners,            190.00,            173.00,            173.00,            174.00,            177.00,            182.00,            180.00,            167.00,            163.00,            168.00,            163.00,            166.00,            171.00,            151.00,            143.00,            138.00,            143.00,            159.00,            142.00,            139.00,,,,,,,
Tanzania,...,...,Import,No. Of Import products,           4101.00,           4063.00,           4075.00,           4102.00,           4027.00,           3993.00,           3976.00,           4085.00,           4166.00,           4123.00,           4138.00,           4187.00,           4113.00,           4069.00,           3947.00,           3954.00,           4070.00,           3901.00,           3883.00,           3732.00,,,,,,,
Tanzania,...,...,Tariff,No. Of Tariff Agreement,              2.00,              2.00,              2.00,              2.00,              2.00,              4.00,              3.00,              5.00,              5.00,              5.00,,              3.00,,,              3.00,,              4.00,              1.00,,,,,,,,,
Tanzania,...,...,Development,Trade Balance (current US$ Mil),          -5120.13,          -5948.75,          -4589.66,          -5128.93,          -3229.86,          -2544.29,          -3325.06,          -2744.76,          -1471.08,           -889.46,           -822.72,           -495.33,           -244.16,           -444.11,           -688.67,          -1001.27,          -1179.56,           -727.76,           -779.95,           -916.14,          -1037.99,          -1265.58,          -1238.32,          -1158.70,          -1057.60,,
Tanzania,Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,            140.97,,,,,,,,,,,,,
Tanzania,Bahrain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,            915.80,,,,,,            409.91,            509.16,,            160.33,,,,,,,,,,,,,,,
Tanzania,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            683.95,            309.42,            525.02,            677.37,            656.69,            387.27,            270.44,            156.70,            149.22,             98.67,             71.60,,,,,,,,,,,,,,,,
Tanzania,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           2046.63,           1595.86,           1162.89,           1056.32,            876.53,            692.07,            721.34,            415.92,            307.49,            222.73,            174.00,,,,,,,,,,,,,,,,
Tanzania,"Congo, Dem. Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            237.56,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,"Congo, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            291.48,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,             80.27,            156.18,            137.43,             36.48,,,,,,,,,,,,
Tanzania,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,            229.31,,,,,            112.78,,,,,,             60.14,             50.58,             36.72,             67.14,,,,,,,,,
Tanzania,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,            108.88,,,,,,,
Tanzania,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1254.63,            752.17,            480.64,,            226.50,            187.83,            172.97,,,,            107.09,             73.15,             64.94,             81.63,             98.39,            119.37,            114.42,             73.63,,,,,,,,,
Tanzania,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           2453.79,           2308.71,,           1564.95,            895.01,            772.87,            865.71,            512.71,,,            218.15,            169.48,            108.01,,,,,,,            111.69,,,,,,,
Tanzania,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,            356.18,,,,,,,,             89.73,             97.34,             68.06,,             45.66,             44.87,             39.12,,,,,,,,,
Tanzania,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,            568.11,            422.15,,            262.78,            260.11,            208.52,            182.65,            170.18,            140.23,            150.45,            137.75,            130.77,            180.15,,,            126.24,,,,,,,
Tanzania,Kenya,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            445.96,,            349.69,,            324.89,            192.90,            252.74,            123.41,,,             90.23,             78.95,,,,,,,,,,,,,,,
Tanzania,Kenya,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            654.71,,,,,,,,,,,,             96.25,,,            106.22,             96.07,             96.57,,,,,,,,,
Tanzania,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,            104.26,            104.11,            100.01,,,             54.53,             51.43,             45.35,             47.07,             33.18,             31.48,,,,,,,,,
Tanzania,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,             90.70,,,,,,,,,,,
Tanzania,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,            158.72,,,,,,,,,,,,
Tanzania,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,            441.86,,,,,,,,,,,,,,,,,,,,
Tanzania,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            689.17,            764.58,            982.83,            857.60,            433.69,            187.86,            265.53,            204.03,            274.65,            294.75,            122.25,,,,,,,,,,,,,,,,
Tanzania,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            729.67,            934.86,            988.15,            771.72,            686.62,            829.39,            595.62,            571.69,            401.45,            334.45,            277.08,            190.84,            203.08,            158.25,            142.94,            186.04,            105.59,,            107.90,,,,,,,
Tanzania,Special Categories,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,             98.18,,,,,,,,,,,,
Tanzania,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            404.71,            798.58,            916.32,            710.37,            584.69,            629.96,            437.98,            359.81,            145.94,,,,,,,,,,,,,,,,,
Tanzania,Switzerland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            905.64,           1621.96,           1581.60,           1102.19,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1175.20,           1193.19,           1025.68,           1243.28,            672.18,            631.57,            978.94,            782.49,            497.83,            205.43,            186.34,            148.31,             98.14,            108.71,,,,             92.01,,,,,,,,,
Tanzania,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,            132.12,            471.93,            391.50,            159.25,            139.47,            145.93,             66.34,             95.11,             51.69,,,,,,,,,
Tanzania,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,            110.00,            100.93,            122.69,            129.65,            120.84,,            406.38,,,,,,,
Tanzania,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,            100.37,,,,,,,,,,
Tanzania,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,             95.90,,,,,,,,,
Tanzania,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,        4452029.77,        4445935.97,        4491088.45,        3148292.50,        2730865.01,        3048969.67,        2405060.10,        1888144.23,        1331424.01,,         564644.60,,,          37335.83,,           6462.02,          10695.57,,,,,,,,,
Tanzania,World,Animal,Export,Export(US$ Mil),,            134.15,            128.31,            142.68,            147.32,            136.26,            149.66,            173.34,            200.80,            156.78,            130.82,            142.68,            123.10,            102.93,             82.21,             82.32,             63.25,             66.35,,,,,,,,,
Tanzania,World,Capital goods,Export,Export(US$ Mil),,            242.44,            299.65,            173.02,            157.99,            118.91,            141.66,             66.71,             51.33,             25.32,             19.47,              2.60,              2.68,              3.98,              4.01,             31.79,             33.16,              6.47,,,,,,,,,
Tanzania,World,Chemicals,Export,Export(US$ Mil),,             76.41,            128.08,            103.51,            143.33,             72.01,             86.53,             51.18,             55.08,             20.15,             22.92,             11.79,              7.66,              6.00,              5.25,              4.83,              6.30,              4.09,,,,,,,,,
Tanzania,World,Consumer goods,Export,Export(US$ Mil),,            611.59,            553.46,            487.14,            587.50,            386.61,            463.60,            313.13,            208.72,            181.12,            160.17,             95.74,             89.33,             78.56,             73.71,             94.10,            116.31,             77.27,,,,,,,,,
Tanzania,World,Food Products,Export,Export(US$ Mil),,            328.07,            358.94,            192.54,            215.48,            164.65,            265.37,            159.03,            142.61,            173.20,             95.19,             73.65,             78.30,             53.85,             50.70,             82.66,             59.99,            101.93,,,,,,,,,
Tanzania,World,Footwear,Export,Export(US$ Mil),,              2.88,              2.87,              2.22,              4.76,              4.91,              4.07,              5.36,              4.99,              3.11,              3.41,              1.58,              4.88,              2.42,              0.86,              1.88,              7.09,              0.92,,,,,,,,,
Tanzania,World,Fuels,Export,Export(US$ Mil),,            100.09,             69.80,             36.78,             77.16,             22.23,             69.97,             14.93,             18.03,             39.83,             20.47,              0.66,              0.73,              0.93,              0.67,              2.09,              9.75,              2.07,,,,,,,,,
Tanzania,World,Hides and Skins,Export,Export(US$ Mil),,             17.41,             16.84,             19.15,             17.89,             11.73,             17.59,             21.79,             12.10,              8.74,              9.73,              7.77,              9.14,              8.29,              7.69,              6.20,              6.75,              8.70,,,,,,,,,
Tanzania,World,Intermediate goods,Export,Export(US$ Mil),,           2133.80,           2587.02,           2218.10,           1554.94,           1185.24,           1340.81,            913.48,            825.08,            761.28,            702.75,            556.06,            362.72,            306.29,            214.03,             86.18,            121.46,             61.89,,,,,,,,,
Tanzania,World,Mach and Elec,Export,Export(US$ Mil),,            147.97,            196.48,            149.87,            148.43,            133.57,            171.63,             75.98,             44.59,             23.05,             16.39,              2.74,              3.45,              5.55,              9.01,             20.42,             26.48,              7.14,,,,,,,,,
Tanzania,World,Metals,Export,Export(US$ Mil),,             91.07,             98.92,             93.77,            217.95,             41.92,            113.91,             51.52,             29.18,             36.66,             18.63,              7.14,              3.10,              1.53,              2.08,              3.04,              3.43,              0.60,,,,,,,,,
Tanzania,World,Minerals,Export,Export(US$ Mil),,            457.02,            915.02,           1076.91,            866.96,            532.89,            383.99,            236.95,            181.21,            106.62,            112.06,             66.90,             80.90,             52.61,              4.16,              4.34,              4.02,              7.89,,,,,,,,,
Tanzania,World,Miscellaneous,Export,Export(US$ Mil),,             34.38,            111.36,             44.80,             54.58,            108.96,             96.31,              9.98,              4.39,              2.65,              1.93,              0.73,              0.81,              0.38,              0.47,              6.00,              3.47,              2.54,,,,,,,,,
Tanzania,World,Plastic or Rubber,Export,Export(US$ Mil),,             56.20,             51.57,             74.20,             91.20,             27.81,             39.42,             54.70,             49.39,             16.09,              9.44,              2.98,              2.12,              0.97,              2.54,              1.99,              2.26,              0.59,,,,,,,,,
Tanzania,World,Raw materials,Export,Export(US$ Mil),,           1409.88,           2052.99,           1840.58,           1736.02,           1192.66,           1114.71,            841.12,            776.84,            700.84,            589.77,            477.19,            445.97,            372.40,            362.62,            427.99,            356.92,            449.09,,,,,,,,,
Tanzania,World,Stone and Glass,Export,Export(US$ Mil),,           1655.70,           1991.77,           1790.49,           1020.35,            869.02,            842.82,            624.81,            654.57,            594.78,            582.72,            499.78,            319.07,            258.96,            181.35,             26.34,             78.17,             22.52,,,,,,,,,
Tanzania,World,Textiles and Clothing,Export,Export(US$ Mil),,            247.73,            307.77,            209.15,            225.67,            254.66,            261.46,            162.76,            123.85,            158.58,            130.88,             79.13,             55.14,             57.17,             55.86,             70.19,             54.13,            129.61,,,,,,,,,
Tanzania,World,Transportation,Export,Export(US$ Mil),,             95.87,             73.97,             37.85,             31.28,             20.34,             34.25,             21.21,             20.39,             10.22,             10.65,              0.07,              0.25,              0.11,              0.15,             18.62,             17.63,              0.82,,,,,,,,,
Tanzania,World,Vegetable,Export,Export(US$ Mil),,            885.10,           1033.30,            698.65,            668.87,            521.03,            525.83,            436.12,            302.01,            304.60,            296.75,            225.06,            207.70,            207.06,            247.65,            303.10,            280.33,            234.31,,,,,,,,,
Tanzania,World,Wood,Export,Export(US$ Mil),,             82.48,             62.22,             62.40,            119.31,             60.40,             58.25,             39.68,             21.49,             16.71,             11.13,              9.33,              5.02,              4.09,              5.14,              8.02,              7.04,              8.08,,,,,,,,,
Tanzania,World,All Products,Export,Exports (in US$ Mil),,           4412.55,           5547.23,           4734.96,           4050.55,           2982.40,           3121.08,           2139.35,           1864.68,           1671.78,           1473.11,           1132.00,            901.36,            762.87,            655.80,            642.05,            630.08,            598.17,,,,,,,,,
Tanzania,World,Capital goods,Import,Import(US$ Mil),,           2423.52,           2924.51,           2939.18,           2055.33,           2040.32,           2222.32,           1410.05,           1226.80,            857.88,            676.71,            573.01,            512.65,            522.70,            421.29,            529.69,            518.44,            369.15,            362.88,            515.43,,,,,,,
Tanzania,World,Consumer goods,Import,Import(US$ Mil),,           6977.68,           5872.51,           5420.99,           3699.12,           2706.85,           3745.61,           2977.66,           2105.52,           1452.62,           1054.22,            969.77,            677.39,            729.38,            784.31,            609.83,            542.64,            585.27,            469.33,            539.02,,,,,,,
Tanzania,World,Intermediate goods,Import,Import(US$ Mil),,           2573.00,           2225.07,           2218.75,           1827.37,           1441.89,           1792.96,           1170.57,            974.63,            802.01,            634.82,            492.20,            394.36,            370.99,            300.69,            316.88,            378.97,            292.88,            309.67,            534.54,,,,,,,
