Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Venezuela,...,...,Development,GDP (current US$ Mil),         509964.08,         371336.63,         381286.00,         316482.00,         393801.00,         329419.00,         315600.00,         230364.00,         183478.00,         145513.00,         112451.00,          83622.20,          92889.60,         122910.00,         117148.00,          97974.10,          91338.50,          85837.40,          68258.60,          74888.70,          56529.90,          58107.60,          58470.40,          51734.40,          47027.50,          42142.30,          58428.40
Venezuela,...,...,Export,No. Of Export partners,,             80.00,             49.00,            112.00,            107.00,            121.00,            132.00,,            102.00,            121.00,            127.00,            126.00,            117.00,            116.00,            111.00,             98.00,            100.00,            105.00,            104.00,             92.00,             98.00,,,,,,
Venezuela,...,...,Export,No. Of Export products,,           1628.00,            288.00,           1719.00,           1580.00,           1791.00,           2511.00,,           2109.00,           2769.00,           3041.00,           2926.00,           2899.00,           2697.00,           2786.00,           2667.00,           2798.00,           2953.00,           3034.00,           2902.00,           3074.00,,,,,,
Venezuela,...,...,Import,No. Of Import partners,,            170.00,            175.00,            176.00,            175.00,            175.00,            170.00,            153.00,            135.00,            148.00,            134.00,            124.00,            136.00,            138.00,            124.00,            125.00,            122.00,            116.00,            107.00,            112.00,            109.00,,,,,,
Venezuela,...,...,Import,No. Of Import products,,           4210.00,           4385.00,           4346.00,           4290.00,           4402.00,           4417.00,           4355.00,           4345.00,           4468.00,           4369.00,           4346.00,           4565.00,           4671.00,           4667.00,           4655.00,           4634.00,           4625.00,           4536.00,           4617.00,           4493.00,,,,,,
Venezuela,...,...,Tariff,No. Of Tariff Agreement,,             53.00,             51.00,             51.00,             51.00,             50.00,             50.00,             21.00,             21.00,             20.00,             20.00,              1.00,              1.00,              2.00,              1.00,              2.00,              2.00,              1.00,,              5.00,,,,,,,
Venezuela,...,...,Development,Trade Balance (current US$ Mil),,         -17630.34,           7391.10,          32432.80,          43018.40,          -7833.20,          30974.10,          13964.70,          26368.80,          27924.00,          19149.70,          14324.20,          11417.40,           4092.90,          13625.70,           3677.10,          -1606.10,           6243.00,          10366.30,           3962.50,           4841.20,           -129.50,          -1494.30,           2652.10,           9060.33,           5493.48,          -3892.31
Venezuela,Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,           1808.27,,,,,,,,           1129.07,            818.22,            660.99,            969.32,,           1683.90,            568.14,,,,,,
Venezuela,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           4503.09,           5316.53,           4606.42,           3180.49,           3396.43,           4275.50,           3003.43,           2456.60,           1988.68,           1238.36,            555.43,            755.40,            974.93,            727.32,,            620.14,            628.30,,,,,,,,,
Venezuela,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,            457.28,,,,,,,
Venezuela,Chile,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,            110.10,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            254.07,,            492.22,            719.40,            304.01,,,,,,,,,,,,,,,,,,,,,
Venezuela,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           7645.22,          10095.93,           6496.96,           3593.33,           4034.46,           4527.52,           2076.29,           1652.37,,,,,,,,,,,,,,,,,,
Venezuela,Colombia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            236.36,,            405.65,            591.36,            424.32,,,,           1030.17,           1041.63,            650.77,            796.35,            730.71,,            788.71,           1432.42,           1339.87,,           1423.20,           1174.86,,,,,,
Venezuela,Colombia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           2257.92,           2847.58,,           1424.24,           4417.55,           6903.38,           3729.49,           2420.70,           2409.19,           1563.37,            712.99,            963.67,           1432.27,           1083.62,            738.06,            793.93,            862.62,,            818.76,            401.15,,,,,,
Venezuela,Cuba,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,            432.66,,,,,,,,,,
Venezuela,Dominican Republic,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,            679.60,            715.36,            859.43,,,,,,,,,,,,
Venezuela,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,            347.81,            582.94,,,            614.59,            686.01,            544.00,,            521.24,            444.99,,,,,,
Venezuela,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,           1007.68,,,,,,,,,,,,,,,,
Venezuela,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,            640.77,           1523.10,,,,,            299.07,,,,,,
Venezuela,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,            749.11,,,            660.45,            591.59,,            473.67,            449.99,,,,,,
Venezuela,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           2231.99,           2414.92,           1820.87,           1445.57,           1461.10,           2202.93,,,           1514.75,            686.35,            416.25,            536.84,            773.80,            627.34,            496.97,,,,,,,,,,,
Venezuela,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,            116.67,,,,,,,,,           2058.87,,,,,,,,,,,,,,,
Venezuela,Netherlands Antilles,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,          13198.06,,           3516.80,           1970.04,           1202.98,           4140.86,           1512.99,           1543.83,           1735.81,           1418.38,           1034.17,           1093.00,,            927.23,           1051.10,,,,,,
Venezuela,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,          28056.14,          21959.36,          12671.12,           6398.53,           2573.34,           2631.21,,           2242.26,           2612.43,,,,,,,,,,,,,,,,,
Venezuela,Panama,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,           1777.94,,,,,,            847.58,,,,,,,,,,,,,,,,,
Venezuela,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,           1914.19,,,,,,,,,,,,,,,,,,
Venezuela,Spain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,            540.18,,,,,,,,,,,,,,,,
Venezuela,Suriname,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,            888.39,,,,,,
Venezuela,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,            531.77,,,,,,,
Venezuela,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            550.15,            527.05,            478.41,            970.92,            491.10,          26750.54,,          31268.65,          25062.59,          24234.61,          11074.90,          13562.08,          14280.29,          18442.02,          11234.67,           8775.28,          13040.85,,           9645.70,           8648.69,,,,,,
Venezuela,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,          10487.66,          14872.66,          12778.64,           9866.02,          10545.41,          12651.31,           8462.16,           7393.29,           6897.45,           4579.27,           2753.96,           3844.92,           5572.17,           5508.50,           5221.85,           6199.02,           5981.54,,           4594.49,           3704.44,,,,,,
Venezuela,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,          57806.51,          71609.80,          75462.08,          55928.15,          51638.25,          28794.80,,          12068.76,          15685.96,           6599.50,           1756.75,            992.11,           1207.31,           1364.77,           1199.79,,            788.13,,,,,,,,,
Venezuela,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,          11023.30,           6158.65,,,,,,,,,,,,,,,,,,
Venezuela,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,        8532281.50,        8049597.43,        7090394.45,        2309980.45,        8217967.61,       11333446.54,        6207594.48,        4941107.35,        1311080.52,        1309123.36,         152657.45,         336744.11,         253564.63,         212467.03,         264441.12,         238875.32,         234391.12,,        1041573.35,,,,,,,
Venezuela,World,Animal,Export,Export(US$ Mil),,              5.55,              0.02,             14.54,             35.12,             16.65,             30.45,,             24.85,             69.69,            107.03,             65.01,            113.52,            134.93,            152.62,            128.37,             88.59,            136.69,            120.82,             85.57,            109.13,,,,,,
Venezuela,World,Capital goods,Export,Export(US$ Mil),,            171.97,            105.67,            112.56,            452.56,            244.37,            503.55,,            422.14,            624.81,            612.84,            603.42,            503.62,            323.02,            313.89,            275.01,            389.08,            284.35,            257.36,            288.46,            312.06,,,,,,
Venezuela,World,Chemicals,Export,Export(US$ Mil),,            995.37,            854.39,            549.21,            948.32,            316.60,            935.88,,            832.77,           1290.89,           1383.93,            833.86,            923.46,            836.52,            723.91,            547.91,            859.48,            720.11,            636.93,            705.74,            447.68,,,,,,
Venezuela,World,Consumer goods,Export,Export(US$ Mil),,          11092.89,          24661.38,            127.03,          18511.72,          18503.90,          17283.53,,            527.14,          15799.38,          13032.61,            666.80,           1223.64,           6661.78,           8934.12,           6113.54,           5187.02,           6843.96,           6862.19,           6779.41,           5262.73,,,,,,
Venezuela,World,Food Products,Export,Export(US$ Mil),,             20.91,              0.45,             35.01,             86.70,             43.08,            104.92,,             75.52,            154.20,            167.76,            158.87,            198.66,            207.14,            197.66,            218.83,            354.47,            330.22,            296.00,            305.27,            221.20,,,,,,
Venezuela,World,Footwear,Export,Export(US$ Mil),,              0.56,              0.07,              0.34,              0.63,              0.80,              5.31,,              0.90,              3.20,              3.13,              1.96,              4.49,              3.63,              2.87,              3.47,              5.16,              5.17,              5.65,              8.81,              9.83,,,,,,
Venezuela,World,Fuels,Export,Export(US$ Mil),,          85918.59,          93570.92,          61206.16,          62541.07,          54232.15,          78199.53,,          56819.54,          48668.67,          33275.97,          20541.10,          19219.10,          21014.13,          26641.98,          16343.60,          12048.38,          18065.29,          18634.60,          14564.11,          12644.21,,,,,,
Venezuela,World,Hides and Skins,Export,Export(US$ Mil),,             24.61,              0.00,             17.97,             25.39,              7.30,             10.18,,              4.32,             13.63,             23.63,             28.43,             37.74,             36.88,             34.23,             16.54,             18.76,             17.31,              9.55,             39.98,             34.02,,,,,,
