Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Vietnam,...,...,Development,GDP (current US$ Mil),         186204.65,         171222.03,         155820.00,         135539.00,         115932.00,         106015.00,          99130.30,          77414.40,          66371.70,          57633.30,          49424.10,          42717.10,          37947.90,          35291.30,          33640.10,          28683.70,          27209.60,          26843.70,          24657.50,          20736.20,          16286.40,          13181.00,           9866.99,           9613.37,           6471.74,           6293.30,          25423.81
Vietnam,...,...,Export,No. Of Export partners,,            147.00,            140.00,            131.00,            157.00,            137.00,            146.00,            163.00,            178.00,            207.00,            182.00,            204.00,            218.00,            210.00,            182.00,,,,,,,,,,,,
Vietnam,...,...,Export,No. Of Export products,,           3501.00,           3536.00,           3320.00,           3316.00,           3298.00,           3256.00,           3391.00,           3399.00,           3252.00,           3167.00,           2882.00,           2796.00,           2397.00,           1141.00,,,,,,,,,,,,
Vietnam,...,...,Import,No. Of Import partners,,            139.00,            140.00,            130.00,            140.00,            129.00,            141.00,            131.00,            173.00,            155.00,            155.00,            186.00,            176.00,            164.00,            145.00,,,,,,,,,,,,
Vietnam,...,...,Import,No. Of Import products,,           4321.00,           4324.00,           4281.00,           4261.00,           4287.00,           4266.00,           4570.00,           4550.00,           4480.00,           4448.00,           4433.00,           4129.00,           3875.00,           2533.00,,,,,,,,,,,,
Vietnam,...,...,Tariff,No. Of Tariff Agreement,,              8.00,              5.00,,              7.00,              2.00,              2.00,              4.00,              6.00,              6.00,              2.00,              2.00,              2.00,              1.00,,,,,,,,,,,,,
Vietnam,...,...,Development,Trade Balance (current US$ Mil),           6098.21,           3695.05,           5459.00,          -5602.00,          -9521.10,         -10990.70,         -13525.40,         -10504.90,          -1911.50,          -1911.00,          -6157.50,          -4343.40,          -2531.10,           -598.80,          -1114.10,           -818.90,          -1987.60,          -2184.80,          -2704.70,          -1886.07,          -1538.57,          -1155.53,           -403.14,           -491.90,           -597.89,           -642.28,          -2811.85
Vietnam,Australia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,           2704.00,           2386.09,           4351.58,           3802.21,           3688.93,           2722.59,           1884.74,           1420.86,           1328.33,           1041.80,           1272.48,,,,,,,,,,,,
Vietnam,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,          13177.69,          12835.98,          11613.32,           7742.95,           5402.98,           4850.11,           3646.13,           3242.84,           3246.38,           2899.13,           1883.11,           1518.33,           1417.42,           1536.39,,,,,,,,,,,,
Vietnam,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,          36886.48,          29034.97,          24866.39,          20203.64,          16673.28,          15973.55,          12709.95,           7391.30,           5899.67,           4595.11,           3138.55,           2158.84,           1606.22,           1401.14,,,,,,,,,,,,
