Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
 World,...,...,Development,GDP (current US$ Mil),       77868767.94,       76123950.10,       74041600.00,       72572200.00,       65489200.00,       59704700.00,       62982800.00,       57452200.00,       50971500.00,       47033700.00,       43464600.00,       38585800.00,       34358900.00,       33078800.00,       33276200.00,       32233300.00,       31079800.00,       31197700.00,       31289300.00,       30630800.00,       27678600.00,       25775100.00,       25341000.00,       23670200.00,       22546700.00,       20045924.29,       19079508.96
 World,...,...,Export,No. Of Export partners,            238.00,            239.00,            238.00,            237.00,            235.00,            236.00,            235.00,            236.00,            236.00,            234.00,            238.00,            237.00,            238.00,            238.00,            237.00,            223.00,            222.00,            222.00,            222.00,            226.00,            226.00,            226.00,            224.00,            202.00,            204.00,            203.00,            200.00
 World,...,...,Export,No. Of Export products,           4777.00,           4790.00,           4824.00,           4800.00,           4844.00,           4887.00,           4918.00,           4954.00,           4950.00,           4966.00,           4978.00,           4989.00,           4983.00,           4993.00,           5020.00,           5028.00,           5033.00,           5034.00,           5036.00,           5037.00,           5037.00,           5037.00,           5038.00,           5036.00,           5036.00,           5035.00,           5032.00
 World,...,...,Import,No. Of Import partners,            238.00,            239.00,            238.00,            238.00,            236.00,            236.00,            236.00,            236.00,            236.00,            235.00,            238.00,            238.00,            238.00,            238.00,            237.00,            223.00,            222.00,            222.00,            222.00,            226.00,            226.00,            226.00,            224.00,            203.00,            204.00,            201.00,            199.00
 World,...,...,Import,No. Of Import products,           4838.00,           4873.00,           4902.00,           4904.00,           4924.00,           4938.00,           4949.00,           5010.00,           5010.00,           5020.00,           5023.00,           5022.00,           5032.00,           5035.00,           5037.00,           5037.00,           5037.00,           5037.00,           5037.00,           5037.00,           5037.00,           5037.00,           5038.00,           5036.00,           5036.00,           5036.00,           5035.00
 World,...,...,Tariff,No. Of Tariff Agreement,           1371.00,           1275.00,           1284.00,           1312.00,           1293.00,           1257.00,           1340.00,            847.00,            818.00,            670.00,            528.00,            413.00,            403.00,            322.00,            334.00,,,,,            155.00,             55.00,            124.00,             51.00,             44.00,             45.00,             43.00,             38.00
 World,...,...,Development,Trade Balance (current US$ Mil),         851566.08,         688618.58,         632600.00,         531600.00,         457100.00,         340300.00,         299600.00,         337800.00,         239000.00,         133100.00,          86900.00,          53810.00,          52830.00,         -29010.00,           5710.00,          74650.00,         118240.00,         148210.00,         109640.00,         136840.00,         113220.00,         110060.00,          90370.00,          -4320.00,         -74550.00,         -81413.90,         -59601.46
 World,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,         101760.63,,,
 World,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,         112201.28,,,
 World,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,        1202606.49,        1488953.98,        1395738.24,        1395553.74,        1157014.94,         849348.33,         900506.97,         794237.17,         680963.31,         564793.89,         471205.54,         363384.96,,,,,,,,,,,,,,,
 World,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,        2161205.06,        2348422.89,        2257267.32,        2200006.40,        1915520.04,        1510708.69,        1772494.51,        1551192.43,        1285262.48,        1052305.33,         843130.54,         637000.42,         503417.54,         427512.74,         412763.50,,,,,,         181354.90,         141461.69,,,,,
 World,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,         661341.57,         646793.19,         705149.58,         608783.57,         560619.37,         695595.04,         619315.82,         554973.43,         493480.70,         450433.76,         380228.05,         319353.79,         308615.21,         315037.17,,,,,         260214.70,         191035.26,         142685.88,         137064.05,         108282.65,          91465.70,          76532.63,          55841.76
 World,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         545064.72,         576336.56,         557035.91,         592502.97,         523144.22,         486525.54,         616231.48,         558561.22,         492638.52,         439550.94,         425467.43,         363057.62,         306042.22,         297818.96,         296820.58,,,,,         262465.10,         196583.28,         145454.75,         138355.02,         110398.81,          88263.51,          68190.06,          47463.34
 World,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,        1074555.40,        1092888.52,        1063031.28,        1123266.44,         972798.36,         852147.90,        1096418.68,         963361.70,         841215.93,         732113.77,         673756.59,         566503.80,         472725.44,         467398.96,         469431.41,,,,,         425485.75,         315745.35,         190361.68,         166404.69,         103376.01,          71575.36,          56006.03,
 World,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,        1296718.68,        1350910.52,        1302355.00,        1382941.87,        1184955.14,        1039431.07,        1363570.61,        1239407.09,        1040397.92,         925658.93,         860249.09,         711076.46,         587753.83,         542569.69,         528829.05,,,,,         467903.67,         348752.50,         209670.23,         190486.41,         121689.86,          94023.24,          74625.43,          41497.30
 World,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         626417.47,         709570.12,,,,,,,,,,,,,,,,,,,,,,,,,
 World,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,          40264.71
 World,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,          72232.13,          55663.05,          38205.00
 World,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,         665260.95,,,,,,,,,,         294862.53,         300333.29,         325826.53,,,,,         252487.19,         204974.13,         163641.53,         145565.90,         129176.82,          78894.16,          70807.56,
 World,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         630033.83,         793472.52,         866161.48,         890427.91,         820688.82,         639067.38,         851945.41,         782963.19,         715435.56,         663645.48,         624590.48,         520819.08,         460673.83,         448946.39,         517237.21,,,,,         424117.07,         375225.19,         321435.00,         260250.70,         223807.53,         110588.18,          95278.99,          52129.43
 World,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,          37606.83
 World,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         642570.24,,,         657512.12,         567440.09,         506876.94,         661664.02,         613881.20,         535455.65,         479009.23,         454010.14,         388248.89,         339834.53,         331345.34,         333561.63,,,,,         250610.79,         199368.56,         145866.11,         134329.66,,          79052.88,          72702.58,          53699.44
 World,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,         220893.50,,,         124421.92,,,,
 World,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,        1997252.38,        2047888.23,        2032533.42,        1968165.55,        1736838.86,        1412265.84,        1895166.03,        1816247.52,        1756168.54,        1549170.45,        1363577.32,        1190940.47,        1104391.56,        1068522.78,        1155685.58,,,,,         689977.55,         609156.34,         489304.80,         390763.76,         322642.13,         309611.32,         276186.36,         149911.40
 World,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,        1373192.31,        1475408.59,        1456790.76,        1433890.02,        1234013.53,        1037924.00,        1302998.34,        1160339.01,        1037542.31,         920066.63,         848351.08,         754869.20,         723893.59,         753988.97,         813926.03,,,,,         583882.81,         487901.06,         392262.13,         337503.81,         271417.42,         248930.77,         211778.24,          89424.67
