Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Yemen,...,...,Development,GDP (current US$ Mil),,          35954.50,          32074.80,          31078.90,          30906.80,          28459.50,          30397.20,          25633.70,          19081.70,          16753.80,          13873.50,          11777.80,          10693.30,           9854.04,           9636.34,           7641.10,           6325.22,           6839.04,           5785.69,           4258.79,           4167.36,           5368.27,           6463.65,           5930.37,           5647.25,,
Yemen,...,...,Export,No. Of Export partners,,            100.00,            111.00,             99.00,            122.00,            109.00,            121.00,            101.00,             93.00,             98.00,             98.00,,,,,,,,,,,,,,,,
Yemen,...,...,Export,No. Of Export products,,            571.00,           1152.00,            973.00,           1288.00,           1383.00,           1296.00,           1203.00,           1136.00,           1109.00,            939.00,,,,,,,,,,,,,,,,
Yemen,...,...,Import,No. Of Import partners,,            124.00,            136.00,            124.00,            140.00,            151.00,            147.00,            141.00,            140.00,            154.00,            161.00,,,,,,,,,,,,,,,,
Yemen,...,...,Import,No. Of Import products,,           2779.00,           3165.00,           3079.00,           3325.00,           3554.00,           3596.00,           3622.00,           3600.00,           3661.00,           3451.00,,,,,,,,,,,,,,,,
Yemen,...,...,Tariff,No. Of Tariff Agreement,,              2.00,              2.00,              2.00,,              2.00,,,              1.00,,,,,,,,,,,,,,,,,,
Yemen,...,...,Development,Trade Balance (current US$ Mil),,,,,,,,,             84.18,            841.10,            127.41,           -177.21,            -77.86,             88.83,            711.06,           -177.67,          -1304.19,           -602.74,           -516.48,           -834.03,           -695.07,          -1376.25,          -1260.47,          -1140.06,           -279.90,,
Yemen,Bahrain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            352.92,,,,,,,,,,,,,,,,,,,,,,,,,
Yemen,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,           1718.84,           2898.79,           2250.74,           1429.66,           1577.79,           2369.85,           1317.10,           1506.34,           1976.22,           1170.18,,,,,,,,,,,,,,,,
Yemen,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           1029.61,            837.65,            650.17,            731.74,            855.07,            790.71,            773.80,            440.55,            334.83,            281.32,,,,,,,,,,,,,,,,
