Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Zambia,...,...,Development,GDP (current US$ Mil),          27066.23,          26820.81,          24939.30,          23731.70,          20265.60,          15328.30,          17910.90,          14057.00,          12756.90,           8331.86,           6221.11,           4901.87,           4193.85,           4094.44,           3600.63,           3404.28,           3537.74,           4303.29,           3597.22,           3806.98,           3656.81,           3273.51,           3182.81,           3376.79,           3288.38,           3994.67,           3728.88
Zambia,...,...,Export,No. Of Export partners,            109.00,            125.00,            129.00,            125.00,            129.00,            125.00,            119.00,            108.00,             92.00,             94.00,             89.00,             94.00,             92.00,            100.00,            104.00,            104.00,             89.00,             67.00,             68.00,             64.00,,,,,,,
Zambia,...,...,Export,No. Of Export products,           1886.00,           1972.00,           2012.00,           1876.00,           2003.00,           2176.00,           2162.00,           2008.00,           1732.00,           1468.00,           1400.00,           1236.00,           1168.00,           1053.00,           1165.00,           1516.00,           1239.00,            789.00,            843.00,            757.00,,,,,,,
Zambia,...,...,Import,No. Of Import partners,            160.00,            170.00,            163.00,            139.00,            140.00,            137.00,            138.00,            128.00,            120.00,            120.00,            125.00,            117.00,            123.00,            132.00,            135.00,            121.00,            111.00,            108.00,             94.00,            106.00,,,,,,,
Zambia,...,...,Import,No. Of Import products,           3984.00,           4033.00,           4041.00,           3995.00,           3959.00,           3884.00,           3923.00,           3995.00,           4041.00,           3969.00,           3978.00,           3886.00,           3903.00,           3997.00,           3882.00,           3900.00,           3957.00,           3914.00,           4109.00,           3894.00,,,,,,,
Zambia,...,...,Tariff,No. Of Tariff Agreement,,              7.00,              7.00,              7.00,              3.00,              7.00,              7.00,              1.00,              1.00,              2.00,              1.00,              2.00,              3.00,              1.00,,,,              1.00,,,,,,,,,
Zambia,...,...,Development,Trade Balance (current US$ Mil),            831.84,            589.78,           1251.42,           1482.39,           1246.52,            364.91,           -289.47,            198.33,            934.97,            -81.56,           -232.24,           -536.51,           -446.60,           -591.60,           -451.51,           -329.98,           -248.17,           -151.93,           -246.90,           -130.37,            -27.42,           -223.59,           -368.28,            -89.10,            -23.20,           -280.41,            266.22
Zambia,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,             36.00,             55.52,,,,,,,,,,,
Zambia,Belgium-Luxembourg,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,            103.10,,,,,,,,,
Zambia,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1790.76,           2256.99,           1799.14,           1504.57,           1455.43,            482.65,            286.89,,            256.54,,,,,,,,,,,,,,,,,,
Zambia,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            857.21,            956.66,            871.46,            706.33,            289.70,            178.03,            227.23,            239.66,,,,             43.23,,             38.19,,,,,,,,,,,,,
Zambia,"Congo, Dem. Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            799.85,           1187.69,            725.08,            584.11,            333.53,            300.85,            287.07,            245.94,,             97.42,            105.86,             41.65,             39.14,             32.53,             38.89,,,,,,,,,,,,
Zambia,"Congo, Dem. Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1459.25,           1846.62,           1267.37,           1330.36,           1268.68,            486.73,            534.74,,,,,,,,,,,,,,,,,,,,
Zambia,"Congo, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,             40.27,,,,,,,,,,,
Zambia,"Egypt, Arab Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,            384.77,            232.01,            159.38,,,,,,,,,,,,,,,,,,
Zambia,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,             68.53,,,,,,,,,,
Zambia,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,             89.82,             71.82,,,,,,,,,,,,,,,,
