Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Zimbabwe,...,...,Development,GDP (current US$ Mil),          13663.31,          13490.23,          12472.40,          10956.20,           9456.81,           8157.08,           4415.70,           5291.95,           5443.90,           5755.22,           5805.60,           5727.59,           6342.12,           6777.38,           6689.96,           6858.01,           6401.97,           8529.57,           8553.15,           7111.27,           6890.68,           6563.81,           6751.47,           8641.48,           8783.82,           8286.32,           7814.78
Zimbabwe,...,...,Export,No. Of Export partners,             89.00,             80.00,             88.00,            117.00,            120.00,            121.00,            134.00,            142.00,            144.00,            133.00,            138.00,,            141.00,            111.00,,,,,,            133.00,,,,,,,
Zimbabwe,...,...,Export,No. Of Export products,           1510.00,           1547.00,           1425.00,           1451.00,           1472.00,           1481.00,           1734.00,           1895.00,           1984.00,           1774.00,           2237.00,,           2758.00,           1651.00,,,,,,           2840.00,,,,,,,
Zimbabwe,...,...,Import,No. Of Import partners,            155.00,            149.00,            132.00,            160.00,            162.00,            153.00,            146.00,            120.00,            116.00,            137.00,            107.00,,            111.00,            115.00,,,,,,            131.00,,,,,,,
Zimbabwe,...,...,Import,No. Of Import products,           4019.00,           4032.00,           4067.00,           4062.00,           4106.00,           4012.00,           3966.00,           4206.00,           4153.00,           3658.00,           4063.00,,           4046.00,           4039.00,,,,,,           4297.00,,,,,,,
Zimbabwe,...,...,Tariff,No. Of Tariff Agreement,,,              1.00,              5.00,              1.00,,,              6.00,,,,,              1.00,              1.00,,,,,,,,,,,,,
Zimbabwe,...,...,Development,Trade Balance (current US$ Mil),          -3953.30,          -4196.89,          -3600.35,          -5038.99,          -2619.25,          -3957.61,          -1174.05,           -455.23,           -593.83,           -514.88,           -412.20,           -324.06,           -199.00,            136.90,            150.66,            267.09,           -110.62,           -598.30,             16.30,           -190.87,           -132.27,           -113.41,           -625.05,           -283.83,              6.54,            134.41,            264.17
Zimbabwe,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            125.01,,,,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,Botswana,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,             44.01,,,,,            157.03,            201.03,,,,,,,,,,,,,,,,,,,
Zimbabwe,Botswana,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,            215.68,            198.60,            214.85,            408.99,            212.05,            104.63,             88.92,,,,,,,,,,,,,,,,
